metric,value,notes
current_branch_head,faa2c330deb886098750dafb5c500e244e1333fe,current head from latest local frontier
authority_ethics_rows,7,language-level authority/ethics blocker rows
source_use_gap_rows,7,source-use/gap rows tied to Fable/source-use evidence
draft_authority_crosswalk_rows,70,one authority crosswalk row per generated-draft/noncanonical review row
recovery_authority_action_rows,65,grouped exact recovery probes with authority next actions
reviewer_question_rows,7,reviewer/authority questions by language/scope
source_witness_rows_carried_forward,1071,source-return/provenance rows only
exact_blocker_rows_carried_forward,189,open blockers remain active
draft_review_rows_carried_forward,70,generated-draft/noncanonical only
b3_target_root,uploader-transfer/post-faa2c330-r9-authority-ethics-blocker-ledger-20260706/noether-r9-africa-horn-west/outputs/R9_FAA2C330_AUTHORITY_ETHICS_BLOCKER_LEDGER_20260706/,suggested B3 pickup path; no lane push
boundary,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion",labels preserved and claims blocked
