"field","value"
"packet","SLAVIC_B95298E7_CURRENT_HEAD_INTERLANGUAGE_GOVERNANCE_ROUTE_WATCHER_20260707"
"generated_local_time","2026-07-07T12:38:22.4591168+02:00"
"prior_frontier","c4304bfd57070f0340bfe5dce9b9f44976c076b4"
"packet_head_frontier","b95298e74e5decaea4883db696b4859b474a2504"
"verified_live_frontier","b95298e74e5decaea4883db696b4859b474a2504"
"commit_count","1"
"changed_path_count","149"
"raw_slavic_substring_paths","29"
"canonical_slavic_signal_paths","0"
"direct_slavic_uploader_paths","0"
"interlanguage_authority_route_paths","45"
"olp_route_paths","27"
"r9_route_paths","17"
"persianate_route_paths","33"
"non_slavic_route_paths","27"
"b3_root_status","package_status=ok for 6 roots; manifest_bad=0; sha_bad=0; placeholder_blocking_hits=0; credential_hits=0; safety_hits=0"
"interslavic_correction_ledger","visible; row states no new Interslavic correction, accepted terminology, or gate promotion created by frontier advance"
"canonical_slavic_mutation","none_observed"
"rebuild_trigger_change","none"
"source_baseline_boundary_change","none; Interlanguage/R9/OLP/Persianate/non-Slavic packets are route context"
"interslavic_state_c","carryforward E=2341; W=223; S=239; D1=1.753704"
"claim_boundary","source-use/provenance/gap/generated-draft/non-canonical only; no review/approval/license/gate/source-cert/final/translation-completion claim"
"push_policy","language lane no push; route packet to B3"
