"field","value","label"
"packet","R3_963F5299_R6_MANUAL_ACCESS_BOUNDARY_20260706","b3-uploader-ready"
"local_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_963F5299_R6_MANUAL_ACCESS_BOUNDARY_20260706\R3_963F5299_R6_MANUAL_ACCESS_BOUNDARY_20260706T122330Z","local-output-path"
"prior_frontier","e58a9ef51299cd4ac39263ec88ec697fd379ae91","branch-comparison"
"current_head","963f529950a0309fadf2848b5c91f12da936f01f","branch-comparison"
"observed_remote_head","963f529950a0309fadf2848b5c91f12da936f01f","branch-observation"
"branch_delta_rows","20","branch-delta"
"source_body_rows","143","source-body-canon"
"micro_evidence_rows","148","source-gated-micro-evidence"
"interlinear_formula_rows","148","interlinear-formula"
"blocker_rows","225","active-recovery-blocker"
"b3_target_path","interlanguage-sidecar/rtl-persianate-arabic-963f5299-r6-manual-access-boundary-20260706/","suggested-upload-target"
"claim_guard","No bridge promotion, cross-gate merge, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion.","boundary"
