"sidecar","row_count","consume_rule","csv","csv_sha256","json","json_sha256"
"arabic_reader_direct_boundary_rows","78","feed_arabic_only_when_direct_arabic_gate_matches_review_only","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\arabic_reader_direct_boundary_rows_20260704T062524Z.csv","117C1AF7726FD7643F447B50295A1ABE2069FF3F57D12E481353744350790451","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\arabic_reader_direct_boundary_rows_20260704T062524Z.json","16523FDC59DF7883D9ACD8BC8E8A9C8F9094E0FE7A3EF2DCB474330FA9A181F4"
"persian_farsi_reader_direct_boundary_rows","83","feed_persian_farsi_only_when_direct_fa_ir_gate_matches_review_only","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\persian_farsi_reader_direct_boundary_rows_20260704T062524Z.csv","BDBC4086B710298696E4951C6F64D418087D7FF4F292E2088E746CAA6AA86922","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\persian_farsi_reader_direct_boundary_rows_20260704T062524Z.json","14ACD50089E777E1F1729B7512DB7B25B66B1C5399A7695DDF513941BA67C70A"
"dari_afghan_separate_boundary_rows","18","separate_sublane_no_farsi_authorization_review_only","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\dari_afghan_separate_boundary_rows_20260704T062524Z.csv","AEC0DF8A29F6873172C6AD7F5C655DA31B45A2D8B737B07986A93B8686265E0D","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\dari_afghan_separate_boundary_rows_20260704T062524Z.json","76B3B7E68E05D8605DB13C655CD79EFC8DA0F9160CADD001ADD538D3A1E6B8F2"
"tajik_cyrillic_separate_boundary_rows","12","separate_sublane_no_farsi_authorization_review_only","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\tajik_cyrillic_separate_boundary_rows_20260704T062524Z.csv","2D2F8093159F2B7ED78260E2FD0D9133A82C2B76F6FF2CF99E10C92CC295437C","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\tajik_cyrillic_separate_boundary_rows_20260704T062524Z.json","AE97FB84488251D85FCE8AA7D6E3B533D1ED5965E2865F0C803C16337003CBEF"
"bridge_comparator_only_boundary_rows","78","comparator_only_never_promote_bridge","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\bridge_comparator_only_boundary_rows_20260704T062524Z.csv","095C19119AC230DDE8BA0CF6B2C89800C751CC3C600469CE9E1E2DF485F39DE1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\bridge_comparator_only_boundary_rows_20260704T062524Z.json","01A82BE7314CA8D8BF173DC08A358A22A2C4B204BB31451C4BB399E2F1442A11"
"adjacent_linear_algebra_boundary_rows","35","adjacent_review_only_no_language_merge","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\adjacent_linear_algebra_boundary_rows_20260704T062524Z.csv","F659C181AB2F47896445F0780BFC65FF48A98318AACB7DC792AFAD583FFC33FD","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\adjacent_linear_algebra_boundary_rows_20260704T062524Z.json","8CF1F37F31A946ECB67371E65AF67BBF32F354ACFC804537994E82CBB28B9112"
"urdu_hindustani_separate_boundary_rows","105","separate_lane_no_persianate_merge","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\urdu_hindustani_separate_boundary_rows_20260704T062524Z.csv","2D0645736884D1ABFAC5F67F05E797AD9A7D7C14EC53B1A8929DCBE248FDA22E","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\urdu_hindustani_separate_boundary_rows_20260704T062524Z.json","2009209049E6D077794DE9C6AE564687FC4327DFFABB6B5907EE05EBF988E93B"
"pan_turkic_no_inheritance_boundary_rows","218","all_rows_keep_pan_turkic_separate_no_persianate_merge","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\pan_turkic_no_inheritance_boundary_rows_20260704T062524Z.csv","402E3EEDD79828AAE6F76A842994EDD241E72C7E0180AA36AF490A2E499F2A7A","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\pan_turkic_no_inheritance_boundary_rows_20260704T062524Z.json","469F3C1CDF48B924258E603980D4FB72519182FB82495F72DE42FD08E0207095"
"pan_turkic_open_gate_or_witness_boundary_rows","3","open_pan_turkic_gate_rows_require_independent_evidence","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\pan_turkic_open_gate_or_witness_boundary_rows_20260704T062524Z.csv","8E00F693D76704BA34500765C79952905ED1F7FFC3269090B9A6DE6A2B14B3D0","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\pan_turkic_open_gate_or_witness_boundary_rows_20260704T062524Z.json","A67CBE77BCCDF58614F163B19E54168682832640383BCD145C4925C6159CAD1B"
"exact_blocker_or_comparator_boundary_rows","71","do_not_feed_draft_lanes_without_direct_gate_match","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\exact_blocker_or_comparator_boundary_rows_20260704T062524Z.csv","E6CE84C3E82B6EFA62D5340F5539CAFA78059E67E094D0F33B79D75FC53038EA","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\exact_blocker_or_comparator_boundary_rows_20260704T062524Z.json","63557878FEC0BE8D89A203F38D374CEBE4203CC0BC17161E2BEFBC70E97B79D0"
"completed_reader_current_pointer_boundary_rows","4","current_reader_sources_only","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\completed_reader_current_pointer_boundary_rows_20260704T062524Z.csv","08A4093F4D53BD48349A4D3B73708E68F0F9BC22C0200DE3F16EF6B9E4570D08","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\completed_reader_current_pointer_boundary_rows_20260704T062524Z.json","D553F543673D4DC349E8D46FD01F0D8005E74CE5C13686615F7CA7B7F00BE3A0"
"completed_reader_stale_correction_boundary_rows","4","do_not_consume_stale_artifacts","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\completed_reader_stale_correction_boundary_rows_20260704T062524Z.csv","B4B9FCC33543C1AFB988BF6378BB16115AE2EA2D97E7A47BD1B2DA493A6BC5C7","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_READER_SOURCE_BOUNDARY_CLOSURE_20260704T062524Z\sidecars\completed_reader_stale_correction_boundary_rows_20260704T062524Z.json","FE53D96897D165393E46830908286F4F0DB2B20EEB193EE7B63BEB11DCA7E69D"
