"row_id","status","path","classification","r3_source_use_decision"
"delta-001","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/B3_HANDOFF_READY_5C87.md","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-002","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/B3_HANDOFF_SENT_5C87.md","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-003","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/BRANCH_COMMITS_2B1_TO_5C87.csv","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-004","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/BRANCH_COMPARE_2B1_TO_5C87.csv","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-005","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/CHILD_PACKET_ROUTE_SUMMARY_5C87.csv","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-006","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/EIGHT_LANE_SOURCE_GATE_QUEUE_5C87.csv","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-007","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/EXACT_BLOCKERS_AND_RECOVERY_ROWS_5C87.csv","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-008","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/FABLE_SOURCE_USE_ADVERSE_LEDGER_5C87.csv","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-009","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/MANIFEST.csv","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-010","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/PACKET_MANIFEST_SHA_STATUS_5C87.csv","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-011","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/README.md","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-012","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/SHA256SUMS.txt","non-slavic-core-route-context","coordination context only; no gate merge"
"delta-013","A","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/SIBLING_WAKE_LEDGER_5C87.csv","non-slavic-core-route-context","coordination context only; no gate merge"
