"custody_id","artifact","bytes","sha256","role","public_disposition","reason"
"SGA2-X-R37-C38-CUST-001","archive_handoff_control","8505","7371BD09347FAC694BEFD9DD70DB557425F72D47773BE9938B47357C9DEDFD2D","custody_instruction","metadata_reexpressed_publicly","private local locators omitted"
"SGA2-X-R37-C38-CUST-002","corrected_french_main_tex","586789","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","sole_textual_authority","not_redistributed","underlying source rights and package minimization"
"SGA2-X-R37-C38-CUST-003","same_edition_reader","1576954","41AD02C57321A8D2200FF32A929BC93ADBC3DE0D59DCD5A284D28D859FB87A90","locator_layout_witness","not_redistributed","same-edition and rights-sensitive"
"SGA2-X-R37-C38-CUST-004","same_edition_physical_page104_raster","392630","0CBF631AC8F698115683A90439E57C357549A2AC7F76CD3BC3AAA7CFEC0165EE","visual_source_witness","rights_blocked_not_public","redistribution rights unresolved"
"SGA2-X-R37-C38-CUST-005","remark3_7_french_slice_lines3532_3534","218","7F0D9E686076D85702CAA5E3E9F5216AC73B0EF78E271E88ACA58573C73BB18D","exact_authority_slice","not_redistributed","authority identity retained without source body"
"SGA2-X-R37-C38-CUST-006","corollary3_8_french_slice_lines3536_3540","218","94D108BA11D32F382E082BC77136954852D98A5FCBD1DE545A67C4064F9F3E2D","exact_authority_slice","not_redistributed","authority identity retained without source body"
"SGA2-X-R37-C38-CUST-007","remark3_7_comparison_slice","257","806B8F540EE1B7D3DA5016B05C11A6BBA4FB74AFD6F6C3F799D45B7332317EEC","comparison_only","not_redistributed","one LLM lineage and not authority"
"SGA2-X-R37-C38-CUST-008","corollary3_8_comparison_slice","184","D2D01AAE6DEFA0BA3A8F3D5A6E3BFC4FA03CED70498B1C541B9001D457B6673D","comparison_only","not_redistributed","one LLM lineage and not authority"
"SGA2-X-R37-C38-CUST-009","remark3_7_producer_recursive_manifest","10604","FA7150A1CE246F07CA8E650078AB65E63BC48B8AF805F564C23C1CB46082A816","raw_tree_custody","not_redistributed","raw tree contains private support paths"
"SGA2-X-R37-C38-CUST-010","remark3_7_independent_recursive_manifest","12587","2721EDC7E03D4E6128F785C486BB5085ED738F78D6B8F6CB6801DB3CD26FA901","raw_review_custody","not_redistributed","raw review tree contains private support paths"
"SGA2-X-R37-C38-CUST-011","corollary3_8_producer_recursive_manifest","10486","47FF6E48DD1E8A1356702A7F7F43AE9B099BAAD90AEB53ACA9A08FB40555ED19","raw_tree_custody","not_redistributed","raw tree contains private support paths"
"SGA2-X-R37-C38-CUST-012","corollary3_8_independent_review_manifest","3588","CDC1B0D668F537A4510FF618AA0E2211B39D2E88CD626E76ACBC5B817247EBE5","raw_review_custody","not_redistributed","raw review tree contains private support paths"
"SGA2-X-R37-C38-CUST-013","lemma3_6_proof_independent_fail_report","5955","8AF8F2842CA60572CEB5500C6E8AF1D361DB010C96E9B97D32E156AA75892807","gap_control","fail_closed_not_public","machine locator defect"

