"manifest_id","relative_path","bytes","sha256","media_type","release_role","unit_id","source_scope","status","supersession","caveat"
"SGA2-X-R37-C38-PUB-001","01_remark3_7/independent_review/build/BUILD_PASS1_PUBLIC_SANITIZED.log","23928","895EF2559740E4681FE4C4279E17A61E68E4E2685E07C19B3E6C34C97C8C84D1","text/plain","privacy_sanitized_independent_build_log","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
"SGA2-X-R37-C38-PUB-002","01_remark3_7/independent_review/build/BUILD_PASS2_PUBLIC_SANITIZED.log","23765","76F310E58BB1BC906079128F00C7C903789A1911FFE62F2045981134120EF996","text/plain","privacy_sanitized_independent_build_log","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
"SGA2-X-R37-C38-PUB-003","01_remark3_7/independent_review/build/BUILD_PASS3_PUBLIC_SANITIZED.log","23765","76F310E58BB1BC906079128F00C7C903789A1911FFE62F2045981134120EF996","text/plain","privacy_sanitized_independent_build_log","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
"SGA2-X-R37-C38-PUB-004","01_remark3_7/independent_review/INDEPENDENT_EVIDENCE.csv","8665","1C8922A8F21690D46CB2C2C6EF559ABF0B25433F6ADEDAE6CAE397EEE1DCE5C7","text/csv","independent_review_evidence","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
"SGA2-X-R37-C38-PUB-005","01_remark3_7/independent_review/INDEPENDENT_EVIDENCE.jsonl","22210","1A9F59E6DBC063EFC094E31C230844AFD1E8C8E527FAC4C926E15888212C2CAF","application/x-ndjson","independent_review_evidence","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
"SGA2-X-R37-C38-PUB-006","01_remark3_7/independent_review/INDEPENDENT_FINAL_AUDIT_PASS.md","4734","B66742B04250CFB353737872E6FE35DDD8D0A8C5955030353B8103A1EAC128F4","text/markdown","independent_review_evidence","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
"SGA2-X-R37-C38-PUB-007","01_remark3_7/independent_review/INDEPENDENT_REBUILD_EXTRACTED_TEXT.txt","1101","DE2D450407A5F029A23FC73DE8FC69E2FD59EF6FF2BBA1A9CC9E207F3D0DDE8A","text/plain","independent_review_evidence","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
"SGA2-X-R37-C38-PUB-008","01_remark3_7/independent_review/INDEPENDENT_REBUILD_PAGE001_200DPI.png","149450","CF375B491B7A3AE36DC2AA891535C43ED62985B3D038E193590BFEA599A6907C","image/png","independent_render_qa","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
"SGA2-X-R37-C38-PUB-009","01_remark3_7/independent_review/INDEPENDENT_REBUILD_PDFFONTS.txt","1425","438154D62AD32AAD013488AE922ADB6F375B48D720C055B215F4D5BFFBFC0706","text/plain","independent_review_evidence","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
"SGA2-X-R37-C38-PUB-010","01_remark3_7/independent_review/INDEPENDENT_REBUILD_PDFINFO.txt","663","01412B2A6461C897C778376F4D62BC3314DBEEAA217547061957A7D6A84E7E64","text/plain","independent_review_evidence","SGA2-X-R37","French3532-3534;raw3535;sub3536","exact_rights_curated_public","additive_no_public_file_superseded","bounded_working_translation_not_continuous_complete_critical_or_rights_certified"
