"blocker_effect","source_use_boundary","next_action","lane_scope","route_or_language","evidence_now","blocker_status","blocker_id"
"Math-source authority, translation approval, accepted terminology, or formula-neighboring prose beyond source titles.","source-recovery/blocker","Which Bislama math-note spellings need dictionary verification before a reader-side draft?","creole_contact","Bislama / Vanuatu","R6-BISLAMA-RETRY-005; R6-BISLAMA-RETRY-006","active_recovery_from_9d_queue","R6-9D7-RECOVERY-001"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","indigenous","Ecuador Kichwa/CNIB","probe_failed_no_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-002"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","indigenous","Ecuador EIB/CNIB general","probe_failed_no_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-003"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","indigenous","Paraguay Guarani/PRODEPA","probe_failed_no_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-004"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","indigenous","Paraguay PRODEPA background","probe_failed_no_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-005"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","ASL algebra/STEM","html_probe_and_candidate_links_only_no_raw_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-006"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","ASL math dictionary","html_probe_and_candidate_links_only_no_raw_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-007"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","DGS math videos","html_probe_and_candidate_links_only_no_raw_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-008"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","DGS corpus dictionary","html_probe_and_candidate_links_only_no_raw_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-009"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","sign_access","DGS open dictionary comparator","html_probe_and_candidate_links_only_no_raw_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-010"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","indigenous","Paraguay Guarani language program","probe_failed_no_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-011"
"source/reviewer/ethics authority remains unresolved","source-recovery/blocker","continue source-owner/manual/browser recovery; do not widen support","indigenous","Paraguay mathematics program comparator","probe_failed_no_body_saved","active_recovery_from_9d_queue","R6-9D7-RECOVERY-012"
"do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","generated-draft/noncanonical/source-gated","Should MIT-Ayiti matematik be retained as the default classroom-math draft label?","creole_contact","Kreyol / Haitian Creole","R6-KR-SAR-001; R6-KR-SAR-002","active_recovery_from_9d_queue","R6-9D7-REVIEW-013"
"do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","generated-draft/noncanonical/source-gated","Should reviewer distinguish anseyman matematik from a shorter classroom label?","creole_contact","Kreyol / Haitian Creole","R6-KR-SAR-001; R6-KR-SAR-002","active_recovery_from_9d_queue","R6-9D7-REVIEW-014"
"do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","generated-draft/noncanonical/source-gated","Should this title phrase be reusable as a technical phrase or marked title-only?","creole_contact","Kreyol / Haitian Creole","R6-KR-SAR-003","active_recovery_from_9d_queue","R6-9D7-REVIEW-015"
"do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","generated-draft/noncanonical/source-gated","Should official title capitalization/spelling be preserved in running draft notes?","creole_contact","Bislama / Vanuatu","R6-BISLAMA-RETRY-001; R6-BISLAMA-RETRY-003","active_recovery_from_9d_queue","R6-9D7-REVIEW-016"
"do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","generated-draft/noncanonical/source-gated","Should Saens remain a separate STEM register route in draft notes?","creole_contact","Bislama / Vanuatu","R6-BISLAMA-RETRY-002; R6-BISLAMA-RETRY-004","active_recovery_from_9d_queue","R6-9D7-REVIEW-017"
"do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","generated-draft/noncanonical/source-gated","Which Bislama math-note spellings need dictionary verification before a reader-side draft?","creole_contact","Bislama / Vanuatu","R6-BISLAMA-RETRY-005; R6-BISLAMA-RETRY-006","active_recovery_from_9d_queue","R6-9D7-REVIEW-018"
"no native review, no community consent, no license clearance, no source certification, no gate closure","official route provenance only; exact Kichwa math body/reuse/reviewer still required","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","Ecuador Kichwa/CNIB","Ecuador Ministry CNIB page; says 14 national intercultural bilingual curricula including Kichwa","web_discovery_row_requires_body_review_or_reviewer_route","R6-81DB-WEB-ECUADOR-CNIB-PAGE"
"no native review, no community consent, no license clearance, no source certification, no gate closure","candidate source body route only; local capture/hash and language/topic review still required","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","Ecuador EIB/CNIB general","EIB curriculum PDF route surfaced by search; local HTTP probe previously failed TLS","web_discovery_row_requires_body_review_or_reviewer_route","R6-81DB-WEB-ECUADOR-EIB-PDF"
"no native review, no community consent, no license clearance, no source certification, no gate closure","official route/link provenance only; exact files and Guarani/math relation still require capture/review","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","Paraguay Guarani/PRODEPA","MEC program page lists PRODEPA materials including Matematica PRODEPA and Guarani L1 PDFs","web_discovery_row_requires_body_review_or_reviewer_route","R6-81DB-WEB-PARAGUAY-PRODEPA-PAGE"
"no native review, no community consent, no license clearance, no source certification, no gate closure","background/program evidence only; not target-language mathematics source authority","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","Paraguay PRODEPA background","MEC background PDF mentions Guarani and Matematica areas in bilingual basic education","web_discovery_row_requires_body_review_or_reviewer_route","R6-81DB-WEB-PARAGUAY-PRODEPA-BACKGROUND"
"no native review, no community consent, no license clearance, no source certification, no gate closure","Guarani language program comparator; not mathematics source by itself","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","Paraguay Guarani language program","MEC Guarani program PDF route","web_discovery_row_requires_body_review_or_reviewer_route","R6-81DB-WEB-PARAGUAY-GUARANI-PROGRAM"
"no native review, no community consent, no license clearance, no source certification, no gate closure","Mathematics program comparator; not Guarani-language authority by itself","capture exact source body where permitted, hash local copy, verify language/topic sections, and route to source-owner/reviewer before support movement","indigenous","Paraguay mathematics program comparator","MEC Matematica y sus Tecnologias PDF route","web_discovery_row_requires_body_review_or_reviewer_route","R6-81DB-WEB-PARAGUAY-MATH-PROGRAM"
"no native review, no community consent, no license clearance, no source certification, no gate closure","sign/access route provenance only; no media copy/sign acceptance/visual inventory","verify media/source ownership, captions/transcripts, license/access, and sign reviewer route before any sign support","sign_access","ASL algebra/STEM","ASL STEM algebra page known reachable in previous probe","web_discovery_row_requires_body_review_or_reviewer_route","R6-81DB-WEB-SIGN-ASL-STEM"
"no native review, no community consent, no license clearance, no source certification, no gate closure","sign/access route provenance only; no media copy/sign acceptance/visual inventory","verify media/source ownership, captions/transcripts, license/access, and sign reviewer route before any sign support","sign_access","DGS math videos","University DGS math video route known reachable in previous probe","web_discovery_row_requires_body_review_or_reviewer_route","R6-81DB-WEB-SIGN-DGS-GOE"
