"row_id","timestamp_local","lane","evidence_action","source_title_or_probe","source_type","evidence_tier","topic_language_tags","source_url","source_locator_or_archive_url","local_path","byte_count","sha256_or_hash_signal","license_access_signal","rtl_script_or_rendering_notes","source_package_status","gap_or_blocker_note","non_claim_boundary","status"
"AR-RHCP-20260705-001","2026-07-05T15:35:00+02:00","Arabic RTL","ring_homomorphism_curriculum_probe_summary","Arabic ring/homomorphism official curriculum and program PDF probe","official_pdf_textcheck_plus_blockers","mixed_pdf_fallback_and_gap_probe","Arabic;ring homomorphism;ring isomorphism;تشاكل حلقي;تماثل حلقات;نواة التشاكل;ideals;fields;source-package gap","web search plus direct official university PDF/LMS probes","cached PDFs, textcheck extracts, headers, HTML blocker, and blocker notes under local sources tree","none","0","none","Official university PDF endpoints were accessible for Majmaah, ENS Ouargla, and Anbar; SVU LMS redirected to login HTML; Yarmouk timed out; Tripoli returned 522/failed. Access signals only; no license clearance.","Summary row only. Arabic textchecks are provenance checks and are not layout-safe reviewer text.","no_source_package_admitted","No Arabic TeX/LaTeX/arXiv/e-print/source archive was exposed or admitted in this pass.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","probe_summary"
"AR-RHCP-20260705-002","2026-07-05T15:35:00+02:00","Arabic RTL","source_archive_search_triage","Arabic ring-homomorphism TeX/source search triage","web_search_result_set","source_archive_gap_recheck","Arabic;TeX;LaTeX;source archive;ring homomorphism;تشاكل حلقي;تماثل حلقات","Search clusters: ""تشاكل حلقي"" ""extension:tex""; ""تشاكل حلقي"" ""\\begin"" ""tex""; ""تماثل حلقات"" ""\\documentclass""; ""الجبر الخطي"" ""\\documentclass"" Arabic","Search surfaced video/platform/social/help pages and already-known PDF/book metadata, not a target-language mathematical TeX/source archive","none","0","none","Search result metadata only; no source package or license-clearance signal admitted.","Arabic terms occur in queries/snippets, not in an admitted TeX/source body.","no_source_package_admitted","Bounded public-web source-archive search did not locate Arabic mathematical TeX/LaTeX/source files for ring homomorphism/isomorphism.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_gap_row"
"AR-RHCP-20260705-003","2026-07-05T15:35:00+02:00","Arabic RTL","official_pdf_witness","Majmaah University MATH444 course specification: المدخل إلى نظرية الحلقات والحقول","pdf","official_curriculum_pdf_fallback","Arabic;Majmaah University;ring theory;fields;ring homomorphism;isomorphism theorems;ideals","https://www.mu.edu.sa/sites/default/files/MATH444.pdf","HTTP headers cached as mu_math444_course_spec.headers.txt","sources/non_slavic_reference_corpus/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/mu_math444_course_spec.pdf","65259","A201A42940790C88E1D817D9A717955AF97EA4C9D2AE7A7FC684A350CE06880B","HTTP 200 application/pdf; public university file endpoint; no reuse/license clearance.","Valid %PDF-1.5 signature. Arabic text uses bidi controls in extraction; no visual RTL/formula layout QA performed.","pdf_fallback_not_source_package","Official curriculum PDF strengthens ring/field/homomorphism/isomorphism-theorem provenance but does not expose TeX/source files.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_pdf_witness"
"AR-RHCP-20260705-004","2026-07-05T15:35:00+02:00","Arabic RTL","derived_text_extract_verification","Majmaah MATH444 textcheck","derived_text_extract","text_verification_only","Arabic;تشاكل حلقي;حلقة;حقول;المثاليات;التماثل;text extraction","local pdftotext extract from Majmaah PDF","pdftotext -enc UTF-8","sources/non_slavic_reference_corpus/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/mu_math444_course_spec.textcheck.txt","7460","6C4767443E248AA319363ECABC03C0CA07BEA4DCF2329F332339B8FF83054D8C","Derived verification artifact only; inherits PDF access/license uncertainty; no separate license clearance.","NFKC-normalized extract confirms direct Arabic ring/field/homomorphism curriculum terms; text is not layout-safe.","derived_extract_not_source_package","NFKC counts include تشاكل 3, تماثل 2, حلقة 10, الحلقات 2, حقول 6, المثاليات 7, and جبر 1.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_text_extract_verification"
"AR-RHCP-20260705-005","2026-07-05T15:35:00+02:00","Arabic RTL","official_pdf_witness","ENS Ouargla general algebra R211 program PDF","pdf","official_program_pdf_fallback","Arabic;ENS Ouargla;general algebra;ring homomorphism;ring isomorphism;ideals;principal rings;factorial rings","https://www.ens-ouargla.dz/wp-content/uploads/2023/10/%D8%A8.%D8%AC%D8%A8%D8%B1.%D8%B9%D8%A7%D9%85-%D8%B1211-1.pdf","HTTP headers cached as ens_ouargla_general_algebra_r211.headers.txt","sources/non_slavic_reference_corpus/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/ens_ouargla_general_algebra_r211.pdf","394037","07A990B0210722A42CB9F47982C2FE48284A4AAE76787A55D96C6A66D56158E0","HTTP 200 application/pdf; public official school/university file endpoint; no reuse/license clearance.","Valid %PDF-1.5 signature. Arabic extraction is searchable but contains bidi controls and formula-order caveats.","pdf_fallback_not_source_package","Official program PDF strengthens direct Arabic ring homomorphism/isomorphism and ideal/ring-class provenance but does not expose TeX/source files.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_pdf_witness"
"AR-RHCP-20260705-006","2026-07-05T15:35:00+02:00","Arabic RTL","derived_text_extract_verification","ENS Ouargla general algebra R211 textcheck","derived_text_extract","text_verification_only","Arabic;تماثل الحلقات;تشاكل الحلقات;نظرية التشاكل;ideals;rings;text extraction","local pdftotext extract from ENS Ouargla PDF","pdftotext -enc UTF-8","sources/non_slavic_reference_corpus/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/ens_ouargla_general_algebra_r211.textcheck.txt","13058","5046FF5A59B7DB54283CC73205517D918C9F56521F45FB19BAD5D390D5A2843A","Derived verification artifact only; inherits PDF access/license uncertainty; no separate license clearance.","NFKC-normalized extract confirms ring isomorphism/homomorphism and first-isomorphism-theorem curriculum context; text is not layout-safe.","derived_extract_not_source_package","NFKC counts include تشاكل 5, تماثل 2, حلقة 22, حلقات 11, الحلقات 5, مثالي 8, المثاليات 2, and جبر 3.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_text_extract_verification"
"AR-RHCP-20260705-007","2026-07-05T15:35:00+02:00","Arabic RTL","official_pdf_witness","University of Anbar Arabic mathematics program/course catalog PDF","pdf","official_program_pdf_fallback","Arabic;University of Anbar;ring algebra;ring homomorphism;kernel;isomorphism theorems;ideals;modern abstract algebra","https://epscollege.uoanbar.edu.iq/catalog/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA-%D8%B9%D8%B1%D8%A8%D9%8A%281%29.pdf","HTTP headers cached as anbar_mathematics_arabic_program.headers.txt","sources/non_slavic_reference_corpus/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/anbar_mathematics_arabic_program.pdf","3785287","7BF438273AB5D3A3AAC5A7C53F79DB0527D1AA7766A1EF0BF606E9733608EF55","HTTP 200 application/pdf; public official university catalog endpoint; no reuse/license clearance.","Valid %PDF-1.5 signature. Large Arabic curriculum/program body; extraction has bidi controls and is not visual QA.","pdf_fallback_not_source_package","Official program PDF strengthens Arabic ring algebra, ring homomorphism/kernel, ideals, and isomorphism-theorem provenance but does not expose TeX/source files.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_pdf_witness"
"AR-RHCP-20260705-008","2026-07-05T15:35:00+02:00","Arabic RTL","derived_text_extract_verification","University of Anbar Arabic mathematics program textcheck","derived_text_extract","text_verification_only","Arabic;التشاكل الحلقي;نواة التشاكل الحلقي;النظرية الأولى للتشاكل;التماثل;ideals;rings;text extraction","local pdftotext extract from Anbar PDF","pdftotext -enc UTF-8","sources/non_slavic_reference_corpus/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/anbar_mathematics_arabic_program.textcheck.txt","495181","7978A60D748E695A1E8AC1DCC0D4A7A2F02D2406EB159F7C9FAACE48739DDC6F","Derived verification artifact only; inherits PDF access/license uncertainty; no separate license clearance.","NFKC-normalized extract confirms direct ring homomorphism, kernel, isomorphism-theorem, ring, ideal, and abstract-algebra terms; text is not layout-safe.","derived_extract_not_source_package","NFKC counts include تشاكل 26, تماثل 6, حلقة 12, حلقات 24, الحلقات 22, نواة 4, مثالي 14, المثاليات 13, حقول 5, and جبر 50.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_text_extract_verification"
"AR-RHCP-20260705-009","2026-07-05T15:35:00+02:00","Arabic RTL","login_html_blocker","SVU LMS Chapter4 rings/fields candidate","html_login_payload","lms_login_blocker","Arabic;SVU;rings;fields;تشاكل حلقي;Moodle login blocker;source-body gap","https://lms.svuonline.org/pluginfile.php/187244/mod_folder/content/0/Chapter4.pdf?forcedownload=1","Headers show 303 redirect to Moodle login then 200 text/html","sources/non_slavic_reference_corpus/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/svu_chapter4_rings_fields.html","23862","5E83E30D907DD68035A1C698E29A28179BBBBF194C9C7E31345A6AC89396964C","Moodle login page only; no PDF/source body admitted; no license clearance.","Payload is `dir-ltr` login HTML, not Arabic mathematical body. It is a blocker record only.","blocked_not_source_package","Search snippet suggested ring-homomorphism content, but unauthenticated lane fetch resolved to login HTML, so no source body is admitted.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_blocker_row"
"AR-RHCP-20260705-010","2026-07-05T15:35:00+02:00","Arabic RTL","timeout_blocker","Yarmouk 2025 BSc mathematics curriculum PDF candidate","blocker_note","timeout_blocker","Arabic;Yarmouk University;ring homomorphism;curriculum candidate;timeout blocker","https://science.yu.edu.jo/images/2025/BScMath.pdf","Search snippet includes ring homomorphism/course-plan terms, but lane curl timed out","sources/non_slavic_reference_corpus/20260705T132600Z_arabic_ring_homomorphism_curriculum_probe/downloads/yarmouk_bscmath_2025.blocker.txt","1086","CE9F750A9581A92C14FDB8A32FAE8C768DCD90873F53B78FC1B2814CCE9974FB","Fetch timed out from lane shell; no PDF/source body admitted; no license clearance.","No RTL/source text captured locally; snippet evidence is not enough for admission.","blocked_not_source_package","Yarmouk remains an acquisition/blocker row; do not count it as Arabic source-body evidence until the PDF is fetched and hashed.","Draft source-canon/provenance only; no translation, term approval, native review, canonical approval, license clearance, gate promotion, reviewer-packet population, package claim, or Git push.","active_blocker_row"
