"row_id","source","evidence","adverse","do_not_use","next_action","label"
"18b-b3-001","B3","B3 18BBB package validation prepared; validation issues 0","package validation is not source certification or translation completion","Do not push from coordinator/language lane","B3 package steward handles branch-visible packaging","b3-package-boundary"
"18b-r3-001","R3","source_use_gap_rows=5; fable_adverse_rows=4; blockers=4; origin_contains_requested=True","new_r3_source_body_rows=0; new_canonical_translation_rows=0","Do not merge R3 route context into Arabic/Persianate authority","Continue R3/Arabic/Persianate exact source-body recovery","source-use-gap-boundary"
"18b-r6-001","R6","source_witness_rows_carried=315; literal_source_body_rows_carried=75; source_use_rows=7; fable_adverse_rows=5; blockers=6","mapping/reviewer/approval rows with direct evidence remain 0","Do not create visual inventory/sign rendering/term spine/bridge/pilot","R6 continues source-start and ethics/authority recovery","source-use-gap-boundary"
"18b-cjk-001","CJK","draft branch_source_use_gap_fable_adverse_rows=1103; native pointer rows=9; direct source candidates=0","no pan-CJK authority or Korean-school authority","Do not treat codepoint/source-use rows as native review","Continue CJK source-body/codepoint/manual-review recovery","source-use-codepoint-gap"
"18b-romance-001","Romance","French draft rows=20; Spanish draft rows=24; fable adverse rows=54","draft/noncanonical only","Do not approve terms or claim translation completion","Continue source-gated French/Spanish checks","draft-noncanonical-source-use-gap"
"18b-r2-001","R2","exact source blocker rows 15; zero-row preservation rows 11; active recovery rows 23","hard blockers remain protected","Do not create Pan-Turkic bridge/pilot/term promotion","Continue exact source row/reviewer return recovery","hard-blocker-source-use-gap"
"18b-r7-001","R7","changed_paths=119; r7_path_signals=0; prior_sha_reverify_ok=16","no literal R7 source body hits","Do not treat comparator/title-only evidence as translation evidence","Continue exact-content/source-return recovery","source-use-gap-boundary"
"18b-r9-001","R9","active recovery rows 61; OCR/Unicode rows 10; source-use adverse rows carried","strict language-token path hits=0","Do not claim R9 source return closure","Continue OCR/Unicode/source-return recovery","source-use-gap-boundary"
"18b-olp-001","OLP","fable formal object rows=14; relation function source-gated rows=16; blocker rows=5","real reviewer return rows=0; mapping/translation/approval deltas=0","Do not treat review-only infrastructure as reviewer return","Keep OLP support/review-only boundary","review-only-source-use-boundary"
"18b-persianate-001","Persianate/Tajik","A55 same-frontier dedup row added; packet SHA OK=31/NONOK=0; root SHA OK=1750/NONOK=0","no new source-body, independent Dari authority, Tajik promotion, native review, source certification, or gate promotion","Do not promote Tajik or merge Persian/Dari/Tajik gates","Continue fa_IR/prs_AF gated rows and Tajik discovery-only recovery","persianate-tajik-source-use-gap"

