evidence_id,relative_path,kind,parent_pdf_sha256,scan_index_zero_based,pdf_page_one_based,book_folio,expose,width_px,height_px,dpi,rotation_degrees,crop_bbox_xyxy,bytes,sha256,linked_source,qa_disposition
SGA7II-VIS-IDX197-PAGE,source-pages/SGA7II_scan_idx197_folio190_source_page_600dpi.png,source_page,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,197,198,190,XV,4025,6000,600,0,"0,0,4025,6000",480986,FCB518E90634206705009E4F3397B84E21589B02CA2E5032E29419D468234556,source/expose_XV_body.tex#scan-idx-197,PASS_SOURCE_CHECKED
SGA7II-VIS-IDX198-PAGE,source-pages/SGA7II_scan_idx198_folio191_source_page_600dpi.png,source_page,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,198,199,191,XV,4025,6000,600,0,"0,0,4025,6000",401270,6A9F0FB3300F7F88499D96A6757482E151E99E27CB8C55DE442FB5A30AF5766B,source/expose_XV_body.tex#scan-idx-198,PASS_SOURCE_CHECKED
SGA7II-VIS-IDX211-PAGE,source-pages/SGA7II_scan_idx211_folio204_source_page_600dpi.png,source_page,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,211,212,204,XVI,4025,6000,600,0,"0,0,4025,6000",398169,A1A5D2B407F30914F2E6179754C4F4435C67BF0CD1F1265159909045B55B29EB,source/expose_XVI_body.tex#scan-idx-211,PASS_SOURCE_CHECKED
SGA7II-VIS-IDX212-PAGE,source-pages/SGA7II_scan_idx212_folio205_source_page_600dpi.png,source_page,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,212,213,205,XVI,4025,6000,600,0,"0,0,4025,6000",309696,1388F1FC2B097C9C1B564AD141BF82CA361127D689D71A35AA22FF2791BA42C6,source/expose_XVI_body.tex#scan-idx-212,PASS_SOURCE_CHECKED
SGA7II-VIS-IDX197-CLIFFORD,detail-crops/SGA7II_idx197_folio190_clifford_and_variation_600dpi.png,detail_crop,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,197,198,190,XV,3700,1800,600,0,"150,180,3850,1980",86303,423A3D56EC16278B8DFC92FFF82CC3B54563F9B3E46B18A8154CC978B564A44E,source/expose_XV_body.tex#scan-idx-197,PASS_FORMULA_AND_PROSE
SGA7II-VIS-IDX197-SECTION33,detail-crops/SGA7II_idx197_folio190_section3_3_and_3_3_1_600dpi.png,detail_crop,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,197,198,190,XV,3500,3000,600,0,"250,2450,3750,5450",236067,C163215F3FA89D05956957DEF1664CDD2CFEDA742826F8144B19DB1CBF387FA4,source/expose_XV_body.tex#scan-idx-197,PASS_PROSE_AND_STRUCTURE
SGA7II-VIS-IDX198-CHARACTER,detail-crops/SGA7II_idx198_folio191_character_and_local_diagram_600dpi.png,detail_crop,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,198,199,191,XV,3650,4300,600,0,"180,150,3830,4450",220746,EE734338B6676840FF915FD0F2DCAD9D2A1957AD29AD33FDEF9BF4232E86D25A,source/expose_XV_body.tex#scan-idx-198,PASS_FORMULA_PROSE_DIAGRAM
SGA7II-VIS-IDX198-DIAGRAM,detail-crops/SGA7II_idx198_folio191_local_cohomology_diagram_600dpi.png,detail_crop,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,198,199,191,XV,3650,2650,600,0,"180,2800,3830,5450",132530,592C6ACD8D6BB65D3C1EC26E5420A7350C8E6A2CF0BE3A3CF7D497FF06EDE4CD,source/expose_XV_body.tex#scan-idx-198,PASS_NODE_EDGE_LABEL_PUNCTUATION
SGA7II-VIS-IDX211-PROP21,detail-crops/SGA7II_idx211_folio204_milnor_and_proposition2_1_600dpi.png,detail_crop,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,211,212,204,XVI,3550,4750,600,0,"220,250,3770,5000",261561,FCCE314D00EF846715F5ADE615ACA41E32BE00B32A268457F68500CE2E79EF92,source/expose_XVI_body.tex#scan-idx-211,PASS_FORMULA_AND_PROPOSITION
SGA7II-VIS-IDX212-CHERN,detail-crops/SGA7II_idx212_folio205_chern_class_calculation_600dpi.png,detail_crop,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,212,213,205,XVI,3550,4850,600,0,"220,150,3770,5000",178139,A175D450775CDF1E8153A9A4AEEC588154B67ACEE2D3847E65A4CE4169A511EE,source/expose_XVI_body.tex#scan-idx-212,PASS_FORMULA_SEQUENCE_AND_PUNCTUATION
SGA7II-VIS-IDX261-TITLE,detail-crops/SGA7II_idx261_folio254_exposeXVIII_title_400dpi.png,detail_crop,FA679DEBFC8ADA3232D7E752A1837FC6CE474488E20A44D7641CF296876E1297,261,262,254,XVIII,2684,1600,400,0,"0,200,2684,1800",235174,3A6446FFB5E213E35B42A4EAD7934FCC542D6622D2E1B8E1C3B3B3D9F9CE77DD,work-in-progress/expose_XVIII_partial.tex#scan-idx-261,PASS_BOUNDARY_TITLE_AND_CONTENTS
