"lexeme_id","gloss","source_spine","formula_neighboring_usage_note","generated_interlanguage_control","english_control","active_branch_count","effective_branch_number_D","marginal_score","current_positive_branches","missing_active_branches","external_context_documents","external_lead_contexts","external_formula_contexts","external_emitted_contexts","external_source_documents","external_source_forms","branch_metric_status","owner_route","review_focus","false_friend_review_prompt","next_source_or_owner_action","source_use_label","claim_boundary"
"rf_relation","relation as subset/predicate between objects","OpenLogic sets-functions-relations; DMOI relations","R subset A x B; x R y; ordered pairs","relatio","relation as subset/predicate between objects","3","2.5217","","Germanic; Slavic_West; Slavic_South","Slavic_East","0","0","0","0","","","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor review plus source-canon recovery for missing branch axis: Slavic_East.","No external false-friend slot emitted for this lexeme; keep general adverse-evidence guard.","Slavic East: be/ru/uk source-level relation-function contexts, preferably TeX/HTML/text with formulas","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_function","function as unique-output map","OpenLogic sets-functions-relations; DMOI functions","f: A -> B; f(x)=y; uniqueness of output","functio","function as unique-output map","4","3.0175","","Germanic; Slavic_East; Slavic_West; Slavic_South","","9","54","83","137","src-ext-wikimedia-pl-linear-map [pl; Slavic/West]; src-ext-wikimedia-pl-image [pl; Slavic/West]; src-ext-wikimedia-pl-function [pl; Slavic/West]; src-ext-wikimedia-uk-injective [uk; Slavic/East]; src-ext-wikimedia-uk-surjective [uk; Slavic/East]","pl:Funkcja (src-ext-wikimedia-pl-function); uk:Функція (математика) (src-ext-wikimedia-uk-function)","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor and register review; no branch-gap escalation from this OLP support row.","Use external_wikimedia_false_friend_review_slots.csv; 2 review slot(s) tied to recovered source-form candidates.","Owner lanes may draft from current source-probe baseline; still require direct source/reviewer verification before promotion.","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_domain","domain/input set of a function","OpenLogic and DMOI functions","domain(f); x in A; f: A -> B","dominio","domain/input set of a function","4","2.956","","Germanic; Slavic_East; Slavic_West; Slavic_South","","4","24","40","64","src-ext-wikimedia-pl-domain [pl; Slavic/West]; src-ext-wikimedia-pl-function [pl; Slavic/West]; src-ext-wikimedia-uk-domain [uk; Slavic/East]; src-ext-wikimedia-uk-function [uk; Slavic/East]","pl:Dziedzina (matematyka) (src-ext-wikimedia-pl-domain); uk:Область визначення (src-ext-wikimedia-uk-domain)","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor and register review; no branch-gap escalation from this OLP support row.","Use external_wikimedia_false_friend_review_slots.csv; 2 review slot(s) tied to recovered source-form candidates.","Owner lanes may draft from current source-probe baseline; still require direct source/reviewer verification before promotion.","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_codomain","declared target set/codomain","OpenLogic and DMOI functions","codomain B in f: A -> B; distinguish from image","codominio","declared target set/codomain","3","2.4486","","Germanic; Slavic_West; Slavic_South","Slavic_East","3","18","28","46","src-ext-wikimedia-pl-codomain [pl; Slavic/West]; src-ext-wikimedia-pl-function [pl; Slavic/West]; src-ext-wikimedia-uk-function [uk; Slavic/East]","pl:Przeciwdziedzina (src-ext-wikimedia-pl-codomain)","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor review plus source-canon recovery for missing branch axis: Slavic_East.","Use external_wikimedia_false_friend_review_slots.csv; 1 review slot(s) tied to recovered source-form candidates.","Slavic East: be/ru/uk source-level relation-function contexts, preferably TeX/HTML/text with formulas","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_image_range","image/range as attained values","OpenLogic and DMOI functions","im(f); f(A); range(f); f^{-1}(S)","imago/rango","image/range as attained values","4","3.8762","","Germanic; Slavic_East; Slavic_West; Slavic_South","","5","30","44","74","src-ext-wikimedia-pl-codomain [pl; Slavic/West]; src-ext-wikimedia-pl-image [pl; Slavic/West]; src-ext-wikimedia-pl-function [pl; Slavic/West]; src-ext-wikimedia-uk-function [uk; Slavic/East]; src-ext-wikimedia-uk-image-range [uk; Slavic/East]","pl:Obraz (matematyka) (src-ext-wikimedia-pl-image); uk:Область значень (src-ext-wikimedia-uk-image-range)","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor and register review; no branch-gap escalation from this OLP support row.","Use external_wikimedia_false_friend_review_slots.csv; 2 review slot(s) tied to recovered source-form candidates.","Owner lanes may draft from current source-probe baseline; still require direct source/reviewer verification before promotion.","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_injective","injective/one-to-one property","OpenLogic and DMOI functions","f(x1)=f(x2) => x1=x2","injectiv","injective/one-to-one property","4","3.2293","","Germanic; Slavic_East; Slavic_West; Slavic_South","","2","12","20","32","src-ext-wikimedia-pl-injective [pl; Slavic/West]; src-ext-wikimedia-uk-injective [uk; Slavic/East]","pl:Funkcja różnowartościowa (src-ext-wikimedia-pl-injective); uk:Ін'єкція (математика) (src-ext-wikimedia-uk-injective)","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor and register review; no branch-gap escalation from this OLP support row.","Use external_wikimedia_false_friend_review_slots.csv; 2 review slot(s) tied to recovered source-form candidates.","Owner lanes may draft from current source-probe baseline; still require direct source/reviewer verification before promotion.","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_surjective","surjective/onto property","OpenLogic and DMOI functions","forall y in B exists x in A with f(x)=y","surjectiv","surjective/onto property","4","3.2361","","Germanic; Slavic_East; Slavic_West; Slavic_South","","2","12","17","29","src-ext-wikimedia-pl-surjective [pl; Slavic/West]; src-ext-wikimedia-uk-surjective [uk; Slavic/East]","pl:Surjekcja (src-ext-wikimedia-pl-surjective); uk:Сюр'єкція (src-ext-wikimedia-uk-surjective)","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor and register review; no branch-gap escalation from this OLP support row.","Use external_wikimedia_false_friend_review_slots.csv; 2 review slot(s) tied to recovered source-form candidates.","Owner lanes may draft from current source-probe baseline; still require direct source/reviewer verification before promotion.","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_bijective","bijective property","OpenLogic and DMOI functions","injective and surjective; inverse exists","bijectiv","bijective property","4","3.2909","","Germanic; Slavic_East; Slavic_West; Slavic_South","","7","42","63","105","src-ext-wikimedia-pl-injective [pl; Slavic/West]; src-ext-wikimedia-pl-bijective [pl; Slavic/West]; src-ext-wikimedia-pl-inverse [pl; Slavic/West]; src-ext-wikimedia-pl-cardinality [pl; Slavic/West]; src-ext-wikimedia-uk-bijective [uk; Slavic/East]","pl:Funkcja wzajemnie jednoznaczna (src-ext-wikimedia-pl-bijective); uk:Бієкція (src-ext-wikimedia-uk-bijective)","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor and register review; no branch-gap escalation from this OLP support row.","Use external_wikimedia_false_friend_review_slots.csv; 2 review slot(s) tied to recovered source-form candidates.","Owner lanes may draft from current source-probe baseline; still require direct source/reviewer verification before promotion.","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_equivalence_relation","equivalence relation from reflexive/symmetric/transitive","OpenLogic and DMOI relations","reflexive; symmetric; transitive; equivalence classes","equivalens relatio","equivalence relation from reflexive/symmetric/transitive","3","2.303","","Germanic; Slavic_East; Slavic_South","Slavic_West","0","0","0","0","","","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor review plus source-canon recovery for missing branch axis: Slavic_West.","No external false-friend slot emitted for this lexeme; keep general adverse-evidence guard.","Slavic West: hsb/pl/cs source-level relation-function contexts, not only general glossary hits","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_partial_order","partial order from reflexive/antisymmetric/transitive","OpenLogic and DMOI relations","reflexive; antisymmetric; transitive; poset","ordo partial","partial order from reflexive/antisymmetric/transitive","3","2.7023","","Germanic; Slavic_East; Slavic_South","Slavic_West","0","0","0","0","","","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor review plus source-canon recovery for missing branch axis: Slavic_West.","No external false-friend slot emitted for this lexeme; keep general adverse-evidence guard.","Slavic West: hsb/pl/cs source-level relation-function contexts, not only general glossary hits","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
"rf_composition","function composition","OpenLogic and DMOI functions","g o f; g(f(x)); A -> B -> C","compositio","function composition","3","2.2544","","Germanic; Slavic_West; Slavic_South","Slavic_East","0","0","0","0","","","source-probe-balanced-enough-for-language-owner-review; no native review, no accepted terminology","relation/function language owner lanes","Formula-neighbor review plus source-canon recovery for missing branch axis: Slavic_East.","No external false-friend slot emitted for this lexeme; keep general adverse-evidence guard.","Slavic East: be/ru/uk source-level relation-function contexts, preferably TeX/HTML/text with formulas","generated-draft/non-canonical formula-neighbor review matrix","support-only; no native review; no accepted terminology; no approval; no license clearance; no source certification; no final status; no translation completion"
