source_index,printed_page,path,bytes,sha256,transcription_mode,review_resolution,status
21,217,source/manual/idx_21.tex,4965,19738789E950623F08DED5FAFA81194B91A9DAD5A6586990FB3F986AC70F6503,direct_from_rendered_source_leaf,500 dpi whole leaf; 1200 dpi disputed line,included_in_complete_body
22,218,source/manual/idx_22.tex,5551,A173B25DF395B020EA5B4897C3DD477258AD8F1FEC12BFCC24A584D62FE4F038,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
25,221,source/manual/idx_25.tex,5457,DBC3C34A43C46255BA4579824A2172A82EE099F45E738FC04F4DAE12AA7E8821,direct_from_rendered_source_leaf,500 dpi whole leaf; 1400 dpi inequality glyph,included_in_complete_body
26,222,source/manual/idx_26.tex,4426,DC030BFC445C1F60E657F72E60CA268ED49904C44DE7E754F5C663BA21BD2D34,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
71,267,source/manual/idx_71.tex,4754,C8AC2ACECD1CE5B25C726669588F995C52FBB709BC9D159CFA1D096504DAF38F,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
72,268,source/manual/idx_72.tex,4276,8517B7476D61412AF2F62DF4FAA87ED124C5A744850F6ECAC45F751F2B3C1F15,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
73,269,source/manual/idx_73.tex,4651,EE03134942E23A740607BF6D1AC61817C5242468629A409F612CAAF22E1DE999,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
74,270,source/manual/idx_74.tex,4450,C4DE24AD14FD9DF4BAB47CD2135FEB7A827FDE1D1DC1B9555173274309C98DD1,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
77,273,source/manual/idx_77.tex,4836,B31346A4508773B1865762E1E4E314EB4ED30C90948E28BF316507BBB2D295E3,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
78,274,source/manual/idx_78.tex,4334,22A40D7AFD3A460C2168A08609275A20415382E1165A67B21F764AD7140F2070,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
79,275,source/manual/idx_79.tex,4738,BFD0D15134D53D780880EE4A9F0769CC42F0704646F5CB2B8412F1D97BF2CB1B,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
80,276,source/manual/idx_80.tex,4937,9A24F995155D23D8B1A200122AF0687C57B77DD3A3AA6F24F3D08A78B7CDA386,direct_from_rendered_source_leaf,500 dpi whole leaf,included_in_complete_body
