package_item_id,artifact_family,formats,primary_role,depends_on,session_b_suggested_action,ordinary_size_expected,source_text_or_excerpt_files,large_file_expected,requires_git_lfs,mapping_decisions,translations_created,approvals_recorded,readiness_claims
K-SB-PKG-001,SESSION_K_DURABLE_RUN_LOG_20260704,md;json,state-preserving run log for continuation,all Session K outputs,package as lane state record if Session B accepts support bundle,true,0,false,false,0,0,0,0
K-SB-PKG-002,SESSION_K_ACTUAL_LANE_OUTPUT_BINDING_MATRIX_20260704,md;json;csv,binding matrix tying support to actual lane outputs,upstream lane artifacts,package as actual-lane binding sidecar,true,0,false,false,0,0,0,0
K-SB-PKG-003,SESSION_K_CORPUS_TRANSLATION_DRAFT_SOURCE_POINTERS_20260704,md;json;csv,draft source pointers for corpus translation lanes,OPEN_RELATION_FUNCTION_TRANSLATION_SOURCE_CANDIDATE_SHELF_20260702T131500Z,package as draft source-pointer support sidecar,true,0,false,false,0,0,0,0
K-SB-PKG-004,SESSION_K_REVIEW_FORM_SLOT_BINDINGS_TO_LANE_OUTPUTS_20260704,md;json;csv,review-form slot bindings tied to lane outputs,non-Slavic; French/Japanese; OpenTranslation; OpenIntro; Malay-Indonesian route-only,package as review-form slot binding sidecar,true,0,false,false,0,0,0,0
K-SB-PKG-005,SESSION_K_RELATION_FUNCTION_SOURCE_POINTER_SIDECAR_20260704,md;json;csv,OLP/DMOI relation-function pointer sidecar,OLP_DMOI_RELATION_FUNCTION_SOURCE_POINTER_PACKET_20260702T133000Z,package as reusable source-pointer sidecar,true,0,false,false,0,0,0,0
K-SB-PKG-006,SESSION_K_REVIEWER_RETURN_INTAKE_TEMPLATE_20260704,md;json;csv,blank reviewer return intake template,reviewer-scope return ledger pattern,package as blank intake shell,true,0,false,false,0,0,0,0
K-SB-PKG-007,SESSION_K_REVIEW_ONLY_SLOT_RETURN_LEDGER_TEMPLATE_20260704,md;json;csv,package-148-compatible review-only slot ledger,SEMI_CONSTRUCTED_RELATION_FUNCTION_REVIEW_ONLY_SLOT_RETURN_LEDGER_TEMPLATE_20260703T071500Z,package as blank slot-return ledger shell,true,0,false,false,0,0,0,0
K-SB-PKG-008,SESSION_K_ROUTING_ZERO_GATE_POLICY_20260704,md;json;csv,routing and zero-gate policy,all language-specific or ownerless method risks,package as gate guard sidecar,true,0,false,false,0,0,0,0
K-SB-PKG-009,SESSION_K_OLP_RELATION_FUNCTION_SUPPORT_BUNDLE_INDEX_20260704,md;json,index for first support bundle,first support bundle artifacts,package as bundle index,true,0,false,false,0,0,0,0
K-SB-PKG-010,SESSION_K_PACKAGE_COMPATIBLE_SIDECAR_MANIFEST_20260704,md;json;sha256,first payload checksum manifest,first support bundle payloads,package as checksum record for first bundle,true,0,false,false,0,0,0,0
K-SB-PKG-011,SESSION_K_SUPPORT_GAP_CLOSURE_REGISTER_20260704,md;json;csv,known support gap closure register,all Session K support slices,package as closure/state sidecar after creation,true,0,false,false,0,0,0,0
K-SB-PKG-012,SESSION_K_SESSION_B_PACKAGE_CONSUMPTION_SIDECAR_20260704,md;json;csv,Session B package consumption map,this file family,package as Session B intake map,true,0,false,false,0,0,0,0
K-SB-PKG-013,SESSION_K_ZENODO_HANDOFF_READER_FIX_PASS_20260704,md;json;csv,Zenodo/GitHub follow-on reader support guard,NOETHER_GITHUB_ZENODO_CROSS_SESSION_DEADDROP_20260702,package as optional reader/fix-pass guard sidecar,true,0,false,false,0,0,0,0
K-SB-PKG-014,SESSION_K_PACKAGE149_CURRENT_READER_INTEGRATION_AUDIT_20260704,md;json;csv,package149 current-reader refresh audit,NOETHER_SESSION_OUTPUT_PACKAGE149_20260704T062951_ROLLING_SNAPSHOT,package as package149 refresh hint sidecar,true,0,false,false,0,0,0,0
K-SB-PKG-015,SESSION_K_STALE_READER_REFRESH_REGISTER_20260704,md;json;csv,stale-reader refresh register after package149,SESSION_K_PACKAGE149_CURRENT_READER_INTEGRATION_AUDIT_20260704,package as stale-reader/current-reader refresh register,true,0,false,false,0,0,0,0
