source_term,spanish,japanese,notes

Eliminationstheorie,teoría de la eliminación,消去理論,Paper 25 title and continuation of Paper 24 discipline wording
Idealtheorie,teoría de ideales,イデアル論,General ideal theory in Papers 25-28
Nullstellenkörper,cuerpo de ceros,零点体,Paper 25 zero-field construction
Restklassenkörper,cuerpo de clases residuales,剰余類体,Residue-class field/body modulo prime ideal
zugehöriges Primideal,ideal primo asociado,付随素イデアル,Associated prime attached to a primary component
Galoisscher Körper,cuerpo de Galois,Galois 体,Paper 25 and Paper 29
Fundamentalform,forma fundamental,基本形式,Paper 25 fundamental equation/form
endliche Ordnung,orden finito,有限オーダー,Paper 26 algebraic number field notice
Hilbertsche Anzahlen,números hilbertianos,Hilbert 数,Paper 27
Gruppencharaktere,caracteres de grupos,群指標,Paper 28 Frobenius character theory
endliche lineare Gruppe,grupo lineal finito,有限線型群,Paper 29 finite abstract linear group
endlicher Unterring,subanillo finito,有限な部分環,Finite/basis-finite in finiteness-criterion context, not finite cardinality
Galoissche Resolvente,resolvente de Galois,Galois リゾルベント,Paper 29 invariant proof
relative Invariante,invariante relativo,相対不変式,Paper 29
modulare Invariante,invariante modular,モジュラー不変式,Paper 29
