"source_path","bytes","sha256","disposition","reason"
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T071233Z_r3_adjacent_asia_completeness_source_shelf","638847680","","selective_subtree_only","Only wikipedia_wikitext/tr selected; unrelated 638 MB source/code archive payload left in place."
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T074321Z_r3_explicit_gap_retry_dari_uyghur_kyrgyz\wikipedia_wikitext\ps\الجبر.wikitext.txt","551","542cfbdd9d9e0870ce32897e995ad956d1b6fac7353ec93abe25be6651850c6a","not_copied_outside_turkic_source_selection","Neutral shelf body belongs to another manager lane; retrieval metadata and selected Turkic bodies remain."
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T074321Z_r3_explicit_gap_retry_dari_uyghur_kyrgyz\wikipedia_wikitext\tg\Алгебра.wikitext.txt","20986","d16ff09393c5c61d8717151b3357ac5090cd1e38304322982678215e426b4d5c","not_copied_outside_turkic_source_selection","Neutral shelf body belongs to another manager lane; retrieval metadata and selected Turkic bodies remain."
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T074321Z_r3_explicit_gap_retry_dari_uyghur_kyrgyz\wikipedia_wikitext\tg\Алгебраи_хаттӣ.wikitext.txt","4330","fbf1074cc8afeaa2681e5d548ab4caceaced30a85d34f5072f4af8f690c355a3","not_copied_outside_turkic_source_selection","Neutral shelf body belongs to another manager lane; retrieval metadata and selected Turkic bodies remain."
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T074321Z_r3_explicit_gap_retry_dari_uyghur_kyrgyz\wikipedia_wikitext\tg\Бином.wikitext.txt","703","1ce0b19442191cd0952edc570d9c4cee0969f0d7413e70b87b7d9e80e43e7b20","not_copied_outside_turkic_source_selection","Neutral shelf body belongs to another manager lane; retrieval metadata and selected Turkic bodies remain."
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T074321Z_r3_explicit_gap_retry_dari_uyghur_kyrgyz\wikipedia_wikitext\tg\Гурӯҳ_(риёзиёт).wikitext.txt","5132","237d73997b6651a1000b7e2224f43fe8b847cf907767fb7f3b9c657caeceb842","not_copied_outside_turkic_source_selection","Neutral shelf body belongs to another manager lane; retrieval metadata and selected Turkic bodies remain."
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T110500Z_r2_central_asian_turkic_institutional_source_retry\github\github_bashkir_cyrillic_math.json","55","4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f","not_copied_verified_zero_result_telemetry","Exact institutional-shelf predicate: empty GitHub result; no linguistic evidence."
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T110500Z_r2_central_asian_turkic_institutional_source_retry\github\github_bashkir_math.json","55","4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f","not_copied_verified_zero_result_telemetry","Exact institutional-shelf predicate: empty GitHub result; no linguistic evidence."
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T110500Z_r2_central_asian_turkic_institutional_source_retry\github\github_kyrgyz_cyrillic_math.json","55","4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f","not_copied_verified_zero_result_telemetry","Exact institutional-shelf predicate: empty GitHub result; no linguistic evidence."
"C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T110500Z_r2_central_asian_turkic_institutional_source_retry\github\github_kyrgyz_math.json","55","4af480b8ee5b87b369a76c49bd22c9a783908272ebffbe97898f8ab0f0772a5f","not_copied_verified_zero_result_telemetry","Exact institutional-shelf predicate: empty GitHub result; no linguistic evidence."
