node_id,parent_id,node_type,label,language_code,coverage_status,topology_status
TRK,,family,Turkic,,operational_root,provisional_exploratory_unweighted
TRK-OGHUR,TRK,cohort,Oghur,,declared_cohort,provisional_exploratory_unweighted
TRK-OGHUR-CV,TRK-OGHUR,language,Chuvash,cv,recovered_raw_candidate_source_not_canonical,provisional_exploratory_unweighted
TRK-OGHUZ,TRK,cohort,Oghuz,,declared_cohort,provisional_exploratory_unweighted
TRK-OGHUZ-TR,TRK-OGHUZ,language,Turkish,tr,canonical_corpus_plus_recovered_native_sources_not_translation_ready,provisional_exploratory_unweighted
TRK-OGHUZ-AZ,TRK-OGHUZ,language,Azerbaijani,az,canonical_corpus_plus_exact_candidates_not_translation_ready,provisional_exploratory_unweighted
TRK-OGHUZ-TK,TRK-OGHUZ,language,Turkmen,tk,rendered_polynomial_ring_witness_authority_review_open,provisional_exploratory_unweighted
TRK-OGHUZ-GAG,TRK-OGHUZ,language,Gagauz,gag,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-OGHUZ-QASHQAI,TRK-OGHUZ,language,Qashqai,,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-KIPCHAK,TRK,cohort,Kipchak,,declared_cohort,provisional_exploratory_unweighted
TRK-KIPCHAK-TT,TRK-KIPCHAK,language,Tatar,tt,canonical_corpus_covered_hard_rows_open,provisional_exploratory_unweighted
TRK-KIPCHAK-BA,TRK-KIPCHAK,language,Bashkir,ba,canonical_corpus_covered_not_translation_ready,provisional_exploratory_unweighted
TRK-KIPCHAK-KK,TRK-KIPCHAK,language,Kazakh,kk,canonical_corpus_plus_exact_candidates_not_translation_ready,provisional_exploratory_unweighted
TRK-KIPCHAK-KY,TRK-KIPCHAK,language,Kyrgyz,ky,canonical_corpus_covered_hard_rows_open,provisional_exploratory_unweighted
TRK-KIPCHAK-KAA,TRK-KIPCHAK,language,Karakalpak,kaa,recovered_raw_polynomial_ring_candidate_not_canonical,provisional_exploratory_unweighted
TRK-KIPCHAK-CRH,TRK-KIPCHAK,language,Crimean Tatar,crh,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-KIPCHAK-NOG,TRK-KIPCHAK,language,Nogai,nog,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-KIPCHAK-KUM,TRK-KIPCHAK,language,Kumyk,kum,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-KIPCHAK-KRC,TRK-KIPCHAK,language,Karachay-Balkar,krc,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-KIPCHAK-KARAIM,TRK-KIPCHAK,language,Karaim,,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-KARLUK,TRK,cohort,Karluk / Southeastern,,declared_cohort,provisional_exploratory_unweighted
TRK-KARLUK-UZ,TRK-KARLUK,language,Uzbek,uz,canonical_corpus_plus_exact_candidates_not_translation_ready,provisional_exploratory_unweighted
TRK-KARLUK-UG,TRK-KARLUK,language,Uyghur,ug,canonical_corpus_covered_authority_gate_open,provisional_exploratory_unweighted
TRK-SIBERIAN,TRK,cohort,Siberian / Northeastern,,gap_cohort_classification_pending,provisional_exploratory_unweighted
TRK-SIBERIAN-SAH,TRK-SIBERIAN,language,Sakha,sah,recovered_raw_hefferon_source_candidates_not_canonical,provisional_exploratory_unweighted
TRK-SIBERIAN-TYV,TRK-SIBERIAN,language,Tuvan,tyv,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-SIBERIAN-KJH,TRK-SIBERIAN,language,Khakas,kjh,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-SIBERIAN-ALT,TRK-SIBERIAN,language,Altai standards,alt,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-SIBERIAN-CJS,TRK-SIBERIAN,language,Shor,cjs,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-SIBERIAN-DLG,TRK-SIBERIAN,language,Dolgan,dlg,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-OTHER,TRK,cohort,Other / classification-pending,,gap_cohort,provisional_exploratory_unweighted
TRK-OTHER-KHALAJ,TRK-OTHER,language,Khalaj,,gap_no_packaged_source_body,provisional_exploratory_unweighted
TRK-OTHER-SALAR,TRK-OTHER,language,Salar,,gap_no_packaged_source_body,provisional_exploratory_unweighted
