"relative_path","expected_sha256","actual_sha256","status"
"ACTIVE_GOAL_VERBATIM.md","3ff02f07720cb43a7d408c3e247173097d1d122d85cd3c8c998b890aeb1135bc","3ff02f07720cb43a7d408c3e247173097d1d122d85cd3c8c998b890aeb1135bc","pass"
"ACTIVE_SESSION_STATE.md","d783372c1c01907b4bd5b29201e4b5e0d89c2f8aac67aa8e53b5dc4d2928fde5","d783372c1c01907b4bd5b29201e4b5e0d89c2f8aac67aa8e53b5dc4d2928fde5","pass"
"BLOCKERS.csv","7d6adffb7b0f00159a84eac3f87959ca3b218752f011373f07f6203354f026ed","7d6adffb7b0f00159a84eac3f87959ca3b218752f011373f07f6203354f026ed","pass"
"bodies/az/institutional-pdfs/azerbaijani_bqu_math_pdf.pdf","85875e653f4a2a3a7d4ad3d5cf2842186ddbb5ca7f542a11c2dfd2ec0c9b577b","85875e653f4a2a3a7d4ad3d5cf2842186ddbb5ca7f542a11c2dfd2ec0c9b577b","pass"
"bodies/az/institutional-pdfs/azerbaijani_bsu_riyaziyyat_hisse1.pdf","808196384ee0a924dd1734f0f4a73043493ec3540bfe00b56db1330bacd11d8c","808196384ee0a924dd1734f0f4a73043493ec3540bfe00b56db1330bacd11d8c","pass"
"bodies/az/prior-retry/azerbaijani_wikisun_module_riyaziyyat.html","8b9e4c08dca9e9672be4028f1200e746eae71ae28a10c6d35c164099672ae650","8b9e4c08dca9e9672be4028f1200e746eae71ae28a10c6d35c164099672ae650","pass"
"bodies/az/wikitext-20260629T101500Z/Algebra__Cəbr.wiki","1dcc2f3f7f3de9e702abb563c7ca90c8165dbb060ae2eaf3c3bbb35e77ba9ba2","1dcc2f3f7f3de9e702abb563c7ca90c8165dbb060ae2eaf3c3bbb35e77ba9ba2","pass"
"bodies/az/wikitext-20260629T101500Z/Differential equation__Diferensial tənliklər.wiki","0c69e93bbe406be0de3d073ffb2f77535e0014cea33a7c7904ffee1b9e916836","0c69e93bbe406be0de3d073ffb2f77535e0014cea33a7c7904ffee1b9e916836","pass"
"bodies/az/wikitext-20260629T101500Z/Equation__Tənlik.wiki","46ba0006a863ae4714707c81ce0545461b2284b6413a662e54fa8b5dd4197bf0","46ba0006a863ae4714707c81ce0545461b2284b6413a662e54fa8b5dd4197bf0","pass"
"bodies/az/wikitext-20260629T101500Z/Function (mathematics)__Funksiya (riyaziyyat).wiki","7d0b33364563139f79181e9034f40e8fbe60d67d0bf900f23f2ef754fbcaf05a","7d0b33364563139f79181e9034f40e8fbe60d67d0bf900f23f2ef754fbcaf05a","pass"
"bodies/az/wikitext-20260629T101500Z/Group theory__Qrup nəzəriyyəsi.wiki","7cc250bd2aab17bd6edbf453d35ff5bdf69762862b77233e221c95ba5c28797e","7cc250bd2aab17bd6edbf453d35ff5bdf69762862b77233e221c95ba5c28797e","pass"
"bodies/az/wikitext-20260629T101500Z/Linear algebra__Xətti cəbr.wiki","bba23c2049e3d84c1a369e52cb3bd5b2a2f5c1202fb8507b3ba83c1e07b6e4bc","bba23c2049e3d84c1a369e52cb3bd5b2a2f5c1202fb8507b3ba83c1e07b6e4bc","pass"
"bodies/az/wikitext-20260629T101500Z/Mathematics__Riyaziyyat.wiki","7bd24a9d19693ea4d5cccdfd147e3bfecaa04cacfb45509d1a636da625ac3c0a","7bd24a9d19693ea4d5cccdfd147e3bfecaa04cacfb45509d1a636da625ac3c0a","pass"
"bodies/az/wikitext-20260629T101500Z/Matrix (mathematics)__Matris.wiki","ca077c49f72db796c8f5cba086425025c8857327a161a878890ae101f042422e","ca077c49f72db796c8f5cba086425025c8857327a161a878890ae101f042422e","pass"
