"category","source_path","bytes","sha256","duplicate_of","disposition"
"turkish_native_source_shelf","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T071233Z_r3_adjacent_asia_completeness_source_shelf\wikipedia_wikitext\tr\Matrix_(mathematics)__Matris_(matematik).wikitext.txt","22864","bcce4c4a3d563e9e107f84a1f6e73b1290aa9620cc38e997b2e79f4f17480982","03_projects/language_management/turkic/02_native_examples/recovered_cross_work_sources/20260630t214056z_r3_arabic_turkic_subrow_source_capture/tr_matrix__Matris_matematik.wiki.txt","not_copied_exact_selected_duplicate"
"gap_provenance","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T074321Z_r3_explicit_gap_retry_dari_uyghur_kyrgyz\wikipedia_wikitext\ky\Алгебра.wikitext.txt","4419","9e2c4a37dc145fe42aa0d7e7e8c6a5660727ecbbad6968937b610dbfb17e496c","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/bodies/ky/wikitext-20260629T101500Z/Algebra__Алгебра.wiki","not_copied_exact_canonical_duplicate"
"gap_provenance","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T074321Z_r3_explicit_gap_retry_dari_uyghur_kyrgyz\wikipedia_wikitext\ky\Жогорку_алгебра.wikitext.txt","780","efbd0c6b27b87c2800c80182a13bb241950207657188ee87d81a95d1d81b1206","03_projects/language_management/turkic/02_native_examples/recovered_cross_work_sources/20260629t234500z_r2_pan_turkic_tatar_kyrgyz_algebra_context_retry/wikitext/pan_turkic_kyrgyz/ky_11e6459af36f.wiki","not_copied_exact_selected_duplicate"
"institutional_source_candidate","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T110500Z_r2_central_asian_turkic_institutional_source_retry\html\pan_turkic_uyghur\uyghur_archive_tarim_algebra.html","46188","d0b5ff3114c7d059c33202c69449fd1a1427a7cfaeae151b2d85619e00e78bb8","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/bodies/ug/prior-retry/uyghur_tarim_algebra_math_dictionary.html","not_copied_exact_canonical_duplicate"
"institutional_source_candidate","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T110500Z_r2_central_asian_turkic_institutional_source_retry\text\pan_turkic_uyghur\uyghur_archive_tarim_algebra.txt","8650","7896296ea30ce1d5e9e54e6116da5c8ce49430abec961cc39754e9b61d9a7197","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/source-rescribe-workpass/ug/prior-retry/uyghur_tarim_algebra_math_dictionary.txt","not_copied_exact_canonical_duplicate"
"abstract_algebra_source_candidate","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T113000Z_r2_central_asian_turkic_abstract_algebra_retry\wikitext\az\Group theory__Qrup nəzəriyyəsi.wiki","2096","7cc250bd2aab17bd6edbf453d35ff5bdf69762862b77233e221c95ba5c28797e","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/bodies/az/wikitext-20260629T101500Z/Group theory__Qrup nəzəriyyəsi.wiki","not_copied_exact_canonical_duplicate"
"abstract_algebra_source_candidate","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T113000Z_r2_central_asian_turkic_abstract_algebra_retry\wikitext\az\Linear algebra__Xətti cəbr.wiki","783","bba23c2049e3d84c1a369e52cb3bd5b2a2f5c1202fb8507b3ba83c1e07b6e4bc","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/bodies/az/wikitext-20260629T101500Z/Linear algebra__Xətti cəbr.wiki","not_copied_exact_canonical_duplicate"
"abstract_algebra_source_candidate","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T113000Z_r2_central_asian_turkic_abstract_algebra_retry\wikitext\ba\Field (mathematics)__Ялан (алгебра).wiki","16081","1110bd22fbf087acf901c29c7d916cbe23bd0ac978e174405440f09f61ebc7cc","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/bodies/ba/wikitext-20260629T101500Z/Field (mathematics)__Ялан (алгебра).wiki","not_copied_exact_canonical_duplicate"
"abstract_algebra_source_candidate","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T113000Z_r2_central_asian_turkic_abstract_algebra_retry\wikitext\ba\Group theory__Төркөмдәр теорияһы.wiki","49282","5081761dc036708951348ea2e738a2f0e003106c19a1b10074a29a9235baa6a7","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/bodies/ba/wikitext-20260629T101500Z/Group theory__Төркөмдәр теорияһы.wiki","not_copied_exact_canonical_duplicate"
"abstract_algebra_source_candidate","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T113000Z_r2_central_asian_turkic_abstract_algebra_retry\wikitext\ba\Linear algebra__Һыҙыҡлы алгебра.wiki","74880","cd6d82e4a0fe83b537e0113fb3869be9659b1c54853df774a0fb4f4aaecba44b","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/bodies/ba/wikitext-20260629T101500Z/Linear algebra__Һыҙыҡлы алгебра.wiki","not_copied_exact_canonical_duplicate"
"abstract_algebra_source_candidate","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T113000Z_r2_central_asian_turkic_abstract_algebra_retry\wikitext\ba\Ring (mathematics)__Ҡулса (математика).wiki","43081","44d821f09fd2a071eb7c53734c5dae665fba051de2db25685732f501661ee4b2","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/bodies/ba/wikitext-20260629T101500Z/Ring (mathematics)__Ҡулса (математика).wiki","not_copied_exact_canonical_duplicate"
"abstract_algebra_source_candidate","C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260629T113000Z_r2_central_asian_turkic_abstract_algebra_retry\wikitext\kk\Ideal (ring theory)__Идеал (математикада).wiki","3386","8901a218eccb9b7d99c2e21664c947102bc16af97e8b2d5af075219188acc189","02_native_source_corpora/github_language_source_bodies/pan-turkic-source-bodies-20260705/bodies/kk/wikitext-20260629T101500Z/Ideal (ring theory)__Идеал (математикада).wiki","not_copied_exact_canonical_duplicate"
