"edge_id","source_node","target_node","relation_type","evidence_channel","scope","status","note"
"EDGE-az-POLYNOMIAL_RING-DECISION-FORM","DEC-az-POLYNOMIAL_RING","FORM-az-POLYNOMIAL_RING","withholds_promotion_of","veto","INFRA-TURKIC|az","active","Hard readiness gates remain open; scalar auto-promotion is prohibited."
"EDGE-az-POLYNOMIAL_RING-FORM-CONCEPT","FORM-az-POLYNOMIAL_RING","CON-POLYNOMIAL_RING","candidate_realization_of","candidate","az|Oghuz","held","Language-specific candidate; cross-language inference prohibited."
"EDGE-az-POLYNOMIAL_RING-SOURCE-DECISION","SRC-az-POLYNOMIAL_RING","DEC-az-POLYNOMIAL_RING","grounds_witness_classification","support","INFRA-TURKIC|az","active","Supports only the witness-found classification, not accepted terminology."
"EDGE-az-POLYNOMIAL_RING-SOURCE-FORM","SRC-az-POLYNOMIAL_RING","FORM-az-POLYNOMIAL_RING","attests_in_context","candidate","az|Latin|algebra book catalogue","context_checked","sha256=0c64922f409f0e445787fdef25f5b38b16ab99f5f7bed0bed6b10b7ab05a60ff"
"EDGE-ba-NOETHERIAN_RING-DECISION-FORM","DEC-ba-NOETHERIAN_RING","FORM-ba-NOETHERIAN_RING","withholds_promotion_of","veto","NTH|ba","active","Hard readiness gates remain open; scalar auto-promotion is prohibited."
"EDGE-ba-NOETHERIAN_RING-FORM-CONCEPT","FORM-ba-NOETHERIAN_RING","CON-NOETHERIAN_RING","candidate_realization_of","candidate","ba|Kipchak","held","Language-specific candidate; cross-language inference prohibited."
"EDGE-ba-NOETHERIAN_RING-SOURCE-DECISION","SRC-ba-NOETHERIAN_RING","DEC-ba-NOETHERIAN_RING","grounds_witness_classification","support","NTH|ba","active","Supports only the witness-found classification, not accepted terminology."
"EDGE-ba-NOETHERIAN_RING-SOURCE-FORM","SRC-ba-NOETHERIAN_RING","FORM-ba-NOETHERIAN_RING","attests_in_context","candidate","ba|Cyrillic|encyclopedic mathematics","context_checked","sha256=a5bd8cf474034c087251a0a1d44066a7f2d5e6902c4cfb8e16fd3dd12c08942e"
"EDGE-kaa-POLYNOMIAL_RING-DECISION-FORM","DEC-kaa-POLYNOMIAL_RING","FORM-kaa-POLYNOMIAL_RING","withholds_promotion_of","veto","INFRA-TURKIC|kaa","active","Hard readiness gates remain open; scalar auto-promotion is prohibited."
"EDGE-kaa-POLYNOMIAL_RING-FORM-CONCEPT","FORM-kaa-POLYNOMIAL_RING","CON-POLYNOMIAL_RING","candidate_realization_of","candidate","kaa|Kipchak","held","Language-specific candidate; cross-language inference prohibited."
"EDGE-kaa-POLYNOMIAL_RING-SOURCE-DECISION","SRC-kaa-POLYNOMIAL_RING","DEC-kaa-POLYNOMIAL_RING","grounds_witness_classification","support","INFRA-TURKIC|kaa","active","Supports only the witness-found classification, not accepted terminology."
"EDGE-kaa-POLYNOMIAL_RING-SOURCE-FORM","SRC-kaa-POLYNOMIAL_RING","FORM-kaa-POLYNOMIAL_RING","attests_in_context","candidate","kaa|Latin|mathematical journal article","context_checked","sha256=111f76e9ca3def188a9a3dc7437195120da6cb883254cd1fb50611dd394a279b"
"EDGE-kk-NOETHERIAN_RING-DECISION-FORM","DEC-kk-NOETHERIAN_RING","FORM-kk-NOETHERIAN_RING","withholds_promotion_of","veto","NTH|kk","active","Hard readiness gates remain open; scalar auto-promotion is prohibited."
"EDGE-kk-NOETHERIAN_RING-FORM-CONCEPT","FORM-kk-NOETHERIAN_RING","CON-NOETHERIAN_RING","candidate_realization_of","candidate","kk|Kipchak","held","Language-specific candidate; cross-language inference prohibited."
"EDGE-kk-NOETHERIAN_RING-SOURCE-DECISION","SRC-kk-NOETHERIAN_RING","DEC-kk-NOETHERIAN_RING","grounds_witness_classification","support","NTH|kk","active","Supports only the witness-found classification, not accepted terminology."
"EDGE-kk-NOETHERIAN_RING-SOURCE-FORM","SRC-kk-NOETHERIAN_RING","FORM-kk-NOETHERIAN_RING","attests_in_context","candidate","kk|Cyrillic|encyclopedic mathematical biography","context_checked","sha256=ba2d46c8dec68bc260b49cae6cfcd555e27f8f664129676a60ad7afd5fe2218f"
"EDGE-kk-POLYNOMIAL_RING-DECISION-FORM","DEC-kk-POLYNOMIAL_RING","FORM-kk-POLYNOMIAL_RING","withholds_promotion_of","veto","INFRA-TURKIC|kk","active","Hard readiness gates remain open; scalar auto-promotion is prohibited."
"EDGE-kk-POLYNOMIAL_RING-FORM-CONCEPT","FORM-kk-POLYNOMIAL_RING","CON-POLYNOMIAL_RING","candidate_realization_of","candidate","kk|Kipchak","held","Language-specific candidate; cross-language inference prohibited."
"EDGE-kk-POLYNOMIAL_RING-SOURCE-DECISION","SRC-kk-POLYNOMIAL_RING","DEC-kk-POLYNOMIAL_RING","grounds_witness_classification","support","INFRA-TURKIC|kk","active","Supports only the witness-found classification, not accepted terminology."
"EDGE-kk-POLYNOMIAL_RING-SOURCE-FORM","SRC-kk-POLYNOMIAL_RING","FORM-kk-POLYNOMIAL_RING","attests_in_context","candidate","kk|Cyrillic|study material","context_checked","sha256=1b2eb42d6d0001b89826c4dace24598c941e8b9a99dacabc78292571d3f0b854"
"EDGE-tk-POLYNOMIAL_RING-DECISION-FORM","DEC-tk-POLYNOMIAL_RING","FORM-tk-POLYNOMIAL_RING","withholds_promotion_of","veto","INFRA-TURKIC|tk","active","Hard readiness gates remain open; scalar auto-promotion is prohibited."
"EDGE-tk-POLYNOMIAL_RING-FORM-CONCEPT","FORM-tk-POLYNOMIAL_RING","CON-POLYNOMIAL_RING","candidate_realization_of","candidate","tk|Oghuz","held","Language-specific candidate; cross-language inference prohibited."
"EDGE-tk-POLYNOMIAL_RING-SOURCE-DECISION","SRC-tk-POLYNOMIAL_RING","DEC-tk-POLYNOMIAL_RING","grounds_witness_classification","support","INFRA-TURKIC|tk","active","Supports only the witness-found classification, not accepted terminology."
"EDGE-tk-POLYNOMIAL_RING-SOURCE-FORM","SRC-tk-POLYNOMIAL_RING","FORM-tk-POLYNOMIAL_RING","attests_in_context","candidate","tk|Latin|algebra textbook render","context_checked","sha256=6a27b3d7b63734d0685554af2836f74f87a8b429db29aead4656e2bbcc4905f7"
"EDGE-tr-POLYNOMIAL_RING-DECISION-FORM","DEC-tr-POLYNOMIAL_RING","FORM-tr-POLYNOMIAL_RING","withholds_promotion_of","veto","INFRA-TURKIC|tr","active","Hard readiness gates remain open; scalar auto-promotion is prohibited."
"EDGE-tr-POLYNOMIAL_RING-FORM-CONCEPT","FORM-tr-POLYNOMIAL_RING","CON-POLYNOMIAL_RING","candidate_realization_of","candidate","tr|Oghuz","held","Language-specific candidate; cross-language inference prohibited."
"EDGE-tr-POLYNOMIAL_RING-SOURCE-DECISION","SRC-tr-POLYNOMIAL_RING","DEC-tr-POLYNOMIAL_RING","grounds_witness_classification","support","INFRA-TURKIC|tr","active","Supports only the witness-found classification, not accepted terminology."
"EDGE-tr-POLYNOMIAL_RING-SOURCE-FORM","SRC-tr-POLYNOMIAL_RING","FORM-tr-POLYNOMIAL_RING","attests_in_context","candidate","tr|Latin|encyclopedic mathematics","context_checked","sha256=5cfbaa3aa37a714282cf153edcce2e2b3bb7684de3fabafc6aabcb97286208d6"
"EDGE-uz-POLYNOMIAL_RING-DECISION-FORM","DEC-uz-POLYNOMIAL_RING","FORM-uz-POLYNOMIAL_RING","withholds_promotion_of","veto","INFRA-TURKIC|uz","active","Hard readiness gates remain open; scalar auto-promotion is prohibited."
"EDGE-uz-POLYNOMIAL_RING-FORM-CONCEPT","FORM-uz-POLYNOMIAL_RING","CON-POLYNOMIAL_RING","candidate_realization_of","candidate","uz|Karluk / Southeastern","held","Language-specific candidate; cross-language inference prohibited."
"EDGE-uz-POLYNOMIAL_RING-SOURCE-DECISION","SRC-uz-POLYNOMIAL_RING","DEC-uz-POLYNOMIAL_RING","grounds_witness_classification","support","INFRA-TURKIC|uz","active","Supports only the witness-found classification, not accepted terminology."
"EDGE-uz-POLYNOMIAL_RING-SOURCE-FORM","SRC-uz-POLYNOMIAL_RING","FORM-uz-POLYNOMIAL_RING","attests_in_context","candidate","uz|Latin|educational catalogue","context_checked","sha256=331181b6f43e34c296c93ffd95b1a71586e3c7b9802c3040fe16578929771fdf"
