"node_id","node_type","label","language_code","work_id","status","path_or_value"
"CON-NOETHERIAN_RING","concept","Noetherian ring","","NTH","active_concept","a ring satisfying the ascending chain condition on ideals or an equivalent Noetherian finiteness condition"
"CON-POLYNOMIAL_RING","concept","polynomial ring","","INFRA-TURKIC","active_concept","the ring formed by polynomials over a coefficient ring or field"
"DEC-az-POLYNOMIAL_RING","operational_decision","TURKIC_POLYRING_AZ_CONCEPT_SHELF_20260717","az","INFRA-TURKIC","concept_shelf_witness_no_promotion","00_lane_control/operational_decisions/TURKIC_POLYRING_AZ_CONCEPT_SHELF_20260717.json"
"DEC-ba-NOETHERIAN_RING","operational_decision","NOETHER_NORING_BA_CONCEPT_SHELF_20260717","ba","NTH","concept_shelf_witness_no_promotion","00_lane_control/operational_decisions/NOETHER_NORING_BA_CONCEPT_SHELF_20260717.json"
"DEC-kaa-POLYNOMIAL_RING","operational_decision","TURKIC_POLYRING_KAA_CONCEPT_SHELF_20260717","kaa","INFRA-TURKIC","concept_shelf_witness_no_promotion","00_lane_control/operational_decisions/TURKIC_POLYRING_KAA_CONCEPT_SHELF_20260717.json"
"DEC-kk-NOETHERIAN_RING","operational_decision","NOETHER_NORING_KK_CONCEPT_SHELF_20260717","kk","NTH","concept_shelf_witness_no_promotion","00_lane_control/operational_decisions/NOETHER_NORING_KK_CONCEPT_SHELF_20260717.json"
"DEC-kk-POLYNOMIAL_RING","operational_decision","TURKIC_POLYRING_KK_CONCEPT_SHELF_20260717","kk","INFRA-TURKIC","concept_shelf_witness_no_promotion","00_lane_control/operational_decisions/TURKIC_POLYRING_KK_CONCEPT_SHELF_20260717.json"
"DEC-tk-POLYNOMIAL_RING","operational_decision","TURKIC_POLYRING_TK_CONCEPT_SHELF_20260717","tk","INFRA-TURKIC","concept_shelf_witness_no_promotion","00_lane_control/operational_decisions/TURKIC_POLYRING_TK_CONCEPT_SHELF_20260717.json"
"DEC-tr-POLYNOMIAL_RING","operational_decision","TURKIC_POLYRING_TR_CONCEPT_SHELF_20260717","tr","INFRA-TURKIC","concept_shelf_witness_no_promotion","00_lane_control/operational_decisions/TURKIC_POLYRING_TR_CONCEPT_SHELF_20260717.json"
"DEC-uz-POLYNOMIAL_RING","operational_decision","TURKIC_POLYRING_UZ_CONCEPT_SHELF_20260717","uz","INFRA-TURKIC","concept_shelf_witness_no_promotion","00_lane_control/operational_decisions/TURKIC_POLYRING_UZ_CONCEPT_SHELF_20260717.json"
"FORM-az-POLYNOMIAL_RING","candidate_form","Çoxhədlilər halqası","az","INFRA-TURKIC","held","Çoxhədlilər halqası"
"FORM-ba-NOETHERIAN_RING","candidate_form","Нётер ҡулсаһы","ba","NTH","held","Нётер ҡулсаһы"
"FORM-kaa-POLYNOMIAL_RING","candidate_form","KÓP AǴZALILAR SAQIYNASIN","kaa","INFRA-TURKIC","held","KÓP AǴZALILAR SAQIYNASIN"
"FORM-kk-NOETHERIAN_RING","candidate_form","Нетер сақинасы","kk","NTH","held","Нетер сақинасы"
"FORM-kk-POLYNOMIAL_RING","candidate_form","көпмүшелер сақинасы","kk","INFRA-TURKIC","held","көпмүшелер сақинасы"
"FORM-tk-POLYNOMIAL_RING","candidate_form","Köpçlenler halkasy","tk","INFRA-TURKIC","held","Köpçlenler halkasy"
"FORM-tr-POLYNOMIAL_RING","candidate_form","polinom halkaları","tr","INFRA-TURKIC","held","polinom halkaları"
"FORM-uz-POLYNOMIAL_RING","candidate_form","Kôphadlar halqasi","uz","INFRA-TURKIC","held","Kôphadlar halqasi"
"SRC-az-POLYNOMIAL_RING","source_witness","AZ-KITABYURDU-POLYRING","az","INFRA-TURKIC","concept_shelf","02_native_examples/recovered_cross_work_sources/20260629T143000Z_r2_pan_turkic_exact_wikitext_nonwiki_polynomial_augment/text/pan_turkic_azerbaijani/azerbaijani_kitabyurdu_cebr_toc_polynomial_ring.txt"
"SRC-ba-NOETHERIAN_RING","source_witness","BA-WIKITEXT-RING-THEORY","ba","NTH","row_verified","02_native_examples/recovered_cross_work_sources/20260629T143000Z_r2_pan_turkic_exact_wikitext_nonwiki_polynomial_augment/wikitext/pan_turkic_bashkir/bashkir_bawiki_ring_theory_exact_noetherian.wiki"
"SRC-kaa-POLYNOMIAL_RING","source_witness","KAA-CYBERLENINKA-POLYRING","kaa","INFRA-TURKIC","row_verified","02_native_examples/recovered_cross_work_sources/20260629T144500Z_r2_pan_turkic_weak_language_exact_polynomial_retry/text/pan_turkic_karakalpak/karakalpak_cyberleninka_polynomial_ring.txt"
"SRC-kk-NOETHERIAN_RING","source_witness","KK-WIKITEXT-EMMY-NOETHER","kk","NTH","row_verified","02_native_examples/recovered_cross_work_sources/20260629T143000Z_r2_pan_turkic_exact_wikitext_nonwiki_polynomial_augment/wikitext/pan_turkic_kazakh/kazakh_kkwiki_emmy_noether_exact_noetherian.wiki"
"SRC-kk-POLYNOMIAL_RING","source_witness","KK-STUD-POLYRING","kk","INFRA-TURKIC","row_verified","02_native_examples/recovered_cross_work_sources/20260629T143000Z_r2_pan_turkic_exact_wikitext_nonwiki_polynomial_augment/text/pan_turkic_kazakh/kazakh_stud_polynomial_ring.txt"
"SRC-tk-POLYNOMIAL_RING","source_witness","TK-KOMEKOW-RENDERED-POLYRING","tk","INFRA-TURKIC","concept_shelf","02_native_examples/recovered_cross_work_sources/20260630T010000Z_r2_pan_turkic_turkmen_local_source_capture_retry/text/pan_turkic_turkmen/komekow_algebra_scribd_rendered_normalized_text_capture.txt"
"SRC-tr-POLYNOMIAL_RING","source_witness","TR-WIKITEXT-POLYNOMIAL","tr","INFRA-TURKIC","row_verified","02_native_examples/recovered_cross_work_sources/20260629T071233Z_r3_adjacent_asia_completeness_source_shelf/wikipedia_wikitext/tr/Polynomial__Polinom.wikitext.txt"
"SRC-uz-POLYNOMIAL_RING","source_witness","UZ-ILMIYHUJJAT-POLYRING","uz","INFRA-TURKIC","concept_shelf","02_native_examples/recovered_cross_work_sources/20260629T143000Z_r2_pan_turkic_exact_wikitext_nonwiki_polynomial_augment/text/pan_turkic_uzbek/uzbek_ilmiyhujjat_polynomial_ring_product.txt"
