comparison_id,evidence_class,authority_role,unit_id,object_type,source_locator,source_tex_lines,original_printed_pages,physical_source_pdf_pages,target_locator,parent_id,cross_references,critical_controls,decision,result,status,confidence,adverse_or_choice,rejected_alternative,record_revision,continuation_cursor
SGA2-VIII-P11C-CMP-001,source_logic,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-ISO,deduction_direction,French line2527 and physical75,2527,84,75,opening consequence sentence,SGA2-VIII-P11C,INBOUND:SGA2-VIII-P11S,item2 follows from item1 and M N finitely generated,preserve logical direction and hypotheses,pass,production_logic_comparison_passed_self_review_pending,high,none,reverse implication,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-002,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-ISO,local_cohomology_sheafification,French lines2528-2529 and physical75,2528-2529,84,75,first isomorphism,SGA2-VIII-P11C,SGA2-VIII-P11C-CAT,sheaf H Y of mathcalF equals tilde of H Y X mathcalF,preserve sheafification scope and arguments,pass,production_formula_comparison_passed_self_review_pending,high,candidate compact Unicode tilde is ambiguous,move tilde onto H alone,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-003,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-ISO,supported_Ext_sheafification,French line2530 and physical75,2530,84,75,second isomorphism,SGA2-VIII-P11C,SGA2-VIII-P11C-CAT,sheaf ExtY mathcalF mathcalG equals tilde of ExtY mathcalF mathcalG,preserve support subscript arguments and sheafification scope,pass,production_formula_comparison_passed_self_review_pending,high,none,drop Y support,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-004,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-ISO,ordinary_Ext_sheafification,French line2531 and physical75,2531,84,75,third isomorphism,SGA2-VIII-P11C,SGA2-VIII-P11C-CAT,sheaf Ext OX mathcalF mathcalG equals tilde ExtA M N,preserve OX and A subscripts plus both argument pairs,pass,production_formula_comparison_passed_self_review_pending,high,none,use supported ExtY on left,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-005,source_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-CAT,category_and_functor,French lines2534-2538 and physical75,2534-2538,84-85,75,category prose and functor display,SGA2-VIII-P11C,SGA2-VIII-P11C-DER2,C A-modules Ab abelian groups underlined F M maps GammaY tildeM,preserve typography domain codomain and map,pass,production_structure_comparison_passed_self_review_pending,high,none,use sheaf mathcalF for the functor,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-006,source_formula_reference,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-DER2,ExposeII_identification,French lines2540-2543 and physical75,2540-2543,85,75,first partial-functor display,SGA2-VIII-P11C,SGA2-VIII-P11C-DERDEF,ExposeII H Y star X tildeM isomorphic R star underlinedF M,preserve reference glyph degrees arguments and right-derived operator,pass,production_formula_reference_comparison_passed_self_review_pending,high,literal partial glyph retained,replace with delta or omit ExposeII,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-007,source_formula_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-DERDEF,derived_functor_definition,French lines2544-2546 and physical76,2544-2546,85,76,derived-functor definition and displayed bifunctor,SGA2-VIII-P11C,SGA2-VIII-P11C-DER6,ExtY star right derived in second argument of underlinedF circle Hom C-op times C to Ab,preserve variance argument and exact categories,pass,production_formula_structure_comparison_passed_self_review_pending,high,candidate wording beneficial but not authority,omit C-op or second-argument qualifier,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-008,source_formula_reference,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-DER6,ExposeVI_identification,French lines2547-2550 and physical76,2547-2550,85,76,second partial-functor display,SGA2-VIII-P11C,SGA2-VIII-P11C-FLQ,ExposeVI ExtY star M N isomorphic ExtY star tildeM tildeN,preserve reference partial glyph sides and both tildes,pass,production_formula_reference_comparison_passed_self_review_pending,high,candidate Ñ corrupts tildeN,copy Ñ or swap sides,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-009,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-FLQ,sheaf_Hom_isomorphism,French line2551 and physical76,2551,85,76,injective flasque paragraph display,SGA2-VIII-P11C,SGA2-VIII-P11C-BOUND,sheaf Hom tildeN tildeC isomorphic tilde of module Hom N C,preserve sheaf operator both tildes and full outer tilde scope,pass,production_formula_comparison_passed_self_review_pending,high,candidate tilde scope malformed,copy operatorname Hom tilde N-C,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-010,source_logic_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-FLQ,flasque_vanishing,French line2551 and physical76,2551,85,76,final implication and display,SGA2-VIII-P11C,SGA2-VIII-P11C-BOUND,C injective N finite sheaf flasque therefore R1 underlinedF Hom N C equals zero,preserve every hypothesis implication degree and arguments,pass,production_logic_formula_comparison_passed_self_review_pending,high,none,drop injectivity or degree1,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-011,comparison_delta,comparison_only_not_authority,SGA2-VIII-P11C-CAND,candidate_notation_defects,jcreinhold lines37-76,2527-2551,84-85,75-76,comparison formulas and prose,SGA2-VIII-P11C,SGA2-VIII-P11C-DER6;SGA2-VIII-P11C-FLQ,candidate gives useful finite-generation and derived-functor wording but Ñ and malformed Hom tilde scope,reuse prose only after source matching and reject notation defects,pass_as_comparison_only,comparison_recorded_self_review_pending,high,one LLM lineage only,treat candidate as corroboration,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-012,source_boundary,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-BOUND,unit_boundary,French lines2551-2553 and physical76,2551-2553,85,76,final vanishing blank and next lemma cursor,SGA2-VIII-P11C,OUTBOUND:SGA2-VIII-L12,line2551 closes observation line2552 blank line2553 begins next result,preserve cursor2553 and exclude next lemma,pass,self_boundary_comparison_passed_independent_review_pending,high,none,include Lemma1.2 lead-in,1,French source line2553 after blank line2552
SGA2-VIII-P11C-CMP-013,independent_source_formula_boundary_review,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-QA,full_unit_independent_seal,French lines2527-2553 direct PDF physical75-76 and independent 600dpi crops,2527-2553,84-85,75-76,final one-page target and independent renders,SGA2-VIII-P11C,SGA2-VIII-P11C-ISO;SGA2-VIII-P11C-CAT;SGA2-VIII-P11C-DER2;SGA2-VIII-P11C-DERDEF;SGA2-VIII-P11C-DER6;SGA2-VIII-P11C-FLQ;SGA2-VIII-P11C-BOUND,deduction direction complete tilde scopes sheaf and module operators categories underlined F C-op variance both partial-functor identifications flasque implication R1 zero and cursor2553,accept target after an ordinary-parenthesis text-extraction repair with no mathematical change and document the line2530 French grouping repair,pass,independently_source_reviewed_and_sealed_bounded_internal_unit,high,candidate corrupt Ñ malformed Hom tilde and plain-text operators remain rejected; French line2530 outer tilde scope is repaired,copy comparison lineage leave the French grouping repair undocumented or retain control-character-producing extensible delimiters,1,French source line2553 after blank line2552
