decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-P11C-TERM-001,terminology,corrected_french_tex,SGA2-VIII-P11C-ISO,de type fini,French line2527,opening consequence sentence,finitely generated,standard_algebra_register,none,of finite type,idiomatic English module terminology,applied_production_draft,high,1,French source line2553 after blank line2552,SGA-wide register review
SGA2-VIII-P11C-TERM-002,prose_register,corrected_french_tex,SGA2-VIII-P11C-ISO,Bien entendu se deduit,French line2527,opening consequence sentence,Of course follows from,source_argument_register,none,is obviously deduced from,preserve source confidence without pejorative register,applied_production_draft,high,1,French source line2553 after blank line2552,independent prose review
SGA2-VIII-P11C-TERM-003,notation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-ISO,tilde outside H and Ext expressions,French lines2529-2531,three isomorphisms,tilde over each complete module expression,sheafification_scope,comparison Unicode placement is visually ambiguous,move tilde to operator name,preserve source grouping and sheafification semantics,applied_production_draft,high,1,French source line2553 after blank line2552,independent formula review
SGA2-VIII-P11C-TERM-004,notation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-CAT,cF underlined roman F,French lines2534-2537,functor display,underlined roman F,source_symbol_preservation,candidate plain F collides with sheaf mathcalF,plain F or mathcal F,preserve source distinction between functor and sheaf,applied_production_draft,high,1,French source line2553 after blank line2552,SGA-wide notation conflict
SGA2-VIII-P11C-TERM-005,terminology_and_symbol,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-DER2,partial-foncteurs,French lines2540-2543,ExposeII identification,partial-functors with mathematical partial symbol,source_symbol_preservation,standard modern English often says delta-functors,delta-functors,match printed glyph and established SGA2 lane policy,applied_production_draft,high,1,French source line2553 after blank line2552,SGA-wide terminology decision
SGA2-VIII-P11C-TERM-006,terminology,corrected_french_tex,SGA2-VIII-P11C-DERDEF,foncteurs derives droits en le deuxieme argument,French line2544,derived-functor definition,right derived functors in the second argument,standard_homological_register,printed French has grammatical en le slip,literal right-derived functors on the second argument,idiomatic English while retaining mathematical variance,applied_production_draft,high,1,French source line2553 after blank line2552,independent categorical review
SGA2-VIII-P11C-TERM-007,terminology,corrected_french_tex,SGA2-VIII-P11C-FLQ,flasque,French line2551,final sheaf assertion,flasque,SGA2_house_register,none,flabby,match established SGA2 English terminology,applied_production_draft,high,1,French source line2553 after blank line2552,SGA-wide register review
SGA2-VIII-P11C-TERM-008,comparison_rejection,comparison_only_not_authority,SGA2-VIII-P11C-CAND,Ñ,jcreinhold line69,ExposeVI isomorphism,reject and restore tilde N from French,comparison_adverse_choice,candidate corrupts the second associated sheaf,retain Ñ,source formula and direct PDF both require tilde N,rejected_candidate_delta,high,1,French source line2553 after blank line2552,upstream candidate correction
SGA2-VIII-P11C-TERM-009,comparison_rejection,comparison_only_not_authority,SGA2-VIII-P11C-CAND,operatorname Hom tilde N-C,jcreinhold line73,sheaf Hom isomorphism,reject and place tilde over Hom N C,comparison_adverse_choice,candidate changes tilde scope,copy candidate formula,source TeX and direct PDF show tilde over the complete module Hom expression,rejected_candidate_delta,high,1,French source line2553 after blank line2552,upstream candidate correction
SGA2-VIII-P11C-TERM-010,terminology,corrected_french_tex,SGA2-VIII-P11C-FLQ,Retenons enfin,French line2551,final transition,Finally let us record,source_expository_register,none,We remember finally,idiomatic English preserves the source's archival emphasis,applied_production_draft,high,1,French source line2553 after blank line2552,independent prose review
SGA2-VIII-P11C-TERM-011,source_typographic_repair,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11C-ISO,tilde grouping closes before the final parenthesis,French line2530 and direct PDF physical75,second sheafification isomorphism,place the full ExtY of F and G expression inside the associated-sheaf tilde,source_tex_grouping_repair,the corrected target includes the closing parenthesis under the tilde scope,copy the literal brace grouping from French line2530,the other two isomorphisms direct PDF and mathematical object make the complete scope unambiguous,applied_and_independently_confirmed,high,1,French source line2553 after blank line2552,canonical French workpass disposition
SGA2-VIII-P11C-TERM-012,target_text_extraction_repair,target_pdf_text_check,SGA2-VIII-P11C-QA,extensible parentheses around Hom N C,initial independent target text extraction,final R1 vanishing display,use ordinary parentheses around Hom N C,target_typography_and_searchability_repair,the visible formula is unchanged and the extracted control character is removed,retain bigl and bigr delimiters,the ordinary size is sufficient for the one-line argument and preserves mathematical grouping,applied_and_independently_confirmed,high,1,French source line2553 after blank line2552,cumulative typography review
