name,changed,current_pages,new_pages,page_delta,current_bytes,new_bytes,byte_delta,new_text_chars,new_process_hits
00 Index - Non-European Mathematics Corpus.pdf,False,4,4,0,49187,49187,0,8590,0
01 Combined English Translations.pdf,True,1498,1229,-269,10599177,9961906,-637271,2283675,0
02 Combined Modern Chinese Renderings.pdf,True,515,515,0,5496917,5388879,-108038,489096,0
03 Combined Arabic Translation Drafts.pdf,True,258,263,5,1750748,1883432,132684,442446,0
04 Chinese Originals - Modern LaTeX.pdf,True,601,588,-13,7482209,6337154,-1145055,609459,0
05 Indian Originals - Modern LaTeX.pdf,True,387,393,6,2189294,2398495,209201,470782,0
06 Islamic and Arabic Originals - Modern LaTeX.pdf,True,229,233,4,1169152,1267066,97914,355070,0
07 Historical References - Modern LaTeX.pdf,False,74,74,0,586038,586038,0,162725,0
"10-01 English Translation - Nine Chapters, vols. 1-9.pdf",True,71,69,-2,715748,672952,-42796,55349,0
"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",True,145,144,-1,1329145,1274979,-54166,334632,0
"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",True,104,103,-1,1122247,1080309,-41938,203938,0
10-04 English Translation - Sunzi Suanjing.pdf,False,25,25,0,329250,329250,0,32790,0
"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf",False,68,68,0,907732,907732,0,95854,0
"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",True,77,76,-1,678459,638943,-39516,152739,0
10-07 English Translation - Aryabhata - Aryabhatiya.pdf,True,21,20,-1,157465,133400,-24065,25672,0
"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf",False,63,63,0,413182,413182,0,67529,0
10-09 English Translation - Bhaskara II - Lilavati.pdf,False,24,24,0,187211,187211,0,28861,0
10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.pdf,False,284,284,0,2008258,2008258,0,476653,0
10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,False,35,35,0,217185,217185,0,49413,0
10-12 English Translation - al-Khwarizmi - Algebra.pdf,True,48,45,-3,229796,168626,-61170,53750,0
10-13 English Translation - al-Tusi - Shakl al-Qatta.pdf,False,23,23,0,208807,208807,0,45239,0
10-14 English Translation - Robert of Chester and Karpinski.pdf,False,45,45,0,210662,210662,0,63959,0
10-15 English Translation - Omar Khayyam - Treatise on Algebra.pdf,False,19,19,0,165100,165100,0,22613,0
10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,False,53,53,0,370414,370414,0,156047,0
10-17 English Translation - Ruska - Oldest Arabic Algebra.pdf,False,66,66,0,473693,473693,0,302308,0
10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,False,16,16,0,89754,89754,0,13045,0
10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist.pdf,False,20,20,0,176020,176020,0,37061,0
10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam.pdf,False,13,13,0,155883,155883,0,30780,0
10-21 English Translation - Smith-Karpinski - Numerals.pdf,False,18,18,0,166436,166436,0,35443,0
"20-01 Modern Chinese - Nine Chapters, vols. 1-9.pdf",False,44,44,0,649408,649408,0,48970,0
"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",False,90,90,0,1062321,1062321,0,114302,0
20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,False,115,115,0,766696,766696,0,96342,0
"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1 and 5-9.pdf",True,75,75,0,880028,863485,-16543,76934,0
20-05 Modern Chinese - Sunzi Suanjing.pdf,False,19,19,0,250049,250049,0,11479,0
"20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.pdf",False,83,83,0,936407,936407,0,54213,0
"20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",False,41,41,0,574385,574385,0,49722,0
"30-01 Arabic Translation - Li Ye - Ceyuan Haijing, vols. 1-6 and 10-12.pdf",False,87,87,0,788077,788077,0,200288,0
"30-02 Arabic Translation - Qin - Shuxue Jiuzhang, fasc. 1 and 4.pdf",True,53,53,0,560505,559557,-948,119318,0
"30-03 Arabic Translation - Yang Hui - Xiangjie, part 1.pdf",False,8,8,0,49938,49938,0,13688,0
30-04 Arabic Translation - al-Kashi - Miftah al-Hisab.pdf,False,39,39,0,173836,173836,0,29623,0
30-05 Arabic Translation - al-Khwarizmi - Algebra.pdf,False,61,61,0,200553,200553,0,59712,0
30-06 Arabic Translation - Omar Khayyam - Treatise on Algebra.pdf,False,15,15,0,137915,137915,0,19817,0
"40-01 Chinese Original - Nine Chapters, vols. 1-9.pdf",True,85,85,0,820251,845714,25463,94437,0
"40-02 Chinese Original - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",True,96,95,-1,868111,814464,-53647,99282,0
40-03 Chinese Original - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,True,120,119,-1,688900,653006,-35894,105840,0
40-04 Chinese Original - Li Ye - Ceyuan Haijing geometry.pdf,False,7,7,0,1346331,1346331,0,6812,0
"40-05 Chinese Original - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",True,105,106,1,1127758,1145643,17885,116960,0
40-06 Chinese Original - Sunzi Suanjing.pdf,True,34,33,-1,230263,262780,32517,33847,0
"40-07 Chinese Original - Yang Hui - Xiangjie, parts 1-3.pdf",True,92,91,-1,730602,829508,98906,97301,0
"40-08 Chinese Original - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",True,55,52,-3,1731466,432973,-1298493,54980,0
50-01 Indian Original - Aryabhata - Aryabhatiya.pdf,True,16,18,2,119789,152312,32523,26557,0
"50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.pdf",True,79,81,2,356622,444684,88062,72827,0
50-03 Indian Original - Bhaskara II - Lilavati.pdf,True,15,14,-1,107942,144038,36096,26445,0
50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.pdf,False,280,280,0,1695365,1695365,0,344953,0
60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,True,27,26,-1,199259,161410,-37849,33806,0
60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,True,48,47,-1,236368,203493,-32875,48889,0
60-03 Islamic Original - al-Tusi - Shakl al-Qatta.pdf,False,17,17,0,165545,165545,0,31002,0
60-04 Islamic Original - Omar Khayyam - Treatise on Algebra.pdf,False,17,17,0,154999,154999,0,20855,0
60-05 Islamic Original - Ruska - Oldest Arabic Algebra (1917).pdf,False,62,62,0,371692,371692,0,192903,0
60-06 Islamic Original - Rosen - Algebra of Mohammed Ben Musa.pdf,False,21,21,0,112749,112749,0,7140,0
60-07 Islamic Original - Robert of Chester and Karpinski.pdf,False,43,43,0,119065,119065,0,20475,0
70-01 Reference Text - Said al-Andalusi - Tabaqat al-Umam.pdf,False,15,15,0,170499,170499,0,33484,0
70-02 Reference Text - al-Muqaddasi - Ahsan al-Taqasim.pdf,False,16,16,0,89653,89653,0,12798,0
70-03 Reference Text - Ibn al-Nadim - Kitab al-Fihrist.pdf,False,12,12,0,131130,131130,0,19644,0
70-04 Reference Text - Ibn al-Qifti - Tarikh al-Hukama.pdf,False,11,11,0,135247,135247,0,19506,0
70-05 Reference Text - Smith-Karpinski - Numerals.pdf,False,24,24,0,186645,186645,0,78388,0
