filename,status,source_count,bytes,pages,text_chars,sha256,sources,category,language_group,title,held_source_count,held_sources
"10-01 English Translation - Nine Chapters, vols. 1-9.pdf",combined,2,442230,42,25841,55aba6391c7196f55e88bc7162fa399dd0eff453e2a665083514699ec26ad9c5,"['translations/en/chinese/jiuzhang-suanshu-vols1-3_bilingual.pdf', 'translations/en/chinese/jiuzhang-suanshu-vols7-9_bilingual.pdf']",translation_work,english_bilingual,"Anonymous, Jiuzhang Suanshu and Nine Chapters, volumes 1-9 (clean public components)",1,['translations/en/chinese/jiuzhang-suanshu-vols4-6_bilingual.pdf']
"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",combined,4,969993,110,153131,f21a2fcb6dee9738a62f43565bd04cd79b948e23f69f29c08c2d3328b9b41ad4,"['translations/en/chinese/li-ye-ceyuan-haijing-vols1-3_bilingual.pdf', 'translations/en/chinese/li-ye-ceyuan-haijing-vols4-6_bilingual.pdf', 'translations/en/chinese/li-ye-ceyuan-haijing-vols7-9_bilingual.pdf', 'translations/en/chinese/li-ye-ceyuan-haijing-vols10-12_bilingual.pdf']",translation_work,english_bilingual,"Li Ye, Ceyuan Haijing, volumes 1-12",0,[]
"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",combined,5,1046164,92,80660,9ae3a059691deb8d3097636e315a4b3e293ed48c6bcbb5f283158cfc19e59c19,"['translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicle1_bilingual.pdf', 'translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicle2_bilingual.pdf', 'translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicles3-4_bilingual.pdf', 'translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicles5-6_bilingual.pdf', 'translations/en/chinese/qin-jiushao-shuxue-jiuzhang-fascicles7-9_bilingual.pdf']",translation_work,english_bilingual,"Qin Jiushao, Shuxue Jiuzhang, fascicles 1-9",0,[]
10-04 English Translation - Sunzi Suanjing.pdf,combined,1,329250,25,27149,12d3db817dcc964934cf28811e376cbf6eed97d640124d6071a1abb59e7af460,['translations/en/chinese/sunzi-suanjing_bilingual.pdf'],translation_work,english_bilingual,"Sunzi, Sunzi Suanjing",0,[]
"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf",combined,2,823818,48,68843,09d45c90a40a8a1f0ee7bc62a2c72509b196dec42bfd7849ee3cdaf2a7acc43a,"['translations/en/chinese/yang-hui-xiangjie-jiuzhang-part1_bilingual.pdf', 'translations/en/chinese/yang-hui-xiangjie-jiuzhang-part2_bilingual.pdf']",translation_work,english_bilingual,"Yang Hui, Xiangjie Jiuzhang Suanfa, parts 1-3 (clean public components)",1,['translations/en/chinese/yang-hui-xiangjie-jiuzhang-part3_bilingual.pdf']
"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",combined,2,717950,67,81199,8f25b936a175548c6a3775cd584198f54afc2b3ae320821561bb679e0e6aeb55,"['translations/en/chinese/zhu-shijie-suanxue-qimeng-part1_bilingual.pdf', 'translations/en/chinese/zhu-shijie-suanxue-qimeng-part2_bilingual.pdf']",translation_work,english_bilingual,"Zhu Shijie, Suanxue Qimeng, parts 1-2",0,[]
10-07 English Translation - Aryabhata - Aryabhatiya.pdf,combined,1,107973,16,5406,c1cac1ce87fb410a32512bd70428d20baef467aa789c0189ba9cfd3b75cda6e9,['translations/en/indian/aryabhata-aryabhatiya_bilingual.pdf'],translation_work,english_bilingual,"Aryabhata, Aryabhatiya",0,[]
"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf",combined,2,245516,52,24679,9e5100964a0b4ba42ede31a55071314a6fddd49662954a0ac64f0d360ae82b9d,"['translations/en/indian/bhaskara-ii-bijaganita-part1_bilingual.pdf', 'translations/en/indian/bhaskara-ii-bijaganita-part2_bilingual.pdf']",translation_work,english_bilingual,"Bhaskara II, Bijaganita, parts 1-3 (clean public components)",1,['translations/en/indian/bhaskara-ii-bijaganita-part3_bilingual.pdf']
10-09 English Translation - Bhaskara II - Lilavati.pdf,combined,1,133304,19,5966,2b586a6712c4257ff3bbb1ce7294b59c03d84b5f1e72453735718fcd2423e831,['translations/en/indian/bhaskara-ii-lilavati_bilingual.pdf'],translation_work,english_bilingual,"Bhaskara II, Lilavati",0,[]
10-10 English Translation - Brahmagupta - selected excerpts.pdf,combined,4,524024,78,91473,9372cb78377226688a7cf0b44db70dc221d82346ded947183f75fda9eb191699,"['translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk1_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt1-chunk5_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt2-chunk6_bilingual.pdf', 'translations/en/indian/brahmagupta-brahmasphutasiddhanta-pt3-chunk3_bilingual.pdf']",translation_work,english_bilingual,"Brahmagupta, Brahmasphutasiddhanta, selected chunks",0,[]
