archive_path,bytes
combined_tex_bundles/originals__chinese_originals__combined_sources.tex,918211
combined_tex_bundles/originals__historical_references__combined_sources.tex,229879
combined_tex_bundles/originals__indian_originals__combined_sources.tex,1115588
combined_tex_bundles/originals__islamic_originals__combined_sources.tex,663506
combined_tex_bundles/translation__arabic__combined_sources.tex,344273
combined_tex_bundles/translation__classical_modern_chinese__combined_sources.tex,1532630
combined_tex_bundles/translation__english_bilingual__combined_sources.tex,3890642
combined_tex_bundles/work_level/01_work_tr_ar__al_khwarizmi_al_jabr__combined_sources.tex,76442
combined_tex_bundles/work_level/01_work_tr_ar__li_ye_ceyuan_v1_3__combined_sources.tex,123172
combined_tex_bundles/work_level/01_work_tr_ar__qin_shuxue_jz_f1__combined_sources.tex,87910
combined_tex_bundles/work_level/01_work_tr_ar__sunzi_suanjing__combined_sources.tex,54475
combined_tex_bundles/work_level/01_work_tr_en__al_kashi_miftah__combined_sources.tex,62329
combined_tex_bundles/work_level/01_work_tr_en__al_khwarizmi_al_jabr__combined_sources.tex,92903
combined_tex_bundles/work_level/01_work_tr_en__al_muqaddasi_taqasim__combined_sources.tex,41427
combined_tex_bundles/work_level/01_work_tr_en__al_tusi_shakl_qatta__combined_sources.tex,55714
combined_tex_bundles/work_level/01_work_tr_en__anon_jiuzhang__combined_sources.tex,279032
combined_tex_bundles/work_level/01_work_tr_en__aryabhata_aryabhatiya__combined_sources.tex,59603
combined_tex_bundles/work_level/01_work_tr_en__bhaskara_bijaganita_p1_3__combined_sources.tex,194777
combined_tex_bundles/work_level/01_work_tr_en__bhaskara_lilavati__combined_sources.tex,50640
combined_tex_bundles/work_level/01_work_tr_en__brahmagupta_bss_translation_current__combined_sources.tex,352538
combined_tex_bundles/work_level/01_work_tr_en__ibn_al_nadim_fihrist__combined_sources.tex,60753
combined_tex_bundles/work_level/01_work_tr_en__ibn_al_qifti_hukama__combined_sources.tex,58645
combined_tex_bundles/work_level/01_work_tr_en__li_ye_ceyuan_v1_12__combined_sources.tex,374625
