"head_context","lane_scope","witness_class","rows","pdf","html","txt","json","total_bytes","carry_forward_note"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","creole_contact","lexicon_or_route_table_no_accepted_terms","2","0","0","0","0","33630","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","creole_contact","literal_source_body","54","30","17","0","0","184277546","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","creole_contact","probe_metadata_witness","44","0","0","0","44","260773","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","creole_contact","provenance_metadata","14","0","0","0","0","124372","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","gap_or_blocker","blocker_ethics_material","6","0","0","0","0","154052","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","gap_or_blocker","pointer_only_gap_material","10","0","0","0","0","314860","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","gap_or_blocker","provenance_metadata","3","0","0","0","0","150727","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","generated_draft","generated_draft_noncanonical_support","6","0","0","0","0","17370","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","indigenous","literal_source_body","13","6","4","0","0","131700299","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","indigenous","ocr_witness_separate","3","0","0","3","0","305338","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","indigenous","probe_metadata_witness","14","0","0","0","14","220693","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","indigenous","provenance_metadata","8","0","0","0","0","39792","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","lexicon_route","lexicon_or_route_table_no_accepted_terms","1","0","0","0","0","35102","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","r6_general","literal_source_body","8","7","1","0","0","42499919","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","r6_general","ocr_witness_separate","1","0","0","0","0","1267","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","r6_general","probe_metadata_witness","7","0","0","0","7","25711","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","r6_general","provenance_metadata","25","0","0","0","5","493560","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","reviewer_authority","reviewer_authority_route_evidence","5","0","0","0","0","52602","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","reviewer_authority","unclassified_r6_package_material","1","0","0","0","0","59231","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","sign_access","lexicon_or_route_table_no_accepted_terms","2","0","0","0","0","24238","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","sign_access","probe_metadata_witness","11","0","0","0","11","106073","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","sign_access","provenance_metadata","2","0","0","0","0","24238","counts from verified 9BBC local source witness reconciliation"
"8e49192488fe23517eda3c58e5a7e1b7abf82bd0","sign_access","sign_access_route_metadata_no_media","75","0","35","0","37","133898990","counts from verified 9BBC local source witness reconciliation"
