priority,status,paper,printed_page_or_band,last_seen_or_fixed_in,error_class,old_or_bad_reading,source_backed_reading,what_this_means,next_action,evidence
P0,closed_best_available,P15,148,Web R780; carried into R794/R795/R796,math exponent,"F=c\\,\\xi_{12}^\\nu ; c\\,(12)^\\nu","F=c\\,\\xi_{12}^x ; c\\,(12)^x","P15 had a real math exponent error, fixed during the full P15 audit.",Treat P15 as closed unless later evidence contradicts it.,R794 web_R780_P15P30_evidence/P15/P15_confirmed_fixes_R780_web.csv
P2,closed_source_reopened,P40,515,Local CO-20260705-044 after R546 archaeology conflict,punctuation/source syntax,"wird nichtkommutativ, behandelt, vermöge","wird nichtkommutativ behandelt, vermöge","This is not a mathematical symbol error, but it is an archaeology/process failure: an earlier source-backed comma repair was wrong because the decisive check needed the full page rather than a misleading crop.",Treat as a process lesson and keep R546's full-page source witness linked; do not resurrect CO-039 comma.,R546 `P40_p515_GDZ400_fullres.jpg`; current TeX line 19153
P1,closed_corrected_correction_compile_ok,P24,260,R580/R636 conflict resolved by local visual source reread; CO-20260705-048 supersedes CO-20260705-046,exponent-family drift in dense inline proof chain,V_i^{\\rho}D^{(i)},V_i^{\\sigma}D^{(i)},"The earlier CO-046 was wrong: the R636 crop label said rho, but the printed glyph is sigma. R580's wider p260 source context and the R636 image itself both support `V_i^{\\sigma}D^{(i)}`. The `x_i^l` reading remains source-supported and `x_i^{e_i}` remains rejected.",Keep sigma as controlling source reading. Treat this as a process lesson: do not trust crop labels over the visible glyph. XeLaTeX passed twice after the correction.,R580 P24_p260_bottom_formula_context_x2_source.png; R636_P24_p260_c02_UV_denominator_inline_chain_LABELLED_1000dpi.png; current TeX line 14159
P0,closed_best_available,P15,149,Local R793; carried into R794/R795/R796,missing multiplication dot,\\xi_{34}F_1(\\xi_{ik}),\\xi_{34}\\cdot F_1(\\xi_{ik}),P15 p149 had real product-dot omissions in two formula loci.,No next work unless contradiction appears.,Noether_R794.../1/03_audit/confirmed_fixes_R793.csv
P0,closed_best_available,P15,149,Local R794; carried into R795/R796,formula relation,"\\equiv K(\\xi_{12},\\xi_{13},\\xi_{23})","=K(\\xi_{12},\\xi_{13},\\xi_{23})","P15 stale conflict was resolved from source: formula (7) is equality, not congruence/specialization variant.",No next work unless contradiction appears.,Noether_R794.../1/03_audit/confirmed_fixes_R794.csv
P0,closed_source_backed_patch_compile_ok,P13,248-257,external proposal lane R673/D49+D210; local integration lane R674; Web R781; local patch/compile 2026-07-05,dense symbolic formulas plus source footnote/style traps,multiple wrong indices/summation/Jacobian/divergence readings; stale local ledger claimed p249 evaluation-bar form; missing p250 explanatory footnote; non-source footnote-marker punctuation,"current local head carries source-backed corrections to coefficient subscripts, y_varkappa, derivative replacement family, p249 baseline subscript `B_i(...,t)_{t=1}`, x_varkappa denominators, alpha dot chi^(varkappa), bare sums, p250 footnote, and footnote-marker punctuation",This is a true hard-math cluster. Web R781 found that the previous evaluation-bar survival row was wrong at p249; local machine-assisted production patched the current head and compiled twice. Known P13 p248-p257 band is closed after the R781 correction.,Do not redo p248-p257 unless contradicted. P13 whole-paper R781 audit is now logged separately.,R781 confirmed_fixes_R781.csv and P13_page_audit_R781.csv; R673/R674 ledgers; current local TeX line 8855; NOETHER_WEB_R781_P13P19_INTEGRATION_20260705.csv
P0,hotspot_closed_known_band,P24,233-246,R302 superseded in p233 detail; local P24 p234-245 audits; external proposal lane R527/R530; local machine-assisted production 2026-07-05 survival/recovery,Hilfssatz/congruence dense algebra,p233 congruence-glyph regression from source `\equiv0(\frakm)` to plain `=0(\frakm)`; older wrong p234-p244 dense algebra; p245-p246 Hilfssatz V index/variable/expansion errors,"p233 `\equiv0(\frakm)` at the Grundideale line and displayed formula (2); p234-p244 source-certain earlier local fixes; p245-p246 u_{mu r}/t_{mu r}, x_{i+lambda}, x_i^{p^{f'}}, correct c_i(t) expansion","P24 pp233-246 were a true danger band, but this band is now closed at known-locus level against the current local head. The earlier local/R302 equality note for p233 was a source-read/bookkeeping error and is superseded by direct 650dpi source crops showing congruence. One R796 regression at p233 was repaired in `Noether_LocalIntegration_20260705_P24p233_SourceStyleRecovery_from_R796`; p234-p246 survive in R796/current local head.","Do not redo pp233-246 unless contradicted. If continuing P24, move to p247-p261 / remaining P24 ledgers and then package the new local head.",origin=mixed: R302/local audits/external proposal lane; current local machine-assisted production did survival check and p233 congruence repair/retraction of old equality claim 2026-07-05; see CO-20260705-004/034/035 in NOETHER_CORRECTION_ORIGIN_LEDGER_20260705.csv
P0,hotspot_closed_known_band,tail/Schur,747-764,external proposal lane R484/R496/R507; local tail packages; R274 rejection ledger; current local survival check and p763 source render 2026-07-05,dense algebra / ring notation,missing product dots; corrupted Z/P; wrong quotient denominator; conjugation subscript drift; stale deletion trap; p763 relation glyph previously ambiguous between \\cong/\\simeq,"restored dots, \\mathfrak Z, \\mathfrak Z^*/\\mathscr H, u_S readings; p759 final equality retained; p763 source relation resolved as single tilde `\\sim` in `P^*/N\\mathfrak Z^*\\sim\\mathfrak G`","Known tail/Schur algebra fixes in pp747-764 survive in current local head, and the former p763 symbol trap is now source-resolved from the collected p763/page-53 1000dpi inspection crop. This closes the known tail pp747-764 band, not the entire tail/backmatter.",Do not redo p748/p753/p754/p755/p759/p762/p763/p764 unless contradicted by a better witness.,"R484/R496/R507 ledgers; R274 rejected_local_rows_R274.csv; p49_top_h1.png; Noether_tail_p763_symbol_work_20260705/P43tail_collected_p763_sourcepdf777_relation_line_render1000_crop.png; current local TeX lines 22935,23256,23320,23325,23389,23405,23540-23558,23671-23732"
P1,closed_current_head_survival_no_new_patch,P19,32,Web R711; local machine-assisted production survival check 2026-07-05,family symbol,U_i,A_i,Archaeology found stale complement-family reading in P19.,No action unless P19 is reopened for visual full-page certification.,current TeX line 11359; Web R711 report
P1,closed_current_head_survival_no_new_patch,P19,49,Web R711; local machine-assisted production survival check 2026-07-05,missing multiplication dot,\\bar{\\ideal R}\\bar{\\ideal L}^{*}\\equiv0(\\ideal R),\\bar{\\ideal R}\\cdot\\bar{\\ideal L}^{*}\\equiv0(\\ideal R),Archaeology found source-backed missing product dot.,No action unless P19 is reopened for visual full-page certification.,current TeX line 11935; Web R711 report
