"record_id","record_type","parent_id","revision","revision_of","supersedes","superseded_by","volume","expose","unit","source_lines","source_locator","target_locator","authority_sha256","producer_artifact","producer_sha256","independent_artifact","independent_sha256","check","status","raw_cursor","substantive_cursor","release_state","evidence_caveat","source_defect_ids","reviewer_disposition"
"SGA2-X-C24-PROOF-IR@1","review_status","","1","","","","SGA2","X","Corollary 2.4 proof independent review","3433-3437","printed116-117;physical101;running93","producer_tex:28-35;producer_pdf:1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","SGA2_Expose_X_Corollary_2_4_Proof_English_SourceAligned.tex","8F867DE410B58747B336FD61EF9050DE2BB464DCE324FF8A001513B8E19BC052","rebuild/INDEPENDENT_REBUILD_C24_PROOF.pdf","18AEED328ED8F21DC7C122B4FDF6346EC030783F685CB64103E786CC882EBE33","source target build render and machine package","independent_review_pass_with_machine_locator_correction","3438","3439","internal_not_for_release","comparison-only producer locator corrected append-only; path-bearing logs remain internal; no archive claim","","pass_with_machine_correction"
"SGA2-X-C24-PROOF-IR-SOURCE@1","source_replay","SGA2-X-C24-PROOF-IR@1","1","","","","SGA2","X","exact authority replay","3433-3437","authority_tex:3433-3437","producer_source_slice:1-5","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","SOURCE_LINES_3433_3437.tex","3DB457DA2960EE068953F0B48D0CFA89DA0385EFE2B3321D1D62E5F13C5C107C","source_control/french_arxiv/smf_doc-math_4_01.tex","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","five lines and terminal LF replay exactly","independent_source_replay_pass","3438","3439","internal_not_for_release","authority is French TeX; PDF is same-edition manifestation only","","pass"
"SGA2-X-C24-PROOF-IR-PAGE@1","page_marker_review","SGA2-X-C24-PROOF-IR@1","1","","","","SGA2","X","pageoriginale transition","3433","printed116-to-117;physical101;running93","producer_tex:17-20;producer_pdf:1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","SOURCE_PHYSICAL_PAGE_101_200DPI.png","E59A5DADE48D40EA47B11A4747A72A21ABA090FA09F697F403FC5B4ACD0FB793","SOURCE_LINES_3433_3437.tex","3DB457DA2960EE068953F0B48D0CFA89DA0385EFE2B3321D1D62E5F13C5C107C","marker follows two and printed 117 appears at same sentence position","independent_locator_pass","3438","3439","internal_not_for_release","same-edition render confirms manifestation and layout but not independent source lineage","","pass"
"SGA2-X-C24-PROOF-IR-TRANSLATION@1","translation_review","SGA2-X-C24-PROOF-IR@1","1","","","","SGA2","X","complete proof translation","3433-3437","printed116-117;physical101;running93","producer_tex:27-35;producer_pdf:1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","SOURCE_LINES_3433_3437.tex","3DB457DA2960EE068953F0B48D0CFA89DA0385EFE2B3321D1D62E5F13C5C107C","SGA2_Expose_X_Corollary_2_4_Proof_English_SourceAligned.tex","8F867DE410B58747B336FD61EF9050DE2BB464DCE324FF8A001513B8E19BC052","meaning register and sentence logic preserve French authority","independent_translation_pass","3438","3439","internal_not_for_release","direct product is retained for rings; direct sum rejected","","pass"
"SGA2-X-C24-PROOF-IR-CONNECT@1","formula_review","SGA2-X-C24-PROOF-IR@1","1","","","","SGA2","X","connectivity criterion","3433","printed116-117;physical101;running93","producer_tex:28-30;producer_pdf:1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","SOURCE_LINES_3433_3437.tex","3DB457DA2960EE068953F0B48D0CFA89DA0385EFE2B3321D1D62E5F13C5C107C","SGA2_Expose_X_Corollary_2_4_Proof_English_SourceAligned.tex","8F867DE410B58747B336FD61EF9050DE2BB464DCE324FF8A001513B8E19BC052","biconditional and two nonzero ring-product criterion preserved","independent_formula_pass","3438","3439","internal_not_for_release","symbols X O_X and Gamma X O_X retained","","pass"
"SGA2-X-C24-PROOF-IR-GAMMA@1","formula_review","SGA2-X-C24-PROOF-IR@1","1","","","","SGA2","X","global-section isomorphism","3434-3437","printed117;physical101;running93","producer_tex:30-35;producer_pdf:1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","SOURCE_LINES_3433_3437.tex","3DB457DA2960EE068953F0B48D0CFA89DA0385EFE2B3321D1D62E5F13C5C107C","SGA2_Expose_X_Corollary_2_4_Proof_English_SourceAligned.tex","8F867DE410B58747B336FD61EF9050DE2BB464DCE324FF8A001513B8E19BC052","domains direct images hats subscripts isomorphism and Lef attribution preserved","independent_formula_pass","3438","3439","internal_not_for_release","formula replayed from French rather than inherited candidate","","pass"
"SGA2-X-C24-PROOF-COMPARE@2","comparison_locator_correction","SGA2-X-C24-PROOF-IR@1","2","SGA2-X-C24-PROOF-COMPARE@1","SGA2-X-C24-PROOF-COMPARE@1","","SGA2","X","external English comparison locator","3433-3437","jcreinhold_chapter:236-243","producer_tex:27-35;producer_pdf:1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","MACHINE_EVIDENCE.csv","32401A2C18DDC31445DBCDEA9A82AAD883AA41C1826690F49CBF87ECF28BAF09","ii/10-application-to-the-fundamental-group.md","2BDDBC3D15EECE7A47FDBDFBE31DAE735446BC14480A75113E704F63901C7BF5","correct producer comparison locator from 234-241 to complete proof lines 236-243","append_only_comparison_locator_correction","3438","3439","internal_not_for_release","comparison role and target are unchanged; only machine locator is superseded","","pass_with_machine_correction"
"SGA2-X-C24-PROOF-IR-BUILD1@1","build_review","SGA2-X-C24-PROOF-IR@1","1","","","","SGA2","X","independent build pass one","3433-3437","printed116-117;physical101;running93","independent_rebuild:pass1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","SGA2_Expose_X_Corollary_2_4_Proof_English_SourceAligned.tex","8F867DE410B58747B336FD61EF9050DE2BB464DCE324FF8A001513B8E19BC052","rebuild/INDEPENDENT_BUILD_PASS1.log","5263CE07C58FA71E1360BF3EE6E292D1772D757A24A4EB9A8D51E14B83ACC938","exit zero with only expected rerunfilecheck warning","independent_build_pass1_pass","3438","3439","internal_not_for_release","log contains private local paths and must be sanitized or excluded publicly","","pass"
"SGA2-X-C24-PROOF-IR-BUILD2@1","build_review","SGA2-X-C24-PROOF-IR@1","1","","","","SGA2","X","independent build pass two","3433-3437","printed116-117;physical101;running93","independent_rebuild:pass2","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","SGA2_Expose_X_Corollary_2_4_Proof_English_SourceAligned.tex","8F867DE410B58747B336FD61EF9050DE2BB464DCE324FF8A001513B8E19BC052","rebuild/INDEPENDENT_BUILD_PASS2.log","B5BC4505F851918C239B9B640E457858F38B7D3187E917040FBC3ED6390AB67E","exit zero with no matched warning error bad-box or undefined-control lines","independent_build_pass2_pass","3438","3439","internal_not_for_release","log contains private local paths and must be sanitized or excluded publicly","","pass"
"SGA2-X-C24-PROOF-IR-PDF@1","pdf_structure_review","SGA2-X-C24-PROOF-IR@1","1","","","","SGA2","X","independent PDF structure","3433-3437","printed116-117;physical101;running93","independent_pdf:1","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","SGA2_Expose_X_Corollary_2_4_Proof_English_SourceAligned.pdf","963DDF70C59130B99D1C37BC0333AE8B87682A650796A8F43B8EB5992C2AC8EF","rebuild/INDEPENDENT_REBUILD_C24_PROOF.pdf","18AEED328ED8F21DC7C122B4FDF6346EC030783F685CB64103E786CC882EBE33","one A4 page unencrypted no JavaScript and expected metadata","independent_pdf_structure_pass","3438","3439","internal_not_for_release","PDF identity differs because timestamps differ; content checks are separate","","pass"
