support_refresh_id,source_draft_row_id,source_id,zip_entry,line_number,source_form,draft_gloss,source_context_snippet,source_use_label,draft_status,allowed_use,boundary_decision,blocked_claims,generated_at_utc,non_claim_boundary
CJK-FAA2-DRAFT-SUPPORT-0001,CJK-9BB-DRAFT-0001,CJK-9BB-ZIP-SOURCE-0002,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols1-3.tex,236,圓,circle/round; source-context baseline only,雖天圓穹之象猶曰可度，又況泰山之高與江海之廣哉。,native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
CJK-FAA2-DRAFT-SUPPORT-0002,CJK-9BB-DRAFT-0002,CJK-9BB-ZIP-SOURCE-0002,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols1-3.tex,234,徑,diameter/path; source-context baseline only,以徑寸之筩南望日，日滿筩空，則定筩之長短以為股率，以筩徑為句率，,native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
CJK-FAA2-DRAFT-SUPPORT-0003,CJK-9BB-DRAFT-0003,CJK-9BB-ZIP-SOURCE-0002,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols1-3.tex,262,積,product/area/accumulation; source-context baseline only,此章以御田疇界域，論各種田地面積之計算法，并及分數四則運算之法。,native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
CJK-FAA2-DRAFT-SUPPORT-0004,CJK-9BB-DRAFT-0004,CJK-9BB-ZIP-SOURCE-0002,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols1-3.tex,264,冪,power/square; source-context baseline only,積步者，田之冪也。冪者，方田之面積也。以積步除之以畝法，即得畝數。,native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
CJK-FAA2-DRAFT-SUPPORT-0005,CJK-9BB-DRAFT-0005,CJK-9BB-ZIP-SOURCE-0002,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols1-3.tex,229,句股,right-triangle legs; source-context baseline only,凡望極高、測絕深而兼知其遠者必用重差，句股則必以重差為率，故曰重差也。,native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
CJK-FAA2-DRAFT-SUPPORT-0006,CJK-9BB-DRAFT-0006,CJK-9BB-ZIP-SOURCE-0002,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols1-3.tex,229,率,rate/ratio; source-context baseline only,凡望極高、測絕深而兼知其遠者必用重差，句股則必以重差為率，故曰重差也。,native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
CJK-FAA2-DRAFT-SUPPORT-0007,CJK-9BB-DRAFT-0007,CJK-9BB-ZIP-SOURCE-0002,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols1-3.tex,262,分數,fraction; source-context baseline only,此章以御田疇界域，論各種田地面積之計算法，并及分數四則運算之法。,native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
CJK-FAA2-DRAFT-SUPPORT-0008,CJK-9BB-DRAFT-0001,CJK-9BB-ZIP-SOURCE-0003,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols4-6.tex,1204,方程,equation/procedure; source-context baseline only,此術雖以盈不足為名，然其實為方程術也。設金銀各一枚之重為未知數，列二方程：九金減十一銀等於零，八金加一銀加十三兩減十銀減一金等於零。解此聯立方程，得金銀各一枚之重。此九章方程術之應用也。,native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
CJK-FAA2-DRAFT-SUPPORT-0009,CJK-9BB-DRAFT-0002,CJK-9BB-ZIP-SOURCE-0003,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols4-6.tex,253,開方,root extraction; source-context baseline only,少廣者，少從廣也。從廣者，田之長闊也。已知田之積步，及從廣之比率，而求從步之長。故曰少廣。此章先設分數，次開方，次開圓，次立圓，皆所以求其本數也。術之難者，莫過於開方。開方者，求方冪之一面也。,native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
CJK-FAA2-DRAFT-SUPPORT-0010,CJK-9BB-DRAFT-0003,CJK-9BB-ZIP-SOURCE-0003,modern-latex-manuscripts-20260609-174659/sources/non-european/sources/chinese/jiuzhang-suanshu-vols4-6.tex,242,圓,circle/round; source-context baseline only,\zh{少廣以御積冪方圓}\\[0.3em],native-source-body,generated-draft/non-canonical/source-backed-context-note,pretranslation/interlinear/source-context support only,source-gated generated-draft/non-canonical support only; not native evidence promotion or accepted terminology,native review; accepted terminology; canonical approval; license clearance; source certification; final status; translation completion,2026-07-06T14:59:40Z,"CJK FAA2C330 source-gated draft-support refresh only; Chinese/Japanese/Korean workflow-family source/crosswalk/native-edition evidence and generated-draft/noncanonical/source-use/provenance/gap labels retained; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot status, visual inventory, term spine, sign rendering, translation completion, public signoff, pan-CJK authority, or Korean-school authority claim"
