paper,printed_page,source_page,current_output_page_or_band,audit_scope,fixes_found,status,evidence
P43,7,7,403,"all prose; formulas; footnote 11; emphasis; continuity",0,closed_no_patch,P43_printed_p007_native360_mask_inverted.png
P43,8,8,403-404,"all prose; formulas; footnote 12; section transition; continuity",0,closed_no_patch,P43_printed_p008_native360_mask_inverted.png
P43,9,9,404-405,"all prose; formulas; footnotes 13 and 13a; ideal-map chain; continuity",1,closed_after_patch,P43_printed_p009_native360_mask_inverted.png
P43,10,10,405,"theorem; proof; polynomial formulas; direct-sum hypotheses; continuity",0,closed_no_patch,P43_printed_p010_native360_mask_inverted.png
P43,11,11,406,"all prose; displays; proof I-IV; emphasis; continuity",2,closed_after_patch,P43_printed_p011_native360_mask_inverted.png
P43,12,12,407,"all prose; formulas; footnote 14; proof V-VIII; continuity",2,closed_after_patch,P43_printed_p012_native360_mask_inverted.png
P43,13,13,408,"proof VIII-XI; section 5 transition; footnotes 15-16; continuity",0,closed_no_patch,P43_printed_p013_native360_mask_inverted.png
P43,14,14,408-409,"conjugate ideals; structural theorem; formulas (1)-(2); footnote 17; continuity",0,closed_no_patch,P43_printed_p014_native360_mask_inverted.png
P43,15,15,409-410,"structural decomposition; formula (3); component theorem; corollary; footnote 18",0,closed_no_patch,P43_printed_p015_native360_mask_inverted.png
P43,16,16,410-411,"complementary-basis theorem; matrix identities (1)-(2); proof; continuity",0,closed_no_patch,P43_printed_p016_native360_mask_inverted.png
P43,17,17,411-412,"trace formulas; source wording; section 6 transition; footnotes 19-20",2,closed_after_patch,P43_printed_p017_native360_mask_inverted.png
