path,pages,bytes
En/sga7i_001_137_en.pdf,57,551681
En/sga7i_121_137_en.pdf,10,265380
Fr/sga7i_001_137_fr.pdf,46,499300
Fr/sga7i_121_137_fr.pdf,10,268589
PDFs/sga7i_001_137_en.pdf,57,551681
PDFs/sga7i_001_137_fr.pdf,46,499300
PDFs/sga7i_121_137_en.pdf,10,265380
PDFs/sga7i_121_137_fr.pdf,10,268589
PDFs/sga7i_src_001_137.pdf,137,10081476
PDFs/sga7i_src_121_137.pdf,17,1274049
Src/sga7i_full_scan.pdf,528,37362787
Src/sga7i_src_001_137.pdf,137,10081476
Src/sga7i_src_121_137.pdf,17,1274049
Src/sga7ii_full_scan.pdf,444,27494742
