pdf_page_1based,printed_page,role
11,1,continuous_scan_pp001_291
12,2,continuous_scan_pp001_291
13,3,continuous_scan_pp001_291
14,4,continuous_scan_pp001_291
15,5,continuous_scan_pp001_291
16,6,continuous_scan_pp001_291
17,7,continuous_scan_pp001_291
18,8,continuous_scan_pp001_291
19,9,continuous_scan_pp001_291
20,10,continuous_scan_pp001_291
21,11,continuous_scan_pp001_291
22,12,continuous_scan_pp001_291
23,13,continuous_scan_pp001_291
24,14,continuous_scan_pp001_291
25,15,continuous_scan_pp001_291
26,16,continuous_scan_pp001_291
27,17,continuous_scan_pp001_291
28,18,continuous_scan_pp001_291
29,19,continuous_scan_pp001_291
30,20,continuous_scan_pp001_291
31,21,continuous_scan_pp001_291
32,22,continuous_scan_pp001_291
33,23,continuous_scan_pp001_291
34,24,continuous_scan_pp001_291
35,25,continuous_scan_pp001_291
36,26,continuous_scan_pp001_291
37,27,continuous_scan_pp001_291
38,28,continuous_scan_pp001_291
39,29,continuous_scan_pp001_291
40,30,continuous_scan_pp001_291
41,31,continuous_scan_pp001_291
42,32,continuous_scan_pp001_291
43,33,continuous_scan_pp001_291
44,34,continuous_scan_pp001_291
45,35,continuous_scan_pp001_291
46,36,continuous_scan_pp001_291
47,37,continuous_scan_pp001_291
48,38,continuous_scan_pp001_291
49,39,continuous_scan_pp001_291
50,40,continuous_scan_pp001_291
51,41,continuous_scan_pp001_291
52,42,continuous_scan_pp001_291
53,43,continuous_scan_pp001_291
54,44,continuous_scan_pp001_291
55,45,continuous_scan_pp001_291
56,46,continuous_scan_pp001_291
57,47,continuous_scan_pp001_291
58,48,continuous_scan_pp001_291
59,49,continuous_scan_pp001_291
60,50,continuous_scan_pp001_291
61,51,continuous_scan_pp001_291
62,52,continuous_scan_pp001_291
63,53,continuous_scan_pp001_291
64,54,continuous_scan_pp001_291
65,55,continuous_scan_pp001_291
66,56,continuous_scan_pp001_291
67,57,continuous_scan_pp001_291
68,58,continuous_scan_pp001_291
