"queue_id","source_surface","source_row_id","route","priority_class","candidate_type","source_title","landing_url","payload_or_archive_url","checksum_signal","local_metadata_path","local_metadata_sha256","license_or_access_signal","language_topic_tags","next_action","blocker_or_boundary","upload_policy","non_claim_boundary","created_utc"
"R3-ACQ-0001","persianate_source_archive_contents_summary","R3-PERSIANATE-SOURCE-ARCHIVE-001","Persianate/Tajik source-canon lane - fa_IR only","P1_existing_hashed_source_archive_manifest","existing_fa_ir_source_archive_with_entry_hash_manifest","Persian linear algebra 3Blue1Brown notes","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\source_canon_witness_cache_20260704\fa_linear_algebra_3blue1brown_tex_source_master.zip","archive=4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C; entries=44; tex=30; pdf=4; entry_hash_failures=0","","","existing owner-lane source archive cache; B3/owner license and attribution review still required","Persian/Farsi fa_IR; linear algebra; source archive; TeX/PDF entries; no extraction in queue","B3/owner lane should decide whether gated payload packaging is allowed; preserve fa_IR-only boundary.","Source-archive contents manifest only; no source body extraction into this artifact, no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push. fa_IR source archives do not authorize Dari, Tajik, Urdu, Hindustani, or Pan-Turkic rows.","manifest_existing_source_archive_hash_entry_manifest_only_until_B3_license_attribution_review","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0002","persianate_source_archive_contents_summary","R3-PERSIANATE-SOURCE-ARCHIVE-002","Persianate/Tajik source-canon lane - fa_IR only","P1_existing_hashed_source_archive_manifest","existing_fa_ir_source_archive_with_entry_hash_manifest","Persian translation of selected chapters from Linear Algebra and Its Applications","https://github.com/AlirezaKachouei/Linear-Algebra-Gilbert-Strang-Persian","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\source_canon_witness_cache_20260704\fa_linear_algebra_gilbert_strang_persian_source_main.zip","archive=1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B; entries=42; tex=20; pdf=20; entry_hash_failures=0","","","existing owner-lane source archive cache; B3/owner license and attribution review still required","Persian/Farsi fa_IR; linear algebra; source archive; TeX/PDF entries; no extraction in queue","B3/owner lane should decide whether gated payload packaging is allowed; preserve fa_IR-only boundary.","Source-archive contents manifest only; no source body extraction into this artifact, no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push. fa_IR source archives do not authorize Dari, Tajik, Urdu, Hindustani, or Pan-Turkic rows.","manifest_existing_source_archive_hash_entry_manifest_only_until_B3_license_attribution_review","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0003","github_live_source_archive_metadata","R3-GH-META-REPO-1","Persianate/Tajik lane - fa_IR only","P2_source_archive_or_tex_candidate_metadata","possible_source_level_tex_archive_metadata_needs_topic_screening","ArsalanDalvand/atomathix-latex","https://github.com/ArsalanDalvand/atomathix-latex","https://api.github.com/repos/ArsalanDalvand/atomathix-latex/zipball/main","repo_metadata=23B1B409625B0E7B95C32173078DDE895644DA82ACA0B9366659DCFA76B18235; contents=::D80A8884DAD4033D1FC2375D360B3F6FAC982295978AECB61E127BCF1FFD2951 || chapters::1700284ACC08FF4F8D1B4C742FB1F27EB90191E31D70B2A9D8C6417777FDA67D","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_GITHUB_LIVE_SOURCE_ARCHIVE_METADATA_FRONTIER_20260705T064748Z\ArsalanDalvand__atomathix-latex.repo.json","23B1B409625B0E7B95C32173078DDE895644DA82ACA0B9366659DCFA76B18235","GitHub license metadata: NOASSERTION; verify before reuse.","Persian/Farsi; TeX; mathematical foundations; set theory; relations; functions; adjacent support; not Noether/linear algebra closure","Screen topic/language/license, then fetch zipball only if B3/owner gate approves.","Persian TeX mathematical-book source candidate, but visible chapter filenames indicate foundations/sets/relations/functions rather than Noether algebra or linear algebra; do not fetch/package zipball until topic and license gates are reviewed.","manifest_only_source_archive_metadata_until_B3_license_topic_review","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0004","github_live_source_archive_metadata","R3-GH-META-REPO-2","R3_B3_support_tooling_only_not_math_witness","P4_support_or_false_positive_boundary","support_tooling_not_math_source","kntupssa/AnaLaTeX","https://github.com/kntupssa/AnaLaTeX","https://api.github.com/repos/kntupssa/AnaLaTeX/zipball/main","repo_metadata=8E32051FF1AFDDE8FAB1D19790ED00FC1284EE92AC1E9D3CF8D881952B7CC1FD; contents=::4196E1B460CA142C97D106146429E2DADD2E62393D3F6A9A59CE058D017A8DD7 || src::9880814123145880683885CECB444D6342C52B37F1A335CF88499649B8EEADAE","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_GITHUB_LIVE_SOURCE_ARCHIVE_METADATA_FRONTIER_20260705T064748Z\kntupssa__AnaLaTeX.repo.json","8E32051FF1AFDDE8FAB1D19790ED00FC1284EE92AC1E9D3CF8D881952B7CC1FD","GitHub license metadata: CC-BY-SA-4.0; verify before reuse.","Persian; XePersian/LaTeX snippets; tooling; not algebra source corpus","Keep as support/tooling boundary only; do not fetch as math source witness.","TeX snippet/tooling repository with Persian/XePersian relevance; useful rendering context only, not a target-language mathematical source witness.","manifest_only_support_tooling_not_math_witness","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0005","github_live_source_archive_metadata","R3-GH-META-REPO-3","Persianate/Tajik lane - fa_IR only","P2_source_archive_or_tex_candidate_metadata","possible_source_level_query_hit_metadata_needs_topic_screening","SireJeff/linear-algebra-3blue1brown-notes","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","https://api.github.com/repos/SireJeff/linear-algebra-3blue1brown-notes/zipball/master","repo_metadata=76028E8EC13506AEC1C44EFEC23F542342114BF753D0E98CC62DCCA24F6EA51D; contents=::1AC6ED4F125571DC776B95E02BFE2DDA82AD891ACC17B33E84101998F1232362","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_GITHUB_LIVE_SOURCE_ARCHIVE_METADATA_FRONTIER_20260705T064748Z\SireJeff__linear-algebra-3blue1brown-notes.discovered.repo.json","76028E8EC13506AEC1C44EFEC23F542342114BF753D0E98CC62DCCA24F6EA51D","GitHub license metadata empty or unavailable; no license clearance claimed.","Persian/Farsi; linear algebra; LaTeX/source archive; discovered GitHub query hit","Screen topic/language/license, then fetch zipball only if B3/owner gate approves.","Repository metadata hit discovered by GitHub query '""جبر خطی"" latex'; requires topic/language/license screening before any zipball fetch or source-canon admission.","manifest_only_query_hit_source_archive_metadata_until_B3_license_topic_review","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0006","zenodo_file_hints","R3-ZENODO-FILE-0001","Arabic RTL source-canon lane","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","10074309::Linear Algebra::WhatsApp Image 2023-11-06 at 12.36.39 PM.jpeg","https://zenodo.org/records/10074309","https://zenodo.org/api/records/10074309/files/WhatsApp%20Image%202023-11-06%20at%2012.36.39%20PM.jpeg/content","md5:3eb5c8e7764d9ffbbf48959aa1d3e78e","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0007","zenodo_file_hints","R3-ZENODO-FILE-0002","Arabic RTL source-canon lane","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","15067574::Linear Algebra::Full cover.jpg","https://zenodo.org/records/15067574","https://zenodo.org/api/records/15067574/files/Full%20cover.jpg/content","md5:051b6c75c16c96599d680ed9695e379b","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0008","zenodo_file_hints","R3-ZENODO-FILE-0003","Arabic RTL source-canon lane","P2_source_archive_or_tex_candidate_metadata","zenodo_source_archive_or_compressed_file_hint_needs_fetch_hash_language_license_screen","3367812::SLATE::slate-2019-04-04.tar.gz","https://zenodo.org/records/3367812","https://zenodo.org/api/records/3367812/files/slate-2019-04-04.tar.gz/content","md5:2a2ea8bc1cd32ef1aa34919282760bae","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","Zenodo record metadata access=open; license=bsd-3-clause; no R3 license clearance","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0009","zenodo_file_hints","R3-ZENODO-FILE-0004","Arabic RTL source-canon lane","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","8296796::Elementary Linear Algebra::WhatsApp Image 2023-08-29 at 11.44.12 AM.jpeg","https://zenodo.org/records/8296796","https://zenodo.org/api/records/8296796/files/WhatsApp%20Image%202023-08-29%20at%2011.44.12%20AM.jpeg/content","md5:af5eb81893a81e9708fdf93b2851ab7a","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0010","zenodo_file_hints","R3-ZENODO-FILE-0005","Arabic RTL source-canon lane","P4_support_or_false_positive_boundary","zenodo_metadata_topic_file_hint_needs_manual_screening","10863548::Mathematics Linear Algebra::WhatsApp Image 2024-03-23 at 1.20.16 PM (1).jpeg","https://zenodo.org/records/10863548","https://zenodo.org/api/records/10863548/files/WhatsApp%20Image%202024-03-23%20at%201.20.16%20PM%20(1).jpeg/content","md5:7cecc2421a17c5889761d6c33bb094c5","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0011","zenodo_file_hints","R3-ZENODO-FILE-0006","Arabic RTL source-canon lane","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","6349906::المجلة العربية الدولیة للبحوث الخلّاقة، المجلد الأول۲۰۲۰م::IAJCR01 2020A.pdf","https://zenodo.org/records/6349906","https://zenodo.org/api/records/6349906/files/IAJCR01%202020A.pdf/content","md5:c1c47e9ade3ad81db66d2db358dd95bb","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_noetherian_ring.json","D6F89F587931BDA3A2B008F40399DF9593FB4B5A92F8B1F86D252F9D50F1550A","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Arabic; Noetherian ring; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0012","zenodo_file_hints","R3-ZENODO-FILE-0007","Arabic RTL source-canon lane","P2_source_archive_or_tex_candidate_metadata","zenodo_source_archive_or_compressed_file_hint_needs_fetch_hash_language_license_screen","12755351::Arabic Poetry Analysis Datasets::Arabic Poetry Analysis Datasets.zip","https://zenodo.org/records/12755351","https://zenodo.org/api/records/12755351/files/Arabic%20Poetry%20Analysis%20Datasets.zip/content","md5:608503da1995db314c89b28f0baa56fd","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_noetherian_ring.json","D6F89F587931BDA3A2B008F40399DF9593FB4B5A92F8B1F86D252F9D50F1550A","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Arabic; Noetherian ring; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0013","zenodo_file_hints","R3-ZENODO-FILE-0008","Arabic RTL source-canon lane","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","11953658::Journal of Afro Asian Studies Eighth Issue February 2021::Journal-of-Afro-Asian-Studies-Eight-issue-February-2021.pdf","https://zenodo.org/records/11953658","https://zenodo.org/api/records/11953658/files/Journal-of-Afro-Asian-Studies-Eight-issue-February-2021.pdf/content","md5:d924565e09a3b306722d73503d3bc6cd","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_noetherian_ring.json","D6F89F587931BDA3A2B008F40399DF9593FB4B5A92F8B1F86D252F9D50F1550A","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Arabic; Noetherian ring; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0014","zenodo_file_hints","R3-ZENODO-FILE-0009","Arabic RTL source-canon lane","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","13375673::Journal of Afro-Asian Studies Twenty-First Issue May 2024::Journal-of-Afro-Asian-Studies-Twenty-First-Issue-–-May-2024.pdf","https://zenodo.org/records/13375673","https://zenodo.org/api/records/13375673/files/Journal-of-Afro-Asian-Studies-Twenty-First-Issue-%E2%80%93-May-2024.pdf/content","md5:22e3a77149d04fe0df909a0563dffdda","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_noetherian_ring.json","D6F89F587931BDA3A2B008F40399DF9593FB4B5A92F8B1F86D252F9D50F1550A","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Arabic; Noetherian ring; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
"R3-ACQ-0015","zenodo_file_hints","R3-ZENODO-FILE-0010","Arabic RTL source-canon lane","P3_pdf_doc_text_fallback_candidate_metadata","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","6349906::المجلة العربية الدولیة للبحوث الخلّاقة، المجلد الأول۲۰۲۰م::IAJCR01 2020A.pdf","https://zenodo.org/records/6349906","https://zenodo.org/api/records/6349906/files/IAJCR01%202020A.pdf/content","md5:c1c47e9ade3ad81db66d2db358dd95bb","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_invariant_theory.json","60FE983E6242EB0E9DD87047966824C3D8C39678186869F0142F6396C3BA4F1D","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Arabic; invariant theory; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Fetch, independently hash, language/topic-screen, and license/access-review before any payload use.","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Source-canon acquisition queue only; no payload download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T131155Z"
