adverse_id,scope,form_or_pattern,channel,status,reason,control
ADV-001,whole lane,pan-African or pan-Horn or pan-West default language,veto,standing,"Geography is not a language family or review authority","Name every language standard script register audience and community"
ADV-002,whole lane,unified v6.2 readiness,veto,standing,"Current packages do not justify unified readiness","Keep W0 as projection and use hard gates without scalar auto-decision"
ADV-003,whole lane,source absence equals adverse evidence,veto,standing,"A missing witness is an intake gap not negative usage evidence","Record absence in the absence channel and continue source intake"
ADV-004,whole lane,source-language authority certifies target form,veto,standing,"Authority over the work's source meaning does not attest target-language usage","Require independent target-language witnesses or named review"
ADV-005,whole lane,generated translation equals native witness,veto,standing,"Generated consistency is not attestation","Label generated material as draft and keep it out of support evidence"
ADV-006,publication audit,upstream Tigrinya main.tex treated as project translation,veto,standing,"The TeX is an upstream number-verbalization source body","Classify by provenance and work identity before counting a translation"
ADV-007,publication audit,coordination artifact count treated as reader progress,adverse,standing,"Rolling logs and manifests greatly outnumber reader artifacts","Count translation only at the TeX plus compiled and visually checked PDF gate"
ADV-008,Horn,Cushitic relationship transfers terms across Somali Oromo Afar,veto,standing,"Genealogical relatedness does not establish shared technical usage","Use the cohort tree for dependence only and separate target evidence graphs"
ADV-009,Horn,Ethiopic script transfers terms between Tigrinya and Amharic,veto,standing,"Shared script is not shared language or review authority","Maintain independent terminology and review decisions"
ADV-010,West,Latin Hausa transliterated to Ajami as accepted target,veto,standing,"Script conversion does not establish Ajami-native register","Require script-native sources and named community review"
ADV-011,West,Fulfulde/Fulani used without named variety,veto,standing,"The inherited label spans distinct varieties standards countries and scripts","Split the target before source or translation decisions"
ADV-012,West,Akan/Twi treated as one standard,veto,standing,"Asante Twi Akuapem Twi and Fante boundaries affect evidence and audience","Name the standard before translation"
ADV-013,review,community-certified or native-approved wording without accepted return,veto,standing,"No accepted external/community return exists in the audited lane","Use draft/source-extracted/unreviewed labels only"
ADV-014,licensing,source body presence treated as blanket reuse clearance,veto,standing,"The public R9 package explicitly leaves license/access unsettled","Verify redistribution and derivative-work permissions per source"

