policy_id,target_id,language_standard,script,register_or_audience,separate_sublane,normalization_and_render_checks,transfer_boundary,status
SR-SO-001,AHW-SO-LATN,Somali,Latin,Somali school and later higher-mathematics registers,true,"UTF-8; apostrophe/quotation normalization; hyphenation; font embedding; PDF text extraction","No automatic transfer from Oromo or Afar despite Cushitic relationship",active_policy
SR-OM-001,AHW-OM-LATN,Oromo Qubee,Latin,Oromo school and later higher-mathematics registers,true,"UTF-8; apostrophe and glottal-mark preservation; Qubee orthography; font embedding; PDF extraction","No automatic transfer from Somali or Afar",active_policy
SR-TI-001,AHW-TI-ETHI,Tigrinya,Ge'ez/Ethiopic,Tigrinya school and technical registers,true,"Unicode Ethiopic validation; font embedding; glyph coverage; line breaking; extraction round-trip; rendered-page QA","No transfer from Amharic merely because both use Ethiopic script",active_policy
SR-AM-001,AHW-AM-ETHI,Amharic,Ge'ez/Ethiopic,Amharic school and technical registers,true,"Font-map/OCR repair; Unicode Ethiopic validation; glyph coverage; extraction round-trip; rendered-page QA","No transfer from Tigrinya merely because both use Ethiopic script",active_policy
SR-AA-001,AHW-AA-LATN,Afar/Qafar,Latin,Named Qafar audience required,true,"Orthography declaration; Unicode; font embedding; extraction round-trip","No automatic transfer from Somali or Oromo",source_intake
SR-HA-001,AHW-HA-LATN,Hausa boko,Latin,Standard written Hausa mathematical register,true,"Unicode; hooked-letter and tone/length policy if used; font embedding; extraction round-trip","Latin Hausa does not certify Hausa Ajami",active_policy
SR-HA-002,AHW-HA-ARAB,Hausa Ajami,Arabic/Ajami,Named Ajami orthography and community required,true,"RTL/bidi invariants; joining; diacritics; font embedding; extraction order; rendered-page QA","Never transliterate the Latin lane as automatic acceptance",source_intake
SR-FF-001,AHW-FF-MULTI,Fulfulde variety unresolved,Latin,Named variety-country audience required,true,"Orthography-specific Unicode and font tests","No cross-variety or cross-script canon",source_intake
SR-FF-002,AHW-FF-MULTI,Fulfulde variety unresolved,Adlam,Named Adlam-using community required,true,"Adlam shaping; bidi behavior; font embedding; extraction order; rendered-page QA","No automatic transfer from Latin or Ajami",source_intake
SR-FF-003,AHW-FF-MULTI,Fulfulde variety unresolved,Arabic/Ajami,Named Ajami-using community required,true,"RTL/bidi invariants; joining; font embedding; extraction order","No automatic transfer from Latin or Adlam",source_intake
SR-MNK-001,AHW-MNK-LATN,Mandinka,Latin,Named national/educational standard required,true,"Orthography declaration; Unicode; font embedding; extraction round-trip","Does not certify a N'Ko Manding lane",source_intake
SR-MAN-001,AHW-MAN-NKOO,Named Manding language,N'Ko,Named N'Ko community required,true,"N'Ko RTL behavior; shaping; font embedding; extraction order; rendered-page QA","No automatic transfer from Mandinka Latin or generic Manding forms",source_intake
SR-AK-001,AHW-AK-LATN,Akan standard unresolved,Latin,"Separate Asante Twi Akuapem Twi and Fante audiences",true,"Standard-specific orthography; diacritics; font embedding; extraction round-trip","The label Akan/Twi is not a single standard",source_intake
SR-WO-001,AHW-WO-LATN,Wolof,Latin,Wolof school/university mathematics,true,"Orthography and diacritic preservation; font embedding; extraction round-trip","Does not certify Wolofal",source_intake
SR-WO-002,AHW-WO-ARAB,Wolofal,Arabic/Ajami,Named Wolofal orthography/community,true,"RTL/bidi invariants; joining; font embedding; extraction order; rendered-page QA","No automatic transfer from Latin Wolof",source_intake
SR-YO-001,AHW-YO-LATN,Yoruba,Latin,Standard Yoruba mathematical register,true,"Tone-mark policy declared; combining-mark normalization; font embedding; extraction round-trip","Unmarked search forms do not automatically become publication forms",source_intake
SR-IG-001,AHW-IG-LATN,Igbo,Latin,Named standard and mathematical audience,true,"Diacritic policy; normalization; font embedding; extraction round-trip","Dictionary or English calque does not certify target usage",source_intake

