target_id,target_name,language_tag,subprogram,family_route,standard_or_audience,script_lane,inherited_state,source_floor,translation_draft_status,public_translation_status,review_status,next_action
AHW-SO-LATN,Somali,so-Latn,Horn,Afro-Asiatic>Cushitic>Lowland East Cushitic,Somali school-mathematics register,Latin,source_return_recovered,partial_foundational_school_math,not_started,absent,no_accepted_return,"Preserve local shelf; extend from foundational mathematics to the named work domain before drafting"
AHW-OM-LATN,Oromo,om-Latn-ET,Horn,Afro-Asiatic>Cushitic>Lowland East Cushitic,Oromo Qubee school-mathematics register,Latin,source_return_recovered,partial_foundational_school_math,not_started,absent,no_accepted_return,"Preserve local shelf; distinguish textbook theorem marker from reviewed proof prose"
AHW-TI-ETHI,Tigrinya,ti-Ethi,Horn,Afro-Asiatic>Semitic>Ethio-Semitic,Tigrinya school and technical registers,Ge'ez/Ethiopic,public_narrow_source_plus_local_shelf,partial_school_math_and_narrow_number_domain,not_started,absent,no_accepted_return,"Repair weak extraction rows and acquire work-domain higher mathematics witnesses"
AHW-AM-ETHI,Amharic,am-Ethi,Horn,Afro-Asiatic>Semitic>Ethio-Semitic,Amharic school and technical registers,Ge'ez/Ethiopic,local_source_return_recovered,blocked_by_font_map_and_ocr,not_started,absent,no_accepted_return,"Run script-aware OCR/font-map repair before term extraction"
AHW-AA-LATN,Afar/Qafar,aa-Latn,Horn,Afro-Asiatic>Cushitic>Lowland East Cushitic,Named Qafar mathematical audience required,Latin,context_routes_recovered,no_admitted_math_text_witness,not_started,absent,no_accepted_return,"Obtain a cacheable mathematics text or transcribed reviewer return"
AHW-HA-LATN,Hausa,ha-Latn-NG,West,Afro-Asiatic>Chadic>West Chadic,Standard written Hausa mathematical register,Latin,public_source_body,partial_public_math_source,not_started,absent,no_accepted_return,"Inspect/cache actual secondary textbook content and settle reuse status"
AHW-HA-ARAB,Hausa Ajami,ha-Arab,West,Afro-Asiatic>Chadic>West Chadic,Named Hausa Ajami community and orthography required,Arabic/Ajami,route_only,no_script_specific_math_floor,not_started,absent,no_accepted_return,"Do not transliterate the Latin lane automatically; acquire Ajami-native witnesses"
AHW-FF-MULTI,Fulfulde/Fulani,ff,West,Niger-Congo>Atlantic,Fulfulde variety and audience unresolved,Latin/Adlam/Ajami,glossary_ledger_only,no_named_variant_source_floor,not_started,absent,no_accepted_return,"Split into named variety-country-script targets before term or translation decisions"
AHW-MNK-LATN,Mandinka,mnk-Latn,West,Mande higher placement left undeclared,Mandinka Latin standard and audience required,Latin,scaffold_only,no_source_floor,not_started,absent,no_accepted_return,"Acquire institutional mathematics witnesses for the named Mandinka standard"
AHW-MAN-NKOO,Manding N'Ko route,man-Nkoo,West,Mande higher placement left undeclared,Named Manding language community required,N'Ko,route_only,no_source_floor,not_started,absent,no_accepted_return,"Keep separate from Mandinka Latin; name language community and acquire N'Ko mathematics witnesses"
AHW-AK-LATN,Akan/Twi,ak-Latn-GH,West,Niger-Congo>Volta-Congo>Kwa,Akan standard must distinguish Asante Twi Akuapem Twi and Fante,Latin,scaffold_only,no_standard_specific_source_floor,not_started,absent,no_accepted_return,"Split the inherited Akan/Twi label before source intake"
AHW-WO-LATN,Wolof,wo-Latn-SN,West,Niger-Congo>Atlantic,Wolof school or university mathematics register,Latin,glossary_ledger_only,glossary_only,not_started,absent,no_accepted_return,"Acquire connected mathematical prose and proof-language witnesses"
AHW-WO-ARAB,Wolofal/Wolof Ajami,wo-Arab,West,Niger-Congo>Atlantic,Named Wolofal community and orthography required,Arabic/Ajami,route_only,no_script_specific_math_floor,not_started,absent,no_accepted_return,"Do not infer from Latin Wolof; acquire script-native witnesses"
AHW-YO-LATN,Yoruba,yo-Latn-NG,West,Niger-Congo>Volta-Congo>Volta-Niger>Yoruboid,Standard Yoruba mathematical register,Latin,dictionary_seed_only,dictionary_only,not_started,absent,no_accepted_return,"Acquire connected school and higher-mathematics prose"
AHW-IG-LATN,Igbo,ig-Latn-NG,West,Niger-Congo>Volta-Congo>Volta-Niger>Igboid,Standard Igbo mathematical register,Latin,no_admitted_witness,no_source_floor,not_started,absent,no_accepted_return,"Acquire an admitted mathematical witness before term extraction"
AHW-AF05,South Sudan inherited aggregate,,decompose_before_routing,not_a_declared_family,Invalid inherited geographic placeholder,multiple,invalid_aggregate,no_named_target,not_started,absent,no_accepted_return,"Replace with named language community standard script and audience rows"
AHW-AF06,Omotic/Southern non-Bantu inherited aggregate,,decompose_before_routing,not_a_declared_family,Invalid mixed inherited placeholder,multiple,invalid_aggregate,no_named_target,not_started,absent,no_accepted_return,"Separate named Omotic targets from unrelated southern African non-Bantu targets"

