floor_id,target_id,source_node,visibility,source_kind,quantity,domain,extraction_quality,permitted_use,prohibited_inference,license_status,floor_status,next_action
SF-SO-001,AHW-SO-LATN,local_so_oro_pass2,local_only,school_math_PDF_shelf,"74 PDFs; 3446 pages",foundational school mathematics,"62 extractable rows; 12 weak/empty; 10 failed or non-download",candidate discovery and connected-prose examples,"accepted terminology; higher algebra authority; review; translation completion",not_reconciled,partial,"Preserve hashes and acquire named work-domain witnesses"
SF-SO-002,AHW-SO-LATN,local_so_ledger,local_only,source_extracted_candidate_ledger,17 rows,foundational math and elementary algebra,source pointers present,candidate crosswalk only,"canonical term; proof register; promotion",not_applicable,partial,"Review exact contexts and extend theorem/proof coverage"
SF-OM-001,AHW-OM-LATN,local_so_oro_pass2,local_only,school_math_PDF_shelf,"83 PDFs; 3444 pages",foundational school mathematics,"70 extractable rows; 13 weak/empty; 1 failed",candidate discovery and connected-prose examples,"accepted terminology; higher algebra authority; review; translation completion",not_reconciled,partial,"Preserve hashes and acquire named work-domain witnesses"
SF-OM-002,AHW-OM-LATN,local_oromo_ledger,local_only,source_extracted_candidate_ledger,18 rows,foundational math and elementary algebra,source pointers present,candidate crosswalk only,"canonical term; reviewed proof register; promotion",not_applicable,partial,"Separate theorem marker from proof-prose evidence"
SF-TI-001,AHW-TI-ETHI,github_zenodo_r9_source_body,public,upstream_technical_source,"1 tar; 1 ZIP; extracted TeX and build assets",number verbalization,source TeX available,narrow terminology and script/build evidence,"general Tigrinya mathematics authority; project translation; review",unsettled,partial,"Verify reuse status and keep domain narrow"
SF-TI-002,AHW-TI-ETHI,local_tigrinya_pass2,local_only,school_math_PDF_shelf,"82 PDFs; 3420 pages",school mathematics,"53 extractable Ethiopic rows; 29 weak/empty; 2 failed",candidate discovery and connected-prose examples,"accepted higher algebra terminology; promotion",not_reconciled,partial,"Repair extraction and build a work-domain ledger"
SF-AM-001,AHW-AM-ETHI,local_amharic_pass2,local_only,school_math_PDF_shelf,"48 PDFs; 588 pages",school mathematics,"44 garbled/non-Unicode; 3 extractable; 1 empty",rendered-page inspection and OCR repair input,"term extraction from mojibake; accepted terminology; promotion",not_reconciled,blocked,"Perform font-map/OCR repair and retain page coordinates"
SF-AA-001,AHW-AA-LATN,local_afar_pass2,local_only,context_and_media_routes,"5 context PDFs plus HTML and video leads",education/language context with math-media leads,no admitted connected math text,route discovery only,"technical terminology; translation permission; absence as adverse evidence",mixed_or_unknown,gap,"Acquire cacheable mathematics prose or reviewer transcription"
SF-HA-001,AHW-HA-LATN,github_zenodo_r9_source_body,public,upstream_math_source,"1 Hausa PDF; 1 Hausa source ZIP",mathematical prose and source code,body preserved,query guidance and source-context study,"accepted terms; blanket reuse; translation completion",unsettled,partial,"Inspect bodies and reconcile license/reuse status"
SF-HA-002,AHW-HA-LATN,local_hausa_pass2,local_only,book_app_metadata_and_context,11 captured or attempted routes,secondary mathematics,actual textbook content not extracted,source acquisition routing,"term ledger; pilot; accepted terminology",unsettled,gap,"Obtain cacheable book text/PDF or named reviewer return"
SF-FF-001,AHW-FF-MULTI,local_fulfulde_glossary,local_only,variant_glossary_ledger,glossary_only,mixed varieties,not a connected-prose floor,variant discovery only,"cross-variety canon; translation readiness",unknown,gap,"Name variety script country and audience then acquire prose"
SF-MNK-001,AHW-MNK-LATN,inherited_r9_rows,public_coordination,scaffold,none,unspecified,no admitted source,route placeholder only,"terminology; translation; adverse conclusion",not_applicable,gap,"Acquire named-standard institutional source"
SF-AK-001,AHW-AK-LATN,inherited_r9_rows,public_coordination,scaffold,none,unspecified,no admitted source,route placeholder only,"Akan/Twi equivalence; terminology; translation",not_applicable,gap,"Split standard varieties before source intake"
SF-WO-001,AHW-WO-LATN,local_wolof_glossary,local_only,glossary_ledger,glossary_only,elementary terms,not connected prose,query and candidate discovery,"proof register; accepted terminology; translation readiness",unknown,gap,"Acquire connected prose across the actual work domain"
SF-YO-001,AHW-YO-LATN,local_yoruba_seed,local_only,dictionary_seed,dictionary_only,general terminology,not connected mathematical prose,query expansion only,"technical register; accepted terminology; translation readiness",unknown,gap,"Acquire institutional mathematics prose"
SF-IG-001,AHW-IG-LATN,inherited_r9_rows,public_coordination,gap_record,none,unspecified,no admitted math witness,gap routing only,"absence as rejection or permission to generate",not_applicable,gap,"Acquire an admitted mathematical witness"

