concept_id,concept_scope,language_tag,target_form,source_node,evidence_channel,evidence_state,decision_status,promotion_allowed,notes
C-MATH,mathematics,so-Latn,xisaab,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"School-textbook form; not higher-mathematics authority"
C-ARITH,arithmetic operation,so-Latn,xisaab falada,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Exact register remains under review"
C-ADD,addition,so-Latn,isugeynta,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-SUB,subtraction,so-Latn,kalagoynta,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-MUL,multiplication,so-Latn,iskudhufashada,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-DIV,division,so-Latn,isuqaybinta,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-FRAC,fraction,so-Latn,jajab,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-SET,set,so-Latn,urur,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Sense must be rechecked in connected context"
C-VAR,variable,so-Latn,doorsoomeyaasha,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Plural source form"
C-ALG-TERM,algebraic term/expression,so-Latn,"tibxaha aljebrada; tibaaxaha",local_so_ledger,competitor,source_extracted_not_canonical,unresolved_competitors,false,"Two source forms retained; no scalar choice"
C-ALG-EXPR,algebraic expression,so-Latn,tibaaxa aljebraad,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-LIN-EQ,linear equation,so-Latn,isle'egyada toosan,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Do not generalize automatically to every equation sense"
C-CIRCLE,circle,so-Latn,"goobo; goobooyinka",local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Singular/plural source forms"
C-ANGLE,angle,so-Latn,"xagal; xaglaha",local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Singular/plural source forms"
C-PROB,probability,so-Latn,itmaal,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Requires exact-context recheck"
C-DEF,definition,so-Latn,Qeexid,local_so_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Capitalization is source-context form"
C-THEOREM-PROOF,theorem/proof,so-Latn,,local_so_ledger,absence,explicit_source_gap,gap,false,"Absence is intake state not adverse evidence or generation permission"
C-MATH,mathematics,om-Latn-ET,"herrega; barnoota herregaa",local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"School-textbook forms"
C-NUMBER,counting number / number,om-Latn-ET,"lakkoofsa; lakkoofsota lakkaawwii",local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Sense and number morphology retained"
C-ADD,addition,om-Latn-ET,ida'uu,local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-SUB,subtraction,om-Latn-ET,hir'isuu,local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-MUL,multiplication,om-Latn-ET,baay'isuu,local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-DIV,division,om-Latn-ET,"hiruu; lammaf hiruu",local_oromo_ledger,competitor,source_extracted_not_canonical,unresolved_competitors,false,"Contextual alternatives retained"
C-FRAC,fraction,om-Latn-ET,firaakshinoota,local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-SET,set,om-Latn-ET,"tuuta; tuutotaa",local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Inflectional forms retained"
C-SET-MEMBER,set member,om-Latn-ET,miseensa tuutaa,local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-VAR,variable,om-Latn-ET,"jijjiiramaa; jijjiiramoota",local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Singular/plural forms retained"
C-ALG-EXPR,algebraic term/expression,om-Latn-ET,"tarmootaa fi ibsamoota aljebiraa; ibsamoota aljebiraa",local_oromo_ledger,competitor,source_extracted_not_canonical,unresolved_competitors,false,"Related source phrases retained"
C-FORMULA,formula,om-Latn-ET,"foormulaa; foormuulaa",local_oromo_ledger,competitor,source_extracted_ocr_normalized_not_canonical,orthography_unresolved,false,"Orthographic variants retained"
C-EQUATION,equation,om-Latn-ET,"hima wal qixaa; himoota walqixaa",local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"Singular/plural and spacing variants retained"
C-CIRCLE,circle,om-Latn-ET,"geengoo; geengoolee",local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-ANGLE,angle,om-Latn-ET,"kofa; kofoota",local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-PROB,probability,om-Latn-ET,carraa ta'umsa,local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-DEF,definition,om-Latn-ET,hiikoo,local_oromo_ledger,candidate,source_extracted_not_canonical,candidate_only,false,"No promotion"
C-THEOREM,theorem,om-Latn-ET,"tiyooramii; tiyooramoota",local_oromo_ledger,candidate,marker_only_proof_prose_review_needed,marker_only,false,"Theorem marker does not establish a reviewed proof register"
C-PROOF,proof,om-Latn-ET,,local_oromo_ledger,absence,proof_prose_not_established,gap,false,"Requires connected proof-language witnesses"

