work_id,work_or_corpus,granularity,source_language,public_source_state,target_languages_present_in_this_lane,pdf_gate_in_this_lane,current_manager_status,source_floor_route
INFRA-AHW,Africa/Horn/West source and terminology infrastructure,manager_infrastructure,multiple,"GitHub/Zenodo Hausa-Tigrinya bodies plus local recovered shelves",none,not_applicable,"active; publication baseline complete","Maintain typed evidence graph family/cohort tree and named target floors"
NTH,Emmy Noether corpus,author_corpus,German,"high-value working corpus; current German source-control and multilingual drafts",none,fail,"responsibility retained; no AHW translation tranche","Acquire connected higher-algebra and proof-prose witnesses per named target"
SGA,SGA5/SGA6/SGA7,corpus,French,"serious source-aware work; incomplete and unsynchronized",none,fail,"responsibility retained; no AHW translation tranche","Acquire algebraic-geometry register and work-specific proof prose per target"
WEBER,Heinrich Weber algebra corpus,author_corpus,German,"strong caveat-heavy working-edition lane",none,fail,"responsibility retained; no AHW translation tranche","Acquire advanced algebra prose and terminology per target"
FROB,Ferdinand Georg Frobenius selected papers,author_corpus,German,"coherent selected working readers",none,fail,"responsibility retained; no AHW translation tranche","Acquire group/character theory prose per target"
KNESER,Adolf Kneser Lehrbuch der Variationsrechnung,work,German,"coherent partial German/English working reader",none,fail,"responsibility retained; no AHW translation tranche","Acquire calculus and variational prose per target"
SYLVESTER,James Joseph Sylvester Volume I,author_volume,English,"source-witnessed working draft",none,fail,"responsibility retained; no AHW translation tranche","Acquire invariant-theory and algebra prose per target"
ALBATTANI,al-Battani Opus Astronomicum,work,Latin/Arabic,"work-level trilingual reader/source package",none,fail,"responsibility retained; no AHW translation tranche","Acquire astronomy/table register per named target and script"
BIANCHI,Luigi Bianchi Lezioni di geometria differenziale,work,Italian,"Italian/English working draft with range-varying coverage",none,fail,"responsibility retained; no AHW translation tranche","Acquire differential-geometry prose per target"
GORDAN,Paul Gordan and Clebsch-Gordan corpus,author_corpus,German/Latin,"source-witnessed working drafts and audit packets",none,fail,"responsibility retained; no AHW translation tranche","Acquire invariant-theory and higher-algebra prose per target"
STEINITZ,Ernst Steinitz papers,author_corpus,German,"package-audited German/English working packets",none,fail,"responsibility retained; no AHW translation tranche","Acquire field-theory and topology prose per target"
GIBBS,J. Willard Gibbs scientific papers,author_corpus,English,"source-scan-backed partial working edition",none,fail,"responsibility retained; no AHW translation tranche","Acquire thermodynamics and mathematical-physics prose per target"
MAXWELL,Maxwell Treatise on Electricity and Magnetism Volume I,work,English,"source-witnessed partial working tranches",none,fail,"responsibility retained; no AHW translation tranche","Acquire physics/mathematics register per target"
