node_id,node_type,label,language,provenance,status,sense_window,excluded_senses
NOETHER-P23-DE-SEALEDP31,source_unit,Noether Paper 23 sealed German unit,de,"sealed P31 A48CB5CD1716974B686AC1CBA681CA4B17BC72F9043B78AD2528ACA41FCF814F; lines 13507-13630; raw unit 7A9E4C9910FBEFECA45A652BDF99A58F9C0BD4089D1F9630D96D776739B0BCE5",verified,"Complete German Paper 23 from title apparatus through terminal note reset","stale R821 pointer; inherited Japanese authority; unsealed whole-head promotion"
NOETHER-P23-JA,translation_unit,Source-reconciled Japanese Paper 23,ja,"Noether_Paper23_Japanese_SourceReconciled_v001.tex; final SHA-256 758D36CA12EA463AD4DC23A04536E801FB9A6B190F8E79E87C668EDC15FEC6D9; semantic-QA SHA-256 3531549A9E68BD23F07D2C291372933E9ACC9AF0EC93CE8A8ACDC336BA862D0E",internally-reviewed,"Complete Japanese Paper 23 with source-controlled formulas apparatus notes emphasis terminology build and original-detail visual QA","external certification; independent human review; full Japanese Noether completion"
NOETHER-P23-JA-INHERITED,draft_translation,Inherited Japanese Paper 23,ja,"cumulative reader 4A284DF3FAC4D53D305659B539AF2FEB17902BFB4C254A7DF62A155C6BC23131; actual P23 slice 0526B08C5EF3823A7B8C59F49382207E34159D28E346B72E2FC5E88F0175A3FE",witness-only,"Pre-change Japanese prose witness and adverse-evidence locator","source authority; exact mathematics; current terminology authority"
NOETHER-P23-DE-AUDIT,source_audit,Paper 23 eight-page full audit,de,"Noether_LocalCodex_20260717_P23_FullPaperAudit_from_P22Head; all eight printed pages checked at native 600 ppi",verified,"Zero new mathematical source defects; repaired j-index and g(y d y) survive","authority to alter Japanese terminology; external Japanese validation"
JA-P23-EV-HARTSHORNE,evidence_source,Japanese Hartshorne local corpus,ja,"local section1.3.tex lines 368 394 399 642 647-648",sense-checked,"有限生成整域 and 上整","historical Noether wording certification"
JA-P23-EV-GAKUSHUIN,evidence_source,Gakushuin Hilbert history notes,ja,"https://glim-re.repo.nii.ac.jp/record/5000/files/kotokakiyo_18_25_80.pdf",sense-checked,"不変式の集合は有限個の整基底を持つ","number-field integral basis"
JA-P23-EV-NARA,evidence_source,Nara Women's University invariant-theory paper,ja,"https://www.nara-wu.ac.jp/omi/oka_symposium/05/umeda.pdf",sense-checked,"代数的不変式論 一般線型群 反傾表現","Mandarin or inherited-gloss authority"
JA-P23-EV-MATSUMURA,evidence_source,Japanese Matsumura local corpus,ja,"local section9.tex lines 14 17 25 34",sense-checked,"B が A 上整","integer-coefficient sense"
JA-P23-EV-HIROSHIMA,evidence_source,Hiroshima University representation thesis,ja,"https://www.math.sci.hiroshima-u.ac.jp/tamaru/files/15gondo.pdf",sense-checked,"反傾表現","tensor contravariant sense"
JA-P23-EV-SOPHIA,evidence_source,Sophia University Galois notes,ja,"https://pweb.cc.sophia.ac.jp/tsunogai/kougi/13/daisuu3_lec1009.pdf",sense-checked,"分解式 and 解核多項式 resolvent","operator resolvent"
