issue_id,timestamp,work_unit,source_target_locator,class,symptom,severity,discovery_channel,evidence_vs_inference,attempts,resolution_or_hold,remaining_risk,recurrence_cue,transferable_lesson,decision_ids,structural_ids,changed_artifacts,supersession_state
JA-P23-F001,2026-07-18T20:03:51+02:00,P23 opening apparatus,"DE 13507-13524; inherited JA 12381-12386",source_omission,"repeated title lecture report byline opening note reset and source note-number style absent",high,full_unit_diff,"presence and absence are source observations; restoration is a source-fidelity decision","accepting cumulative witness as current authority rejected",complete apparatus and note group restored,"visual placement still required after final build","article starts immediately after one compressed citation",Audit article apparatus separately from translated body prose,JA-D029,"NOE-P23-JA-U001;NOE-P23-JA-U099",TeX and SOURCE_CHECK.md,resolved_internal
JA-P23-F002,2026-07-18T20:08:00+02:00,P23 mathematical layer,"DE 13533-13538 and 13594-13599; inherited JA 12398-12403 and 12478-12483",formula_regression,"three sum primes lost terminal j indices changed to i and g(y d y) changed to varphi",critical,bilingual_formula_audit,"formula differences are exact source observations; target repair follows sealed P31","topology-only parity and inherited formula acceptance rejected",three primes exact j family and both g loci restored,"future cumulative merge could reintroduce RA-era formulas","source audit repair survives German but not inherited target",Hash and count source-controlled symbol families after prose rebase,JA-D029,"NOE-P23-JA-E002;NOE-P23-JA-E007",DISPLAY_CORRESPONDENCE.csv; TeX,resolved_internal
JA-P23-F003,2026-07-18T20:08:00+02:00,P23 differential notation,"DE 13591-13621; inherited JA 12474-12508",notation_drift,"all 34 source literal d tokens replaced with custom upright dd",high,bilingual_formula_audit,"34-token replacement count is a computation; restoring literal d is exact source conformity","retaining a house-style differential macro rejected",custom dd count zero and literal d count 34,"later normalization scripts may favor upright d","global typographic normalization can silently alter a source-controlled notation family",Treat work-specific notation as a counted invariant,JA-D029,NOE-P23-JA-S06,TeX and SOURCE_CHECK.md,resolved_internal
JA-P23-F004,2026-07-18T20:09:00+02:00,P23 structure and notes,"DE 13565-13571 and full 15-note sequence; inherited JA 12438-12447",structure_drift,"one source display split in two and P23 notes would continue from P22 as 20-34",high,structural_audit,"display and counter counts are computed; restoring source grouping and numbering is editorial source fidelity","accepting semantically equivalent but source-invisible numbering rejected",one Hilbert display and source 1)-15) note sequence restored,"final PDF note placement remains visual","cumulative counters can hide article-local source numbering",Index display and note objects rather than relying on aggregate counts,JA-D029,"NOE-P23-JA-E005;NOE-P23-JA-U001",DISPLAY_CORRESPONDENCE.csv; FOOTNOTE_CORRESPONDENCE.csv,resolved_internal
JA-P23-F005,2026-07-18T20:18:00+02:00,P23 terminology,"DE 13552 13554 13576 13586 13588",sense_and_dominance_risk,"finite-generation algebraic-integrality and integer-coefficient senses collapse under inherited finite and integrity wording",high,Japanese_evidence_audit,"source distinctions and Japanese attestations are evidence; selected surfaces are internally reviewed inference","bare 有限な整域 有限な代数的数体 and 整性 rejected",finite-generation finite-degree 上整 and integer-coefficient windows separated,"relative-integral historical phrase remains source-tethered","shared Han forms can look transparent while crossing mathematical senses",Require explicit sense windows dominance debt and basin labels for CJK trap-prone forms,"JA-D029;NOE-P23-CORE-FINITE-GENERATION;NOE-P23-INTEGRALITY-SENSE-SPLIT","NOE-P23-JA-S01;NOE-P23-JA-S03;NOE-P23-JA-S05",terminology/adverse ledgers and decisions,resolved_with_hold
JA-P23-F006,2026-07-18T20:14:23+02:00,P23 first syntax build,"PowerShell native argument for output-directory",build_path_error,"XeLaTeX compiled cleanly but wrote generated artifacts into a literal local folder named $out",low,build_observation,"literal folder path is a tool fact; cleanup and corrected argument construction are implementation actions","keeping ambiguous generated path rejected",verified generated folder deleted and output argument rebuilt by string concatenation,"native argument quoting can recur","PowerShell arguments beginning with a hyphen may require explicit string construction",Construct native option strings explicitly and validate resolved output paths,JA-D029,NOE-P23-JA-U000,tmp/pdfs build artifacts,resolved_internal
JA-P23-F007,2026-07-18T20:22:00+02:00,P23 semantic QA,"target changed during terminology refinement",concurrency_audit_staleness,"an early read-only QA snapshot became stale while the owning lane edited terminology",medium,independent_semantic_QA,"hash change is a tool fact; discarding stale attestation is a governance decision","merging findings from mismatched hashes rejected",auditor restarted on stable SHA 3531549A and returned zero hard semantic or source defects,"any later TeX edit invalidates this attestation","read-only reviewers still require exact pre/post hash checks",Bind every QA return to one stable target hash,JA-D029,NOE-P23-JA-U000,SOURCE_CHECK.md,resolved_internal
JA-P23-F008,2026-07-18T20:28:19+02:00,P23 Lagrange terminology,"DE 13613 and 13621; JA TeX 140 and 148",source_scarcity,"no independent exact Japanese compound recovered for Lagrangesche Ableitungen in this historical role",medium,Japanese_terminology_audit,"absence is a bounded search result; provisional wording is editorial source disambiguation","claiming ラグランジュの変分導関数 externally standardized rejected",use provisional phrase with held decision and explicit variational sense,"independent historical Japanese evidence and human review remain absent","eponym continuity does not establish exact technical-role conventionality",Keep usable source-disambiguated wording held until evidence improves,NOE-P23-LAGRANGE-VARIATIONAL-DERIVATIVE,NOE-P23-JA-S06,decision JSON and terminology ledger,held_open
JA-P23-F009,2026-07-18T20:37:00+02:00,P23 initial four-page render,"PDF 70B647E1; page 1→2 and page 2→3",lexical_page_split,"有限個 and その方法 split across page boundaries",high,original_detail_visual_QA,"page-edge fragments are direct render observations; rejecting pagination is an editorial QA decision","sealing clean build logs without page inspection rejected",candidate preserved and phrase-level nonbreaking controls tested,"future repagination can move rather than remove a split","page boundaries changed after any target or macro edit",Inspect extraction joins and individual full-resolution pages after every rebuild,JA-D031,"NOE-P23-JA-S01;NOE-P23-JA-S04",TeX; rejected PDF and renders,resolved_internal
JA-P23-F010,2026-07-18T20:45:00+02:00,P23 second pagination candidate,"PDF FE689FD3; page 1→2",lexical_page_split,"boxing only 有限個 shifted the break to すなわ／ち",high,extraction_and_visual_QA,"the shifted split is a direct render observation","adding a blind fixed break rejected",widened the nonbreaking span to the complete phrase すなわち有限個,"narrow boxes can relocate the same defect","a corrected compound can expose a new split immediately before it",Recheck the whole join rather than only the originally split word,JA-D031,NOE-P23-JA-S01,TeX; rejected PDF and renders,resolved_internal
