structural_id,parent_id,order,unit_type,source_locator,target_locator,label,dependency_ids,source_state,target_state,review_state,publication_state,confidence,ambiguity_note
NOE-P23-JA-U000,,0,article,DE 13507-13630,JA TeX 29-157,Paper 23,,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-U001,NOE-P23-JA-U000,1,apparatus,DE 13507-13524,JA TeX 29-44,title citation report author and footnote reset,,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-U010,NOE-P23-JA-U000,10,prose_unit,DE 13525,JA TeX 46,opening historical program,NOE-P23-JA-U001,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-S01,NOE-P23-JA-U000,100,section,DE 13527-13553,JA TeX 49-74,section 1 algebraic invariants,NOE-P23-JA-U010,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E001,NOE-P23-JA-S01,101,equation,DE 13528-13529,JA TeX 50-51,display 1,NOE-P23-JA-S01,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E002,NOE-P23-JA-S01,102,equation,DE 13531-13540,JA TeX 53-62,induced-form expansion,NOE-P23-JA-E001,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E003,NOE-P23-JA-S01,103,equation,DE 13542,JA TeX 64,display 2,NOE-P23-JA-E002,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E004,NOE-P23-JA-S01,104,equation,DE 13544-13545,JA TeX 66-67,display 3,NOE-P23-JA-E003,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-S02,NOE-P23-JA-U000,200,section,DE 13554-13574,JA TeX 77-96,section 2 ideal basis and Hilbert finiteness proof,NOE-P23-JA-S01,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-I201,NOE-P23-JA-S02,201,numbered_item,DE 13555,JA TeX 78,ideal condition 1,NOE-P23-JA-S02,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-I202,NOE-P23-JA-S02,202,numbered_item,DE 13556,JA TeX 79,ideal condition 2,NOE-P23-JA-I201,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-I203,NOE-P23-JA-S02,203,numbered_item,DE 13557,JA TeX 80,ideal condition 3,NOE-P23-JA-I202,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-I211,NOE-P23-JA-S02,211,numbered_item,DE 13563,JA TeX 86,Hilbert theorem 1,NOE-P23-JA-I203,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-I212,NOE-P23-JA-S02,212,numbered_item,DE 13564,JA TeX 87,Hilbert theorem 2,NOE-P23-JA-I211,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-I213,NOE-P23-JA-S02,213,numbered_item,DE 13565-13571,JA TeX 88-94,Hilbert theorem 3,NOE-P23-JA-I212,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E005,NOE-P23-JA-I213,214,equation,DE 13566-13570,JA TeX 89-93,ideal-basis coefficient display,NOE-P23-JA-I213,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-S03,NOE-P23-JA-U000,300,section,DE 13575-13583,JA TeX 99-106,section 3 actual construction and bounds,NOE-P23-JA-S02,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-I304,NOE-P23-JA-S03,304,numbered_item,DE 13576,JA TeX 100,Hilbert theorem 4,NOE-P23-JA-S03,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-I305,NOE-P23-JA-S03,305,numbered_item,DE 13578,JA TeX 102,Hilbert theorem 5,NOE-P23-JA-I304,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-S04,NOE-P23-JA-U000,400,section,DE 13584-13587,JA TeX 109-111,section 4 subgroup invariants,NOE-P23-JA-S03,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-S05,NOE-P23-JA-U000,500,section,DE 13588-13589,JA TeX 114,section 5 integer-coefficient finiteness,NOE-P23-JA-S04,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-S06,NOE-P23-JA-U000,600,section,DE 13590-13622,JA TeX 117-148,section 6 differential invariants,NOE-P23-JA-S05,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E006,NOE-P23-JA-S06,601,equation,DE 13591-13593,JA TeX 118-120,display 4,NOE-P23-JA-S06,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E007,NOE-P23-JA-S06,602,equation,DE 13595-13599,JA TeX 122-126,differential-form expansion,NOE-P23-JA-E006,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E008,NOE-P23-JA-S06,603,equation,DE 13601-13603,JA TeX 128-130,display 5,NOE-P23-JA-E007,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E009,NOE-P23-JA-S06,604,equation,DE 13605-13608,JA TeX 132-135,independent-variable families,NOE-P23-JA-E008,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-E010,NOE-P23-JA-S06,605,equation,DE 13614-13616,JA TeX 141-143,Omega family,NOE-P23-JA-E009,verified,complete,source_and_visual_checked,internal-final,high,
NOE-P23-JA-U099,NOE-P23-JA-U000,999,apparatus,DE 13623-13630,JA TeX 151-157,received date group closure clearpage and note reset,NOE-P23-JA-S06,verified,complete,source_and_visual_checked,internal-final,high,
