record_id,concept_id,source_expression,selected_japanese,status,evidence_class,evidence_locator,adverse_or_competing_form,sense_window,excluded_senses,trap_class,basin_membership,dominant_standard_risk,dominance_debt_note,underrepresented_cohort_effect,decision_record
JA-P23-T001,noe.p23.algebraic_invariant,algebraische Invarianten,代数的不変式,internally-accepted,native-independent-target-source,"Nara Women's University Umeda paper; sealed P31 13525-13527",代数不変量,"Classical polynomial or form invariant under the stated linear group action","generic invariant quantity detached from a polynomial or form; invariant subspace",cjk_invariant_expression_quantity_split,modern_sino_xenic_coinage_or_calque,clear,"Direct Japanese evidence controls; Mandarin-Simplified evidence is neither needed nor used.",not_applicable,decisions/NOE-P23-CORE-FINITE-GENERATION.ja.json
JA-P23-T002,noe.p23.general_linear_group,allgemeine lineare Gruppe,一般線型群,internally-accepted,native-independent-target-source,"Nara Women's University Umeda paper; sealed P31 13527-13530",一般線形群,"The full GL_n action on x_1 through x_n","an arbitrary linear subgroup; affine group",cjk_orthographic_variant,modern_sino_xenic_coinage_or_calque,clear,"Both Japanese orthographies are valid; the selected 線型 matches the lane reader and is not selected from Chinese evidence.",not_applicable,decisions/NOE-P23-CORE-FINITE-GENERATION.ja.json
JA-P23-T003,noe.p23.finitely_generated_domain,endlicher Integritätsbereich,有限生成整域,internally-accepted,native-independent-target-source,"local Japanese Hartshorne section1.3.tex lines 368 394 399; Gakushuin Hilbert-history PDF; sealed P31 13552",有限な整域,"An integral domain generated as a ring by finitely many elements or equivalently possessing the finite integrity basis defined here","a finite-cardinality integral domain; finite-dimensional vector space; merely Noetherian ring",cjk_finite_cardinality_generation_split,modern_sino_xenic_coinage_or_calque,risk,"Shared Han retrieval can be dominated by Mandarin-Simplified finite-ring readings; that qualitative debt cannot authorize Japanese or become a readiness scalar.",potentially_distorted,decisions/NOE-P23-CORE-FINITE-GENERATION.ja.json
JA-P23-T004,noe.p23.integrity_basis,Integritätsbasis,整基底,internally-accepted,native-independent-target-source,"Gakushuin repository Hilbert-history PDF states finite 整基底; sealed P31 13552",整数基底,"A finite polynomial or ring generating system I_1 through I_k for the invariant domain","number-field integral basis; Z-module basis; linear-algebra basis",cjk_integral_basis_historical_split,modern_sino_xenic_coinage_or_calque,risk,"Japanese Hilbert-context evidence controls; Chinese 整基底 visibility is non-authorizing and may mask the number-theory false friend.",potentially_distorted,decisions/NOE-P23-CORE-FINITE-GENERATION.ja.json
JA-P23-T005,noe.p23.ideal_basis,Idealbasis,イデアル基底,internally-accepted,Japanese-institutional+source,"Nara Women's University paper uses ideal finite-generation framing; sealed P31 13554-13573 gives explicit definition",イデアル生成系,"A finite generating system alpha_1 through alpha_k for one ideal under subtraction and multiplication by ring elements","vector-space basis of the ideal; integrity basis of the whole invariant ring",cjk_historical_basis_generator_split,mixed_or_contested,clear,"The explicit German and Japanese definition blocks cross-language drift; no Mandarin evidence is used.",not_applicable,decisions/NOE-P23-CORE-FINITE-GENERATION.ja.json
JA-P23-T006,noe.p23.function_field,Funktionenkörper,関数体,internally-accepted,native-independent-target-source,"local Japanese algebraic-geometry corpus; sealed P31 13575-13576",函数体,"A field of rational functions used in the finite-generation argument","space of functions; body of a programming function; analytic function class",cjk_historical_orthography,modern_sino_xenic_coinage_or_calque,clear,"Older 函数体 is genuine Japanese but not the selected modern orthography; Chinese frequency does not authorize either form.",not_applicable,decisions/NOE-P23-CORE-FINITE-GENERATION.ja.json
JA-P23-T007,noe.p23.integral_over_base,algebraisch ganz von J' abhängen,J は J' 上整である,internally-accepted,native-independent-target-source,"local Japanese Hartshorne section1.3.tex lines 642 647-648 and Matsumura section9.tex lines 14 17 25 34; sealed P31 13576 13580",代数的整に依存する,"Every relevant element satisfies a monic polynomial over the base subdomain J'","integer coefficients; analytic entire functions; algebraic dependence without integrality",cjk_integral_integer_entire_split,modern_sino_xenic_coinage_or_calque,risk,"Japanese 上整 evidence controls; broad Han-character retrieval may collapse integrality and integer-coefficient senses and is recorded only qualitatively.",potentially_distorted,decisions/NOE-P23-INTEGRALITY-SENSE-SPLIT.ja.json
JA-P23-T008,noe.p23.degree_upper_bound,obere Grenze für die Gradzahlen,次数の上界,internally-accepted,native-independent-target-source,"Kyoto RIMS paper 2019-05; sealed P31 13580-13582",次数の上限,"An upper bound on degrees not necessarily the least upper bound","top degree actually attained; supremum assertion; coefficient bound",cjk_bound_supremum_split,modern_sino_xenic_coinage_or_calque,clear,"Direct Japanese professional evidence controls; no Mandarin-Simplified transfer.",not_applicable,decisions/NOE-P23-CORE-FINITE-GENERATION.ja.json
JA-P23-T009,noe.p23.relatively_integral_function,relativ-ganze Funktionen,相対的に整な関数,held-source-tethered,source+explicit-sense-window,"sealed P31 13586; no exact independent Japanese historical phrase recovered",相対的整関数,"Functions belonging to the integral domain formed by all polynomials inside a rational function field in Hilbert's question","analytic entire functions; functions with integer coefficients; relative integral closure without the stated polynomial-domain context",cjk_integral_entire_function_split,mixed_or_contested,risk,"Exact Japanese historical-label evidence remains unavailable; Chinese cognates cannot fill the gap and may distort the analytic/algebraic distinction.",unavailable,decisions/NOE-P23-INTEGRALITY-SENSE-SPLIT.ja.json
JA-P23-T010,noe.p23.galois_resolvent,Galoissche Resolvente,ガロア分解式,internally-accepted,native-independent-target-source,"Sophia University Galois notes use 分解式 and 解核多項式 for resolvent; sealed P31 13586",Galois resolvent; ガロア・リゾルベント,"A Galois resolvent polynomial whose coefficient system supplies invariants of a finite group","operator resolvent; field splitting operation; general Galois extension",cjk_resolvent_operator_polynomial_split,mixed_or_contested,risk,"Japanese algebra evidence controls the main term; global-loan リゾルベント remains a documented competitor and Mandarin evidence is not used.",not_applicable,decisions/NOE-P23-GALOIS-RESOLVENT.ja.json
