mapping_id,source_locator,target_locator,relation,review_state,note
NOE-P23-JA-FN01,DE 13548,JA TeX 70 note 1,one_to_one,content_checked,Ostrowski and Schur bibliography
NOE-P23-JA-FN02,DE 13558,JA TeX 81 note 2,one_to_one,content_checked,two-generator ideal-basis observation
NOE-P23-JA-FN03,DE 13573 first note,JA TeX 96 note 3,one_to_one,content_checked,Noether comparative report
NOE-P23-JA-FN04,DE 13573 second note,JA TeX 96 note 4,one_to_one,content_checked,Fischer bibliography
NOE-P23-JA-FN05,DE 13576,JA TeX 100 note 5,one_to_one,content_checked,Hilbert and Noether finite-generation implication anchored inside item 4
NOE-P23-JA-FN06,DE 13582,JA TeX 106 note 6,one_to_one,content_checked,Hentzelt posthumous-publication note
NOE-P23-JA-FN07,DE 13584 first note,JA TeX 109 note 7,one_to_one,content_checked,Weitzenbock encyclopedia reference
NOE-P23-JA-FN08,DE 13584 second note,JA TeX 109 note 8,one_to_one,content_checked,Fischer lecture and journal reference
NOE-P23-JA-FN09,DE 13586,JA TeX 111 note 9,one_to_one,content_checked,Noether finite-group invariants reference
NOE-P23-JA-FN10,DE 13588 first note,JA TeX 114 note 10,one_to_one,content_checked,ideal-theory decomposition consequence
NOE-P23-JA-FN11,DE 13588 second note,JA TeX 114 note 11,one_to_one,content_checked,integer-coefficient binary invariants reference
NOE-P23-JA-FN12,DE 13588 third note,JA TeX 114 note 12,one_to_one,content_checked,cross-reference to section 4 of note 11 work
NOE-P23-JA-FN13,DE 13617,JA TeX 144 note 13,one_to_one,content_checked,Noether differential-expression invariants reference
NOE-P23-JA-FN14,DE 13619,JA TeX 146 note 14,one_to_one,content_checked,Riemann and Lipschitz encyclopedia cross-reference
NOE-P23-JA-FN15,DE 13621,JA TeX 148 note 15,one_to_one,content_checked,Weyl Schouten Weitzenbock references
