"witness_id","target_family","language_access_target","source_title","local_path","path_exists","recorded_bytes","actual_bytes","recorded_sha256","actual_sha256","hash_status","license_permission_signal","topic_language_access_tags","non_claim_boundary"
"R6-CR-P2-015","Creole/contact","Jamaican Creole / Jamaican Patois","Jamaica Early Childhood Curriculum Guide 4-5","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_early_childhood_curriculum_guide_4_5.pdf","True","2163791","2163791","649c98526f7979c8ae017730bb522365eea135e44da8af98d8e2999709650bdc","649c98526f7979c8ae017730bb522365eea135e44da8af98d8e2999709650bdc","match","license/reuse pending; source-owner/reviewer return required","Jamaican Creole / Jamaican Patois; creole/contact; official curriculum guide mentioning Jamaican patois/creole and mathematics concepts; source-canon","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
"R6-CR-P2-016","Creole/contact","Jamaican Creole / Jamaican Patois","Jamaica current STEM project stakeholder plan","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_education_project_sep_2025.pdf","True","868128","868128","2ec4e8c0e9fa78a62c01a5e76431941a3fe752346f1595dc26c354bd0f813e22","2ec4e8c0e9fa78a62c01a5e76431941a3fe752346f1595dc26c354bd0f813e22","match","license/reuse pending; source-owner/reviewer return required","Jamaican Creole / Jamaican Patois; creole/contact; current official STEM/curriculum project context; not Patois witness; source-canon","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
"R6-KR-SAR-001","Creole/contact","Kreyol / Haitian Creole","MIT-Ayiti Matematik subject index","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_index.html","True","192414","192414","b32e6dbb79d9eb78e49af78478b0704971d0b09eeadf7904c4c30fdb0206f4a2","b32e6dbb79d9eb78e49af78478b0704971d0b09eeadf7904c4c30fdb0206f4a2","match","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
"R6-KR-SAR-002","Creole/contact","Kreyol / Haitian Creole","MIT-Ayiti math teaching article","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_anseyman_matematik.html","True","115866","115866","e60423506a27529b140f43bbaf327630dfc12daf2985ee53f8c26a2aeda85d27","e60423506a27529b140f43bbaf327630dfc12daf2985ee53f8c26a2aeda85d27","match","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
"R6-KR-SAR-003","Creole/contact","Kreyol / Haitian Creole","Tiraj san remiz avek lod","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_tiraj_san_remiz_avek_lod.html","True","117353","117353","05e2428742f1b70189e69b15cfa48f7d553a42656dc589cbce571e57bb446a21","05e2428742f1b70189e69b15cfa48f7d553a42656dc589cbce571e57bb446a21","match","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
"R6-KR-SAR-004","Creole/contact","Kreyol / Haitian Creole","CAPTEH - Matematik k ap bouyi sou 3 woch dife","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_k_ap_bouyi_sou_3_woch_dife.html","True","133298","133298","34e8592f68d669158040dc025ba7e85c4af969cdb32b082db6ec36e8ce48785d","34e8592f68d669158040dc025ba7e85c4af969cdb32b082db6ec36e8ce48785d","match","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
"R6-CR-P2-010","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","Mauritius MIE curriculum page","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum.html","True","16908","16908","6bf4f367f90237bd4b767dcfcd893b1f23ccbbed88cc75ab1633870f9b90376a","6bf4f367f90237bd4b767dcfcd893b1f23ccbbed88cc75ab1633870f9b90376a","match","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum locator with Kreol Morisien/Kreol Rodrige resource pointers; source-canon","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
"R6-CR-P2-011","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","MIE curriculum books page","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum_books.html","True","116622","116622","ef972eaf0ea191e456da7d6598ff7306b6fc8b494e7cb6784c08ec7e1440199b","ef972eaf0ea191e456da7d6598ff7306b6fc8b494e7cb6784c08ec7e1440199b","match","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum/textbook locator with Kreol resources and practice papers; source-canon","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
"R6-CR-P2-012","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","MIE FPLNS implementation guidelines","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_fplns_implementation_guidelines_abridged.pdf","True","1330712","1330712","7aabdbceec529a90f1268c78e9c89215353ee93b04492e80de8189eac917e270","7aabdbceec529a90f1268c78e9c89215353ee93b04492e80de8189eac917e270","match","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; Mauritius implementation guideline with Kreol Morisien/numeracy context; source-canon","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
"R6-CR-P2-018","Creole/contact","Nigerian Pidgin","NERDC primary 4-6 mathematics curriculum","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\nigeria_nerdc_pri4_6_maths.pdf","True","1340205","1340205","91fe69d3fed70762f334d3a5e850a062fbe542c16547c44b6f38da0de3683454","91fe69d3fed70762f334d3a5e850a062fbe542c16547c44b6f38da0de3683454","match","license/reuse pending; source-owner/reviewer return required","Nigerian Pidgin; creole/contact; official Nigerian mathematics comparator only; English, not Nigerian Pidgin; source-canon","path/hash audit only; no source-authority, review, approval, license clearance, translation, or completion claim"
