"witness_id","language_lane","topic_scope","source_priority","title","source_url","fetch_url","source_format","retrieval_status","local_path","sha256","byte_length","license_signal","license_signal_url","source_gate_use","boundary_note","gap_note","fetch_error","created_utc"
"ar_pdf_hiast_algebra_vol2_linear_algebra","arabic","linear_algebra_textbook","pdf_publication","Algebra II / Linear Algebra - الجبر الجزء الثاني: الجبر الخطي - Omran Kouba, HIAST","https://hiast.edu.sy/sites/default/files/general/Algebra%20Vol.%202%20-O.%20Kouba-HIAST-2017.pdf","https://hiast.edu.sy/sites/default/files/general/Algebra%20Vol.%202%20-O.%20Kouba-HIAST-2017.pdf","pdf","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_pdf_hiast_algebra_vol2_linear_algebra.pdf","9E1A2EC4E2CD27889748DF75DCB9F631734F105A2E19BF542AD52F26470DB06F","9490179","Search result/PDF page text indicates Creative Commons BY-ND 4.0; verify before reuse beyond witness citation.","https://hiast.edu.sy/sites/default/files/general/Algebra%20Vol.%202%20-O.%20Kouba-HIAST-2017.pdf","Arabic source witness for linear algebra topics only; not a translation approval.","No bridge promotion or native-review claim.","","","20260704T164132Z"
"ar_wikibooks_linear_systems_raw","arabic","linear_systems_coefficients_variables","source_wikitext","Arabic Wikibooks: Algebra / Linear algebra / systems of linear equations","https://ar.wikibooks.org/wiki/%D8%AC%D8%A8%D8%B1/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A/%D8%AC%D9%85%D9%84%D8%A9_%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%84%D8%A7%D8%AA_%D8%A7%D9%84%D8%AE%D8%B7%D9%8A%D8%A9","https://ar.wikibooks.org/w/index.php?title=%D8%AC%D8%A8%D8%B1/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A/%D8%AC%D9%85%D9%84%D8%A9_%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%84%D8%A7%D8%AA_%D8%A7%D9%84%D8%AE%D8%B7%D9%8A%D8%A9&action=raw","mediawiki_raw_wikitext","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikibooks_linear_systems_raw.wiki.txt","1C42729D36326EAAE4F8C528D26B9777D61A0DCD87840FFB6CEB295BA4FD72DC","3696","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms.","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","Arabic raw source witness for linear systems, coefficients, variables.","Review-only; no canonical translation claim.","","","20260704T164132Z"
"ar_wikibooks_matrices_raw","arabic","matrices_linear_algebra","source_wikitext","Arabic Wikibooks: Algebra / Linear algebra / matrices","https://ar.wikibooks.org/wiki/%D8%AC%D8%A8%D8%B1/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A/%D8%A7%D9%84%D9%85%D8%B5%D9%81%D9%88%D9%81%D8%A7%D8%AA","https://ar.wikibooks.org/w/index.php?title=%D8%AC%D8%A8%D8%B1/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A/%D8%A7%D9%84%D9%85%D8%B5%D9%81%D9%88%D9%81%D8%A7%D8%AA&action=raw","mediawiki_raw_wikitext","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikibooks_matrices_raw.wiki.txt","F1FADB95A074728BF7B5C6A03468EEFD63BA000BE75A9BE4302B2CD3479FC87E","3060","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms.","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","Arabic raw source witness for matrices.","Review-only; no canonical translation claim.","","","20260704T164132Z"
"ar_wikipedia_linear_algebra_raw","arabic","linear_algebra_vector_space","source_wikitext","Arabic Wikipedia: جبر خطي","https://ar.wikipedia.org/wiki/%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A","https://ar.wikipedia.org/w/index.php?title=%D8%AC%D8%A8%D8%B1_%D8%AE%D8%B7%D9%8A&action=raw","mediawiki_raw_wikitext","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikipedia_linear_algebra_raw.wiki.txt","3762E086A6268F425014603D2E31867CB8B2A566F4AA1D9559D511E9B8173103","22214","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms.","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","Arabic raw source witness for linear algebra overview.","Review-only; not sufficient for invariant-theory bridge.","","","20260704T164132Z"
"ar_wikipedia_vector_space_raw","arabic","vector_space","source_wikitext","Arabic Wikipedia: فضاء متجهي","https://ar.wikipedia.org/wiki/%D9%81%D8%B6%D8%A7%D8%A1_%D9%85%D8%AA%D8%AC%D9%87%D9%8A","https://ar.wikipedia.org/w/index.php?title=%D9%81%D8%B6%D8%A7%D8%A1_%D9%85%D8%AA%D8%AC%D9%87%D9%8A&action=raw","mediawiki_raw_wikitext","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikipedia_vector_space_raw.wiki.txt","0281433D2944392DB236F4650CB57007F28AF0BDA36B2454A853EDDAC93380CA","14506","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms.","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","Arabic raw source witness for vector spaces.","Review-only; no native-review claim.","","","20260704T164132Z"
"ar_wikipedia_frank_grosshans_raw","arabic","invariant_theory_biographical_mention","source_wikitext","Arabic Wikipedia: Frank Grosshans / invariant theory mention","https://ar.wikipedia.org/wiki/%D9%81%D8%B1%D8%A7%D9%86%D9%83_%D8%AC%D8%B1%D9%88%D8%B4%D8%A7%D9%86%D8%B3","https://ar.wikipedia.org/w/index.php?title=%D9%81%D8%B1%D8%A7%D9%86%D9%83_%D8%AC%D8%B1%D9%88%D8%B4%D8%A7%D9%86%D8%B3&action=raw","mediawiki_raw_wikitext","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\ar_wikipedia_frank_grosshans_raw.wiki.txt","D8F9C4774F628E5C9041C20F11E34A6F83327574EEA532F4E0FA7E45151EC592","2377","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms.","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","Arabic source witness for invariant-theory mention only.","Weak witness; not an Arabic invariant-theory term promotion.","Arabic direct specialist invariant-theory source package still open.","","20260704T164132Z"
"fa_github_sirejeff_repo_metadata","persian_farsi","linear_algebra_tex_source_package_metadata","tex_source_package","GitHub repository metadata: SireJeff/linear-algebra-3blue1brown-notes","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","https://api.github.com/repos/SireJeff/linear-algebra-3blue1brown-notes","github_api_json","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\fa_github_sirejeff_repo_metadata.json","11720593D60DB2D657DA344CB250B254B0324084010446F9C8E402EAB23AF56A","6385","GitHub API license field to be inspected; README states educational purpose/original video content belongs to 3Blue1Brown.","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","Persian TeX source-package provenance for linear algebra only.","No canonical approval; license unclear until repo license is independently closed.","","","20260704T164132Z"
"fa_github_sirejeff_persian_main_tex","persian_farsi","linear_algebra_tex_source","tex_source","SireJeff Persian linear algebra main.tex","https://github.com/SireJeff/linear-algebra-3blue1brown-notes/blob/master/persian_notes/main.tex","https://raw.githubusercontent.com/SireJeff/linear-algebra-3blue1brown-notes/master/persian_notes/main.tex","tex","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\fa_github_sirejeff_persian_main_tex.tex","AA4207AE05BA1804FFB3BBE8265954571BE276E75A8CB7A1656A72ED92417427","6280","Repository README says educational purpose; no separate license file verified in this pass.","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","Persian/Farsi TeX source witness for linear algebra compilation spine.","Review-only; does not authorize Dari/Tajik/Urdu/Pan-Turkic.","","","20260704T164132Z"
"fa_github_sirejeff_source_zip","persian_farsi","linear_algebra_tex_source_archive","tex_source_archive","SireJeff Persian/English linear algebra source archive zipball","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","https://api.github.com/repos/SireJeff/linear-algebra-3blue1brown-notes/zipball/master","zip_source_archive","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\fa_github_sirejeff_source_zip.zip","EEEE28E88CA465F0A125AFE056F6203B84C138EB44114867D8E49F3C3344252C","2007400","Repository README says educational purpose; archive fetched for provenance/hash only.","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","Persian/Farsi TeX source package hash witness.","Review-only; source package does not establish terminology approval.","","","20260704T164132Z"
"fa_wikipedia_invariant_theory_raw","persian_farsi","invariant_theory","source_wikitext","Persian Wikipedia: نظریه ناوردا","https://fa.wikipedia.org/wiki/%D9%86%D8%B8%D8%B1%DB%8C%D9%87_%D9%86%D8%A7%D9%88%D8%B1%D8%AF%D8%A7","https://fa.wikipedia.org/w/index.php?title=%D9%86%D8%B8%D8%B1%DB%8C%D9%87_%D9%86%D8%A7%D9%88%D8%B1%D8%AF%D8%A7&action=raw","mediawiki_raw_wikitext","fetched_and_hashed","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_SOURCE_CANON_WITNESS_LAYER_20260704T164132Z\fetched\fa_wikipedia_invariant_theory_raw.wiki.txt","DF288DE95947706B819F9F78026E1F9AA6104E95EEBC27ED2CDD9157A5B8E0B6","1282","Wikimedia project text license signal: CC BY-SA/GFDL per Wikimedia terms.","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","Persian/Farsi raw source witness for invariant theory.","Persian witness only; does not authorize Arabic/Dari/Tajik bridge.","","","20260704T164132Z"
