"row_id","language","concept","row_class","coverage_status","draft_rendering","alternatives","source_context_note","formula_neighbor_note","interlinear_or_scaffold","evidence_witnesses","source_urls","local_paths","source_hashes","access_license_signal","hard_blocker_state","next_gate","non_claim_boundary"
"CTRL-054-B3-SUFFICIENCY-TRANSITION","control","source-canon sufficiency transition","control_anchor","control rule observed","","","B3 commit b99286628344251e860fe889e44cc54c8ebd6f87 requires source-canon first, then scoped draft/non-canonical translation work for covered rows while uncovered rows remain source-acquisition/gap.","Applies only where source witnesses support the scoped language/topic row.","No linguistic construction from control row.","AGENTS.md blob 59a88bdcee5872ecdd3720c36e1484a39c8fff76; copilot blob 6b0b678ed0f5e0a6da270a574b86f43be2e77322; transition blob 01ae6bb7bb40ce7f9c63332de072ffb11d2d9add","local git commit b99286628344251e860fe889e44cc54c8ebd6f87","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702","git object IDs recorded; package checkout dirty with B3 package additions not touched","local repository control; no blanket license clearance","control only","Use this transition rule without changing hard-row status.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"CTRL-054-HARD-ROW-LEDGER","R2 Pan-Turkic","current hard-row state","hard_blocker_state_anchor","8 hard rows remain governed by exact-source/reviewer-return gates","","","Hard ledger still has Tatar/Kyrgyz/Turkmen open gaps and Uyghur exact candidates pending authority/source-canon review.","No formula row can override exact-source gate.","No interlanguage bridge or term promotion.","NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","hard ledger unchanged in this event","local lane ledger","6 open gaps; 2 candidate-only rows","Keep hard blockers open until exact source rows, source packages, reviewer returns, or authority review arrive.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"CTRL-054-DELTA-REGISTER","R2 Pan-Turkic","Event 053 source-canon delta register","source_canon_anchor","baseline evidence map available","","","Event 053 consolidated Events 049-052: source-corpus context, exact candidates, OCR gates, blocked leads, gap summaries, and hard-blocker states.","Used here to decide covered vs uncovered rows.","No independent construction from register.","NOETHER_R2_PAN_TURKIC_SOURCE_CANON_DELTA_REGISTER_20260705T1403.csv/json/md","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_DELTA_REGISTER_20260705T1403.csv","see NOETHER_R2_PAN_TURKIC_SOURCE_CANON_DELTA_REGISTER_SHA256_20260705T1403.txt","local lane artifact","no hard-row closure added","Carry forward source/gap labels into draft slice.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"TR-DRAFT-054-NOETHERIAN-RING","Turkish","Noetherian ring","source_supported_draft_transition","covered expansion row with exact local PDF/text witnesses; not an R2 hard-row closure","Noether halkası","Noetherian halka appears in TR-NOETH-002; Noether halkası appears in TR-NOETH-001","TR-NOETH-001 line 1058 has Noether halkası; line 1059 ties it to the ascending chain condition. TR-NOETH-002 line 376 defines Noetherian halka via finitely generated ideals.","Definition context is ideal-chain/finite-generation, not a formula row.","Noether + halka/halkası; retain both attested adjective/proper-name styles as draft alternatives, not accepted terminology.","TR-NOETH-001 Bulent Sarac Moduller; TR-NOETH-002 Marmara thesis","https://bulentsarac.com/uploads/1766776284_Moduller.pdf ; https://katalog.marmara.edu.tr/veriler/yordambt/cokluortam/8D/Nagihan%20BALKANCI_YL%20Tezi.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_noetherian_expansion_source_canon_20260705\TR-NOETH-001_bulentsarac_moduller.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_noetherian_expansion_source_canon_20260705\TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt","TR-NOETH-001 PDF 753EF6ADAFC119B4F7325F2F14C5925F59C983FC1C80EBD15CAC395FA75E3B0B text 680F779C089600B15E6E8C032D06980B4E3909DA0F2C2613BC5E19A96E54E020; TR-NOETH-002 PDF 9EB96E717BCBF891B01C2E0585CBD52FAB0E573B7BF097A30E3AA530A274738A text 905DB953E4992471E080B48B5DA90696983E31C9D6C2514CE535BFCA3196EBAC","public web/catalog PDF access; no blanket license clearance","Turkish expansion support only; R2 hard ledger unchanged","B3/package steward may route this as covered Turkish draft evidence; do not add Turkish to R2 hard-row register without coordinator action.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"TR-DRAFT-054-POLYNOMIAL-RING","Turkish","polynomial ring","source_supported_draft_transition","covered expansion row with exact local PDF/text witnesses; not an R2 hard-row closure","polinom halkası","No alternate Turkish rendering carried from this lane; source phrase is polinom halkası.","TR-NOETH-001 line 1123 uses R[x] polinom halkası. TR-NOETH-002 line 1070 uses tam katsayılı polinom halkası for Z[X].","Formula-neighboring source rows include R[x] and Z[X] polynomial-ring examples.","polinom + halka/halkası; formula variable stays unchanged in draft notes.","TR-NOETH-001 line 1123; TR-NOETH-002 line 1070","https://bulentsarac.com/uploads/1766776284_Moduller.pdf ; https://katalog.marmara.edu.tr/veriler/yordambt/cokluortam/8D/Nagihan%20BALKANCI_YL%20Tezi.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_noetherian_expansion_source_canon_20260705\TR-NOETH-001_bulentsarac_moduller.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_noetherian_expansion_source_canon_20260705\TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt","same TR-NOETH-001/TR-NOETH-002 hashes as TR-DRAFT-054-NOETHERIAN-RING","public web/catalog PDF access; no blanket license clearance","Turkish expansion support only; R2 hard ledger unchanged","Use as scoped draft support for Turkish covered row only.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"TR-DRAFT-054-NOETHERIAN-POLYRING-FORMULA","Turkish","Noetherian polynomial ring theorem context","formula_neighboring_draft_context","covered formula-neighboring row from exact local source","Eğer R bir Noether halkası ise, R[x] polinom halkası da bir Noether halkasıdır.","Could split terms as Noether halkası / polinom halkası in review UI; no accepted terminology claim.","Exact local source sentence at TR-NOETH-001 line 1123; carried as formula-neighboring draft context.","Preserve R and R[x] unchanged; nearby proof text uses ideals generated by polynomial leading coefficients.","If R is a Noether ring, then R[x] polynomial ring is also a Noether ring; scaffold only for review.","TR-NOETH-001 line 1123","https://bulentsarac.com/uploads/1766776284_Moduller.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkish_noetherian_expansion_source_canon_20260705\TR-NOETH-001_bulentsarac_moduller.txt","TR-NOETH-001 PDF 753EF6ADAFC119B4F7325F2F14C5925F59C983FC1C80EBD15CAC395FA75E3B0B text 680F779C089600B15E6E8C032D06980B4E3909DA0F2C2613BC5E19A96E54E020","public web PDF access; no blanket license clearance","formula context does not close non-Turkish R2 blockers","Use for draft review context only; do not promote as canonical translation.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"TT-SCAFFOLD-054-POLYNOMIAL-BASE","Tatar","polynomial base vocabulary","source_context_scaffold_only","context-covered only; polynomial-ring hard row remains uncovered","күпбуын for polynomial/base polynomial context only","күпбуыннар plural/contextual forms; no polynomial-ring rendering carried","TT-PDF-001 lines 559-563 show Күпбуын and Күпбуыннар in algebra lesson context; TT-PDF-002 line 169 defines Күпбуын as a sum of monomials.","No ring formula or R[x] neighboring row found in Tatar sources.","күп + буын lexical scaffold only; do not extend to ring without exact source.","TT-PDF-001; TT-PDF-002; TT-PDF-003 context-only mathematical publication","https://test-edu.tatar.ru/upload/storage/org1827/files/%D0%90%D0%9B%D0%93%D0%95%D0%91%D0%A0%D0%90%207%20%D0%9A%D0%9B%D0%90%D0%A1%D0%A1.pdf ; https://edu.tatar.ru/upload/storage/org112/files/7%20%D0%BA%D0%BB%D0%B0%D1%81%D1%81%20%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0.pdf ; https://ft.antat.ru/uploads/2431654b7878a40e78-%D0%A4%D0%B5%D0%BD%D0%BD%D0%B8_%D0%A2%D0%B0%D1%82%D0%B0%D1%80%D1%81%D1%82%D0%B0%D0%BD_2_2014.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TT-PDF-001_test_edu_tatar_algebra_7_work_program.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TT-PDF-002_edu_tatar_algebra_7_minimum.txt","TT-PDF-001 PDF FF04E65278A2B678F8A46C36783E6F1C0514E5E60EB7C047A38C41E97F6B31C8 text 3F219B50001D62DEE8D763B8CA788CBC604BC4729C48142B61DB3D532A9B7FF0; TT-PDF-002 PDF 8C6065A51152E3DE7C530C071B19E90FF0B4E3F72C9AC25A5B3501C7CD3A8D78 text 7AE9610B43D75E70680C7CB7BF2D593EDACB5BFC015A0759B0DE688AEF862165","public web PDF access/provenance; no blanket license clearance","R2-TT-POLYRING and R2-TT-NOETHERIAN remain open_gap","Find exact Tatar mathematical row for polynomial ring/Noetherian ring or reviewer return.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"TT-GAP-054-POLYRING","Tatar","polynomial ring","explicit_gap_no_draft_rendering","uncovered hard row","","none carried","Only polynomial/base vocabulary found; no exact local polynomial-ring row.","No Tatar R[x] or ring-neighbor row found.","Blocked: do not construct from күпбуын plus ring term.","hard ledger plus Event 049/053 searches","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","see Event 053 checksum sidecar","local gap ledger","open_gap","Exact source row/source package/reviewer return required.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"TT-GAP-054-NOETHERIAN","Tatar","Noetherian ring","explicit_gap_no_draft_rendering","uncovered hard row","","low-authority search-visible string not carried","No local exact source row captured for Noetherian ring.","No Noetherian formula-neighboring source row found.","Blocked: no source-gated construction.","hard ledger plus Event 049/053 searches","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","see Event 053 checksum sidecar","local gap ledger","open_gap","Exact source row/source package/reviewer return required.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"KY-SCAFFOLD-054-POLYNOMIAL-BASE","Kyrgyz","polynomial base vocabulary","source_context_scaffold_only","context-covered only; polynomial-ring hard row remains uncovered","көп мүчө for polynomial/base polynomial context only","көп мүчөлөр plural/contextual forms; no polynomial-ring rendering carried","KY-PDF-002 lines 718-722 list Көп мүчө, standard form, degree, and operations on polynomials.","No ring formula or R[x] neighboring row found in Kyrgyz sources; sparse OCR sources remain gate-only.","көп + мүчө lexical scaffold only; do not extend to ring without exact source.","KY-PDF-002 machine-readable curriculum; KY-PDF-001/KY-PDF-003 sparse/OCR gate only","https://edu.gov.kg/media/files/c832083a-4db8-4b7f-89cc-315d5535f520.pdf","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\KY-PDF-002_edu_gov_kg_math_curriculum.txt","KY-PDF-002 PDF 34FD87987F76E5E25C2D7C29A3E1D5CA310E99193774ADACA1D2FB7BE4A5414C text E4AE84B91831D06F9A935284CD7FC5E07A547095FEE450CFCEE52AD9CBC3000B","public ministry PDF access/provenance; no blanket license clearance","R2-KY-POLYRING and R2-KY-NOETHERIAN remain open_gap","Find exact Kyrgyz mathematical row for polynomial ring/Noetherian ring; improve OCR only for source-located pages.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"KY-GAP-054-POLYRING","Kyrgyz","polynomial ring","explicit_gap_no_draft_rendering","uncovered hard row","","none carried","Base polynomial context only; no exact local polynomial-ring row.","No Kyrgyz R[x] or ring-neighbor row found.","Blocked: do not construct from көп мүчө plus ring term.","hard ledger plus Events 049-050/053 searches","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","see Event 053 checksum sidecar","local gap ledger","open_gap","Exact source row/source package/reviewer return required.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"KY-GAP-054-NOETHERIAN","Kyrgyz","Noetherian ring","explicit_gap_no_draft_rendering","uncovered hard row","","search-visible/context-only string not carried","No local exact source row captured for Noetherian ring.","No Noetherian formula-neighboring source row found.","Blocked: no source-gated construction.","hard ledger plus Events 049-050/053 searches","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","see Event 053 checksum sidecar","local gap ledger","open_gap","Exact source row/source package/reviewer return required.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"TK-SCAFFOLD-054-POLYNOMIAL-BASE","Turkmen","polynomial base vocabulary","source_context_scaffold_only","context-covered only; polynomial-ring hard row remains uncovered","köpagza for polynomial/base polynomial context only","köpagzalar / köpagzanyň contextual forms; no polynomial-ring rendering carried","TK-CUR-051-004 lines 237 and 390-398 contain köpagza/köpagzany in mathematical text; TK-CUR-051-003 is higher mathematics/algebra provenance.","No ring formula or R[x] neighboring row found in Turkmen sources.","köp + agza lexical scaffold only; do not extend to ring without exact source.","TK-CUR-051-003 PubHTML5 higher mathematics/algebra; TK-CUR-051-004 Kitaphana PDF/text","https://pubhtml5.com/znfx/acte/basic/ ; https://kitaphana.net/electronic-book/2157","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-003_pubhtml5_yokary_matematika_algebra.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\turkmen_current_source_gate_20260705T1236\TK-CUR-051-004_kitaphana_2157.txt","TK-CUR-051-003 text C0322569A6E6D8CB266AF932BF902996E5BE97C9598BFBE5243D0A267267E349; TK-CUR-051-004 PDF 130F081CA7A90ECB9C023F24193ED4D3B4EF79E47B40262A82FCCA8529CF84A0 text 37C0FB08E3568157AD49F287C5C40C2A6BDDA3BE2BB9EBFA2E51E185A198415E","public/low-access web provenance; no blanket license clearance","R2-TK-POLYRING and R2-TK-NOETHERIAN remain open_gap","Find exact Turkmen mathematical row for polynomial ring/Noetherian ring or reviewer return.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"TK-GAP-054-POLYRING","Turkmen","polynomial ring","explicit_gap_no_draft_rendering","uncovered hard row","","none carried","Base polynomial context only; no exact local polynomial-ring row.","No Turkmen R[x] or ring-neighbor row found.","Blocked: do not construct from köpagza plus ring term.","hard ledger plus Events 051/053 searches","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","see Event 053 checksum sidecar","local gap ledger","open_gap","Exact source row/source package/reviewer return required.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"TK-GAP-054-NOETHERIAN","Turkmen","Noetherian ring","explicit_gap_no_draft_rendering","uncovered hard row","","none carried","No local exact source row captured for Noetherian ring.","No Noetherian formula-neighboring source row found.","Blocked: no source-gated construction.","hard ledger plus Events 051/053 searches","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","see Event 053 checksum sidecar","local gap ledger","open_gap","Exact source row/source package/reviewer return required.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"UG-CANDIDATE-054-NOETHERIAN-RING","Uyghur","Noetherian ring","exact_candidate_scaffold_only","exact dictionary candidate local-captured; not source-canon sufficient and not promoted","نوئېتېر ھالقىسى","related candidate pages: سول نوئېتېر ھالقىسى, ئوڭ نوئېتېر ھالقىسى; not alternatives for the base row","UG-CUR-052-001 line 325 has the Uyghur headword and line 333 glosses Noetherian ring; Ewlat category line includes نوئېتېر ھالقىسى.","No source formula context or R[x] neighboring row found in Uyghur candidate pages.","نوئېتېر + ھالقا/ھالقىسى candidate scaffold only; requires authority/source-canon review.","UYGUR.COM noeter_halqisi; Ewlat noether category; UYGUR.COM left/right related pages","https://wiki.uygur.com/noeter_halqisi/ ; https://www.ewlat.biz/turkum-4704","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-001_uygur_com_noeter_halqisi.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-006_ewlat_4704_noether.txt","UG-CUR-052-001 html E6A3C01FF060B55E3BF324E9A59D32F620DA956246CEEF3C38B4D5A1A87799AD text AA7177389EAB80733E430A96E204F99FEB92AFE6484AD4F2CC0ED72831B8486D","dictionary/category web provenance; authority/license/source-canon review open","candidate_exact_needs_authority_review","Obtain stronger mathematical publication/source package, reviewer return, or authority review before support/promotion.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
"UG-CANDIDATE-054-POLYNOMIAL-RING","Uyghur","polynomial ring","exact_candidate_scaffold_only","exact dictionary candidate local-captured; not source-canon sufficient and not promoted","كۆپ ئەزالىق ھالقا","Ewlat category has same candidate within polynomial neighborhood; no alternate rendering carried","UG-CUR-052-002 line 325 has the Uyghur headword and line 333 glosses polynomial ring; Ewlat polynomial category line includes كۆپ ئەزالىق ھالقا.","No source formula context or R[x] neighboring row found in Uyghur candidate pages.","كۆپ + ئەزالىق + ھالقا candidate scaffold only; requires authority/source-canon review.","UYGUR.COM kop_ezaliq_halqa; Ewlat polynomial category","https://wiki.uygur.com/kop_ezaliq_halqa/ ; https://www.ewlat.biz/turkum-4551","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-002_uygur_com_kop_ezaliq_halqa.txt ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\uyghur_current_authority_source_gate_20260705T1319\UG-CUR-052-005_ewlat_4551_polynomial.txt","UG-CUR-052-002 html 368A3A3E19E1B955B582EA18E8F7DDCA8B47DF264DD50B7E1A275A35C2F79A5A text BE2F13DEEF26F3179C1356F06031F1CAB7C7037210B117EBA0AE0BB9D0CF9E4C","dictionary/category web provenance; authority/license/source-canon review open","candidate_exact_needs_authority_review","Obtain stronger mathematical publication/source package, reviewer return, or authority review before support/promotion.","draft/non-canonical/not-native-reviewed/no-canonical-approval/no-accepted-terminology/no-license-clearance/no-gate-promotion/no-completion/no-bridge/no-pilot/no-Git-push"
