dnu_id,candidate_or_surface,language_id,english_concept,relation,blocked_scope,action,evidence_gap,row_id,non_claim_boundary
DNU-CJK-GAP-0001,局所化,ja,localization,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row.","Need a direct Lokalisierung/localization source anchor or explicit reviewer bridge. Quotient ring, ideal quotient, and R_a-adjacent evidence remain adjacent only.",term-ja-0003,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0002,テンソル積,ja,tensor product,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row.","Need a direct source anchor for Tensor/Tensorprodukt/tensor product in the relevant German/local source or an explicit reviewer bridge. Noisy \otimes, crossed-product, direct-product, product theorem, product-ring, Kronecker-product matrix, and module-symbol passages remain non-anchor evidence.",term-ja-0009,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0003,ネーター／Noetherian,ja,Noether/Noetherian,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row.","Need direct Noetherian-ring/Noetherian row evidence. Noether person-name, title, or fundamental-theorem context remains source/context evidence only.",term-ja-0018,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0004,ネーター的,ja,Noetherian,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row.","Need direct Noetherian-ring/Noetherian row evidence. Noether person-name, title, or fundamental-theorem context remains source/context evidence only.",term-ja-0019,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0005,ネーター的／ネーター,ja,Noetherian/Noether,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row.","Need direct Noetherian-ring/Noetherian row evidence. Noether person-name, title, or fundamental-theorem context remains source/context evidence only.",term-ja-0020,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0006,ハリシュ＝チャンドラ,ja,Harish-Chandra,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row.",Need a direct German/local corpus anchor or explicit reviewer bridge for Harish-Chandra.,term-ja-0025,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0007,대수,ko,algebra,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0001,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0008,군,ko,group,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0002,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0009,기저 정리,ko,basis theorem,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0003,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0010,국소화,ko,localization,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0004,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0011,추상대수학,ko,abstract algebra,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0005,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0012,현대대수학,ko,modern algebra,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0006,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0013,나눗셈환,ko,division ring,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0007,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0014,체,ko,field,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0008,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0015,아르틴／아르틴적,ko,Artin/Artinian,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0009,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0016,아르틴적／아르틴,ko,Artinian/Artin,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0010,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0017,유한 차원,ko,finite-dimensional,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0011,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
DNU-CJK-GAP-0018,유한 생성,ko,finitely generated,source_canon_insufficient,do_not_promote_do_not_count_as_source_witness_do_not_insert_as_completed_translation,"Open concrete Korean mathematical source witnesses, preferring TeX/LaTeX/arXiv/GitHub source; otherwise record official/academic PDF/HTML with hash and license/access signal. Only after row-level Korean evidence exists should any Korean draft row leave source-discovery status.","Need an opened Korean row-level corpus queue plus Korean target-language mathematical witnesses with URL, access/license signal, hash, and local path. Current Korean material is source-discovery/crosswalk or weak-lead evidence only, not scoped draft translation support.",term-ko-draft-0012,generated-draft/non-canonical/not native reviewed/not approved/not accepted terminology/not gate-promoted/not complete
