"generated_utc","compare_span","path_category","path_count","additions","deletions","route_boundary"
"2026-07-07T12:44:58Z","23630643_to_91556cc1","b3_236_owner_repair_package_audit","11","196","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","23630643_to_91556cc1","b3_held_236_control_byte_evidence_audit","8","77","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","23630643_to_91556cc1","other_route_visibility","53","1035","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","23630643_to_91556cc1","artifact_kind:blocker_adverse_safety","13","85","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","23630643_to_91556cc1","artifact_kind:heartbeat_logbook_state","1","12","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","23630643_to_91556cc1","artifact_kind:manifest_hash_validation","27","411","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","23630643_to_91556cc1","artifact_kind:packet_accounting","5","40","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","23630643_to_91556cc1","artifact_kind:source_use_gap_route","26","760","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","91556cc1_to_b059f437","b3_91556_recheck_olp_boundary_audit","10","217","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","91556cc1_to_b059f437","non_slavic_core_236_b3_repair_recheck_route","19","205","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","91556cc1_to_b059f437","non_slavic_core_236_b952_owner_repair_route","24","1189","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","91556cc1_to_b059f437","olp_91556_boundary_continuation","15","151","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","91556cc1_to_b059f437","artifact_kind:blocker_adverse_safety","12","55","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","91556cc1_to_b059f437","artifact_kind:manifest_hash_validation","27","473","0","source-use/provenance/gap/draft/non-canonical route accounting only"
"2026-07-07T12:44:58Z","91556cc1_to_b059f437","artifact_kind:source_use_gap_route","29","1234","0","source-use/provenance/gap/draft/non-canonical route accounting only"
