"current_head","base_head","git_path","local_copy","bytes","sha256","source_use_label"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/README.md","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\r3-5c87\README.md","1179","27f6df047fe09729d32978d9568bb7f4035628204209dc9df24081fc72001428","r3_5c87_source_use_gap_audit"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_SOURCE_USE_FACT_CHANGE_AUDIT.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\r3-5c87\R3_5C87F666_SOURCE_USE_FACT_CHANGE_AUDIT.csv","1059","347fa8fc92bb92daaafe7155ca849c581b071d5ddf104e52b1ec17a0513ced0e","r3_5c87_fact_change_audit"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_BLOCKERS_AND_RECOVERY_ROWS.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\r3-5c87\R3_5C87F666_BLOCKERS_AND_RECOVERY_ROWS.csv","846","1cbe52039838bc3b38ea46c490486ee7a416e6440e65b7f8e467b0ba1960d52f","r3_5c87_blockers"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_BRANCH_VISIBLE_2B1_PACKET_HASH_CHECK.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\r3-5c87\R3_5C87F666_BRANCH_VISIBLE_2B1_PACKET_HASH_CHECK.csv","8829","1fe696a53cb203fb8d9608fce868f05b38e544007c2e9825910b1d2ddd08d9f6","hash_check_not_source_certification"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-2b1-current-head-source-use-gap-audit-20260706/R3_5C87F666_2B1_CURRENT_HEAD_SOURCE_USE_GAP_AUDIT_20260706_20260706T213604Z/R3_5C87F666_CARRIED_FORWARD_2B1_SOURCE_USE_GAP_ROWS.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\r3-5c87\R3_5C87F666_CARRIED_FORWARD_2B1_SOURCE_USE_GAP_ROWS.csv","1818","a923801f02eb4dbef1a8c5520d7e8e29070b6ccae8237e88efddb4f48345bfbb","carried_source_use_gap"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-same-frontier-mutual-wake-dedup-20260706/R3_5C87F666_SAME_FRONTIER_MUTUAL_WAKE_DEDUP_20260706_20260706T214034Z/README.md","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\r3-5c87-same-frontier\README.md","1014","2743b49eea26cbb5ff5b09e91d1b8f8d49bc53aec06a6a018f5eb3e287efd613","r3_same_frontier_dedup"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-same-frontier-mutual-wake-dedup-20260706/R3_5C87F666_SAME_FRONTIER_MUTUAL_WAKE_DEDUP_20260706_20260706T214034Z/R3_5C87F666_FABLE_SOURCE_USE_ADVERSE_SAME_FRONTIER_LEDGER.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\r3-5c87-same-frontier\R3_5C87F666_FABLE_SOURCE_USE_ADVERSE_SAME_FRONTIER_LEDGER.csv","936","ddc9747839a0e839278ee82e48ebd15b0eb3650ec6b3c6cf735a9439f1a1fc06","same_frontier_fable_adverse"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","interlanguage-sidecar/rtl-persianate-arabic-5c87f666-same-frontier-mutual-wake-dedup-20260706/R3_5C87F666_SAME_FRONTIER_MUTUAL_WAKE_DEDUP_20260706_20260706T214034Z/R3_5C87F666_BLOCKERS_AND_RECOVERY_SAME_FRONTIER.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\r3-5c87-same-frontier\R3_5C87F666_BLOCKERS_AND_RECOVERY_SAME_FRONTIER.csv","954","8c9b65d559d5af53faaa2db40cebf34d24e44775d52074147b25316ce7e1cf3e","same_frontier_blockers"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/README.md","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\non-slavic-5c87\README.md","1544","0ea193dd70f2da8654c6e69f5086f59e049b0b52d97da659616223c395e3e007","parent_route_context_only"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/EIGHT_LANE_SOURCE_GATE_QUEUE_5C87.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\non-slavic-5c87\EIGHT_LANE_SOURCE_GATE_QUEUE_5C87.csv","6886","e84867d751a0f2f7095fa76a5669d284b3bd802dd22e8623b28117ffe47966db","eight_lane_source_gate_context_only"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/FABLE_SOURCE_USE_ADVERSE_LEDGER_5C87.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\non-slavic-5c87\FABLE_SOURCE_USE_ADVERSE_LEDGER_5C87.csv","4015","a8b54cd436f8dea63988a627393540065bb0eae8781044a6b55668b6f79fad34","parent_fable_adverse_context_only"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/EXACT_BLOCKERS_AND_RECOVERY_ROWS_5C87.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\non-slavic-5c87\EXACT_BLOCKERS_AND_RECOVERY_ROWS_5C87.csv","3861","674aca85f1ec8e1682413ce50ac77df423afdbacdd33b50a9c40b5152c3646b0","parent_blockers_context_only"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","coordination/non-slavic-core-5c87f666-8lane-source-gate-route-20260706/NON_SLAVIC_CORE_5C87F666_8LANE_SOURCE_GATE_ROUTE_20260706/CHILD_PACKET_ROUTE_SUMMARY_5C87.csv","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\non-slavic-5c87\CHILD_PACKET_ROUTE_SUMMARY_5C87.csv","2979","43868f2e188bdf8d3e352b405b63ddc44accaa1c015ae90ee77f959248d8b6b1","child_packet_route_context_only"
"7a7576c317fb5d85fb986437d64c6f0218e4733a","ef53a7cc2f15afe0d30f7be860f7fd436391234b","uploader-transfer/r6-5c87f666-current-head-source-start-continuation-20260706/R6_5C87F666_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706/README.md","outputs\ARABIC_RTL_7A7576C3_EF53_CORRECTION_SOURCE_USE_GATE_INTAKE_20260706\branch-visible-7a-key-files\r6-context-only\README.md","1341","e8f3a6bb57c9940f82665b22a075d0a381c8b51de2a589801d3a79773ae12f1e","r6_context_only_not_arabic_evidence"
