"debt_id","unit","source_lines","entry_class","current_representation","required_cumulative_action","status"
"IDX-I01-001","I.1","598","infinitesimal-neighborhood notation","notation anchors retained without standalone entry","restore an English entry when cumulative index machinery is introduced","deferred_to_cumulative_index"
"IDX-I02-001","I.2","630","quasi-finite morphism/algebra term","term retained in heading and body without standalone entry","restore morphism and algebra cross-entry in the cumulative index","deferred_to_cumulative_index"
"IDX-I03-001","I.3","692","historical net morphism/algebra term","term retained in heading and definition without standalone entry","restore term with an unramified cross-reference in the cumulative index","deferred_to_cumulative_index"
"IDX-I03-002","I.3","696","unramified morphism/algebra term","term retained throughout the body without standalone entry","restore morphism and algebra cross-entry in the cumulative index","deferred_to_cumulative_index"
"IDX-I03-003","I.3","739","different-ideal notation","notation label retained without standalone notation entry","restore notation entry in the cumulative notation index","deferred_to_cumulative_index"
"IDX-I03-004","I.3","742","different-ideal terminology","term retained in the body without standalone entry","restore terminology entry in the cumulative index","deferred_to_cumulative_index"
"IDX-I03-005","I.3","743","alternate different-ideal sort key","second source sort-key entry not represented separately","restore alternate sort-key or cross-entry in the cumulative index","deferred_to_cumulative_index"
"IDX-I04-001","I.4","812","étale morphism and algebra term","term retained in heading and Definition I.4.1 without standalone entry","restore the étale morphism and algebra entry","deferred_to_cumulative_index"
"IDX-I04-002","I.4","900","étale covering term","term retained in Definition I.4.9 without standalone entry","restore the étale-covering entry","deferred_to_cumulative_index"
"IDX-I04-003","I.4","901","net covering term","term retained with unramified equivalence without standalone entry","restore the net-covering entry with an unramified cross-reference","deferred_to_cumulative_index"
"IDX-I04-004","I.4","902","alternate covering-first sort entry","covering terminology retained without alternate sort entry","restore the alternate covering-first sort entry","deferred_to_cumulative_index"
"IDX-I05-001","I.5","964",,"radicial appears in Theorem I.5.1 and its definition but no standalone printed index entry exists","restore the radicial-morphism entry when cumulative index machinery is introduced","deferred_to_cumulative_index"
"IDX-I05-002","I.5","1095",,"the English theorem title appears in Corollary I.5.6 but no standalone printed index entry exists","restore Extension theorem for liftings under a lifting-first English sort entry","deferred_to_cumulative_index"
"IDX-I05-003","I.5","1096",,"the source's theorem-first alternate sort entry is not represented separately","restore a theorem-first cross-entry to Extension theorem for liftings","deferred_to_cumulative_index"
