"delta_id","category","manager_baseline","selected_sga1_form","rejected_regression_category","evidence_channel","scope","status"
"N-001","spelling","US spelling","neighborhood","British spelling drift","shared SGA baseline","all SGA1 prose except quotations and titles","active"
"N-002","capitalization","lowercase ordinary adjectival form","noetherian","mid-sentence capitalization drift","shared SGA baseline","all SGA1 prose","active"
"N-003","categorical terminology","formal categorical register","morphism","informal map substitution","shared baseline and source register","all formal prose","active"
"N-004","historical terminology","source-sensitive historical vocabulary","prescheme where the authority uses the historical term","silent modernization","source-sensitive baseline","all source-sync units","active"
"N-005","products","exact base and factor order","preserve every fiber-product base and factor order","dropped or altered base","mathematical-fidelity baseline","all formulas","active"
"N-006","heading register","translate rather than simplify","Notions of differential calculus","heading simplification","French heading and lane baseline","I.1","closed"
"N-007","logic term","retain available English technical cognate","sorites","automatic lexical substitution","French lexical evidence and English technical usage","I.1 and later context","active"
"N-008","citation form","retain work volume locator and attachment","Cf. EGA IV 16.3 in source-controlled footnote","relocation or loss","French TeX citation structure","I.1","closed"
"N-009","source-page evidence","distinguish source pagination from output pagination","qualified French source page marker","bare ambiguous margin numeral","French TeX page witness","all source-page markers","active"
"N-010","witness independence","no scalar decision from correlated controls","one Hosgood derivative lineage","false vote counting","Git authorship and migration history","all candidate comparisons","active"
"N-011","rights handling","explicit attribution and rights caveats","translate from French authority and require archive review","assuming public visibility is a license","source notice and usage evidence","all checkpoints","active"
"N-012","theorem register","preserve source environment and numbering","Proposition I.2.1 and Corollary I.2.2 with shared source numbering","flattened or candidate-local numbering","French environments and labels 607-647","I.2","closed"
"N-013","source-page evidence","place marker at exact source boundary","French p.2 marker after One then says","moving the marker before the complete sentence","French lines 624-628 and printed boundary","I.2","closed"
"N-014","source-defect formulas","use a type-correct form only with explicit disclosure","type-correct fiber plus original-print defect note","silent correction or unqualified ill-typed reproduction","original-print scan and French line 636","I.2","closed"
"N-015","logic term","use context-sensitive English with recorded rationale","sorites for the abstract I.1 construction and chain of implications for the explicit I.2 sequence","one scalar replacement for every occurrence","French lines 600 and 649-651 plus contextual SGA5 usage","I.1-I.2","closed"
"N-016","historical terminology","modern primary term with source synonym preserved","unramified after declaring historical net","erasure of net or unexplained running net","French declaration and shared modern English usage","I.3","pending_manager_baseline_review"
"N-017","technical terminology","standard algebraic-geometry term","different ideal","terminology uncertainty or generic annihilator-only wording","French lines 738-747 and standard target usage","I.3","independent_pass"
"N-018","sheaf register","idiomatic pointwise vanishing","vanishes at x","is null at x","French Proposition I.3.1(ii)","I.3","independent_pass"
"N-019","categorical terminology","preserve the source distinction","Cartesian product when no common base is stated","fiber product without an explicit relative base","French lines 764-772 and parallel source terminology","I.3","pending_manager_baseline_review"
"N-020","field terminology","make the field role explicit","residue-field extension","ambiguous residue extension","French lines 776-795","I.3","independent_pass"
"N-021","source pagination","retain exact internal page transitions","French p.3 and p.4 markers at the source boundaries","paragraph-level approximate markers","French TeX and original print","I.3","independent_pass"
"N-022","source corrections","repair ill-typed formulas only with immediate disclosure","type-correct graph target and identity factor with one two-defect note","silent reproduction or silent correction","French TeX original print and domain-codomain typing","I.3","source_defects_closed_independent_pass"
"N-023","covering terminology","formal covering register","étale covering","étale cover as the defining term","French revêtement and synchronized SGA5 formal register","I.4","pending_manager_baseline_review"
"N-024","historical terminology","modern primary term with historical source synonym retained","net with unramified equivalence at defining occurrences","erasure of net or unexplained running net","French I.4.1 and I.4.9 plus I.3 policy","I.4","pending_manager_baseline_review"
"N-025","historical nonce word","preserve marked source nonce terms","italic multiplodoque without an added historical claim","multiplodocus or unverified source-external note","French line 877","I.4","pending_manager_baseline_review"
"N-026","separable-algebra terminology","use type-correct product language","finite product of finite separable extensions","finite composition or finite tower","French I.4.9 and internal lines 2064-2069","I.4","pending_manager_baseline_review"
"N-027","source pagination and theorem form","use original print for conflicting TeX markers and unnumbered environments","p.5 before I.4.6 proof and p.6 before plain Remark","copy misplaced marker or print a literal star","French TeX style definition and original printed pp.4-6","I.4","source_pagination_closed_independent_pass"
"N-028","trace-pairing typing","bilinear forms induce maps to the dual","B onto B-dual with immediate shared-source-defect disclosure","literal B onto B or silent correction","French source original print and following exterior-power formula","I.4","source_defect_disclosed_independent_pass"
"N-029","source register","preserve editorially significant historical register","flat covering of degree n with source parenthetical","unmarked finite-locally-free modernization","French I.4.10","I.4","independent_pass"
"N-030","technical terminology","use radicial for French radiciel","radicial","radical","radicial is the established English algebraic-geometry term and the source immediately gives its residue-field and base-change definition","I.5 Theorem I.5.1 and dependent proofs","closed_source_checked"
"N-031","source pagination","bind printed-page markers to complete English structures after original-print review","p.7 before Corollary I.5.3; p.8 before the complete introductory sentence to I.5.6; p.9 before Corollary I.5.9","split-sentence or mid-environment page markers","the original print and source sequence identify the coherent structural boundaries","I.5 printed pages 7-9","closed_source_and_print_checked"
"N-032","categorical notation","preserve Hom variance and argument order from the French authority","Hom_S(Y,X) to Hom_{S0}(Y0,X0)","Hom_S(Y,X) to Hom_{S0}(X0,Y0)","base restriction sends a morphism Y to X to a morphism Y0 to X0 and the French display is explicit","I.5 Theorem I.5.5","closed_source_checked"
"N-033","theorem register","retain complete unnumbered Scholium and categorical claims","Scholium; fully faithful; full subcategory; later equivalence","duplicate theorem or abbreviated comment","French lines 1071-1083 contain distinct uniqueness existence and categorical assertions","I.5 Scholium after Theorem I.5.5","closed_source_checked"
"N-034","diagram and title","preserve the named lifting theorem and its commutative square","Extension theorem for liftings with X left-arrow Y0 S left-arrow Y and both vertical arrows","Extension of liftings or linearized arrow text","French xymatrix and theorem title are explicit structural content","I.5 Corollary I.5.6","closed_source_render_checked"
"N-035","historical terminology","use unramified as the running English form after recording the net synonym","unramified in running I.5 prose; net retained in historical and index records","unexplained net as primary running form","the equivalence was already declared in Definition I.3.2 and shared normalization N-016/N-024 controls later use","I.5 Corollaries I.5.3 I.5.4 and I.5.8","closed_source_checked"
"N-036","source grammar correction","make number agreement grammatical without altering the mathematical condition","preschemes of finite type","preschemes of finite types","type is the fixed technical phrase and the plural s is a source typo","I.5 Proposition I.5.7","closed_corrected_disclosed"
"N-037","residue-field notation","use kappa consistently for residue fields","kappa(g(x))","k(g(x)) as an isolated notation change","the surrounding section and established SGA1 target notation use kappa for residue fields","I.5 Corollary I.5.8 proof","closed_source_checked"
