structural_id,unit_type,parent_id,order_index,source_path,source_line_start,source_line_end,source_char_start,source_char_end,source_printed_page,source_fragment_sha256,target_path,target_line_start,target_line_end,target_char_start,target_char_end,target_printed_page,target_fragment_sha256,cross_references,dependencies,completion_state,review_state,publication_state,boundary_confidence,continuation_cursor
NOE-P29-KO-U01-ROOT-001,work,,0,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,1,23,,,28-29,42B173A270CF4F7BF778651196B7F5FC9AA4FDBC6645599F6E00D577AACFD390,ko/Noether_Paper29_Korean_U01_v001.tex,12,34,,,28-29,6820865F1B35ACD20EBAD05AA005289C2C0B2F949A448381A143033A7F240DD3,NOE-P29-KO-U01-SEC-001,,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
NOE-P29-KO-U01-SEC-001,section,NOE-P29-KO-U01-ROOT-001,1,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,1,1,,,28,6385B9FE85DCD109831E55C65BA66FAC7659B8960D09CCE2A86280725A1F9C49,ko/Noether_Paper29_Korean_U01_v001.tex,12,12,,,28,121681BF0C56BEAB1A89126B1D42DE73F48AE9FD57CC91A8919D7F9DEA0E53F9,NOE-P29-KO-U01-CIT-001;NOE-P29-KO-U01-AUTH-001;NOE-P29-KO-U01-PARA-001;NOE-P29-KO-U01-THM-001;NOE-P29-KO-U01-PARA-002;NOE-P29-KO-U01-PARA-003;NOE-P29-KO-U01-PARA-004,NOE-P29-KO-U01-ROOT-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
NOE-P29-KO-U01-CIT-001,bibliography_item,NOE-P29-KO-U01-SEC-001,1,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,4,4,,,publication citation: article pp. 28-35,BB58B9B1726AD0155C0DF77D51730A3E34E35BCC13720F67629F66B05123F0D9,ko/Noether_Paper29_Korean_U01_v001.tex,15,15,,,publication citation: article pp. 28-35,BB58B9B1726AD0155C0DF77D51730A3E34E35BCC13720F67629F66B05123F0D9,,NOE-P29-KO-U01-SEC-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
NOE-P29-KO-U01-AUTH-001,apparatus,NOE-P29-KO-U01-SEC-001,2,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,9,13,,,28,8DD2ACE15DA9F0879169D898D1D40059AAF374ED31D7D10DB95E4215B5C70B44,ko/Noether_Paper29_Korean_U01_v001.tex,20,24,,,28,87CDCA8F5326E357038AC2F8C4CAD49DC0AB0DE2BF5B23E6EE786AB8D44372E4,,NOE-P29-KO-U01-SEC-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
NOE-P29-KO-U01-PARA-001,paragraph,NOE-P29-KO-U01-SEC-001,3,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,15,15,,,28,5294BB8986D8FC0FE69DDBE5560B5830681678DD0A16D892775AFAB46100F764,ko/Noether_Paper29_Korean_U01_v001.tex,26,26,,,28,DBF2312784661F116796E99B12C64C713BD88DD0134390A82AF9B95687687F10,NOE-P29-KO-U01-NOTE-001;NOE-P29-KO-U01-NOTE-002;NOE-P29-KO-U01-THM-001,NOE-P29-KO-U01-SEC-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
NOE-P29-KO-U01-NOTE-001,note,NOE-P29-KO-U01-PARA-001,1,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,15,15,116,274,28,1DFF831F2B9399E10FB20E99EBB4E77231837F354CE6E43D69C94F6002AF424E,ko/Noether_Paper29_Korean_U01_v001.tex,26,26,41,170,28,D8D78B644E26163A9F9908589DDF5E816113F018974B93D13BD7E468A06EEBA8,,NOE-P29-KO-U01-PARA-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
NOE-P29-KO-U01-NOTE-002,note,NOE-P29-KO-U01-PARA-001,2,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,15,15,425,627,28,6B29DF1263517796D229D82A140764ACB0C29CD03A95E6F10CE1FB1E6EA9DDE9,ko/Noether_Paper29_Korean_U01_v001.tex,26,26,214,369,28,9FBCC38C26F1F7CF4CB68628604598C6BE4A4E8AA2F101FF35E82F75193B163D,,NOE-P29-KO-U01-PARA-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
NOE-P29-KO-U01-THM-001,theorem,NOE-P29-KO-U01-SEC-001,4,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,17,17,,,28,E9EE90D9FD7A138BBFFB7050314CB6EDDC8DF23DBC9AE963B3CD36CED034AA7C,ko/Noether_Paper29_Korean_U01_v001.tex,28,28,,,28,BD76DF0AD3F0944770FFC9D22A6B1544E459415A311844C940A36E5B80D2B32D,NOE-P29-KO-U01-NOTE-003,NOE-P29-KO-U01-SEC-001;NOE-P29-KO-U01-PARA-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
NOE-P29-KO-U01-NOTE-003,note,NOE-P29-KO-U01-THM-001,1,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,17,17,34,403,28,8BA65BA221AD5E6BDBDF67F93C819EC796D3BDF8C6B73FF50DEEF1A23A0935BA,ko/Noether_Paper29_Korean_U01_v001.tex,28,28,41,305,28,BE0D08BEB0D457022B71BB98522341DAC1004A040706EA5C53CA905EDA2403ED,,NOE-P29-KO-U01-THM-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
NOE-P29-KO-U01-PARA-002,paragraph,NOE-P29-KO-U01-SEC-001,5,source/Noether_Paper29_German_P31_U01_Introduction_exact_lf.tex,19,19,,,28-29,188AF7EF7A0CA93993652F3DEE0EE8BDFE42E25B677071DA51E9E27651CD97C5,ko/Noether_Paper29_Korean_U01_v001.tex,30,30,,,28-29,36FCEF45C0F93EC41CB0E794A621486D03B23C26BE60044084235802A5AF0E0C,,NOE-P29-KO-U01-THM-001,complete,internally_source_checked,private_working,high,"Rehash the sealed German head before U02; continue at exact full-P29 source line 25, \subsection*{§ 1. Das Endlichkeitskriterium}."
