"lane","primary_table","primary_table_sha256","primary_table_bytes","row_count_observed","header_count","present_required_fields","missing_required_fields","matched_field_aliases","candidate_table_count","audit_status","normalization_action","non_claim_boundary"
"noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","C70D17AFC7CA804738EDD376A86E432AD26B9336810142EB8AA62D6143505A4B","26326","26","23","lane; target_language_or_access_target; source_title; source_author_or_owner; topic_tags; evidence_tier; source_type; source_url; local_path; license_or_access_signal; sha256_or_other_hash; source_language; is_target_language_witness; is_source_level_tex_or_archive; is_pdf_docx_or_text_fallback; gap_or_blocker_note; non_claim_boundary","","lane=lane; target_language_or_access_target=target_language_or_access_target; source_title=source_title; source_author_or_owner=source_author_or_owner; topic_tags=topic_tags; evidence_tier=evidence_tier; source_type=source_type; source_url=source_url; local_path=local_path; license_or_access_signal=license_or_access_signal; sha256_or_other_hash=sha256_or_other_hash; source_language=source_language; is_target_language_witness=is_target_language_witness; is_source_level_tex_or_archive=is_source_level_tex_or_archive; is_pdf_docx_or_text_fallback=is_pdf_docx_or_text_fallback; gap_or_blocker_note=gap_or_blocker_note; non_claim_boundary=non_claim_boundary","3","required_fields_present_by_alias","none_for_required_field_shape_by_alias","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","BF65A4661F0A445D7C86E56A90AE348074A182BFFC51C24D003C9048C7727A2E","54409","39","20","lane; target_language_or_access_target; source_title; source_author_or_owner; topic_tags; evidence_tier; source_type; source_url; local_path; license_or_access_signal; sha256_or_other_hash; source_language; is_target_language_witness; is_source_level_tex_or_archive; is_pdf_docx_or_text_fallback; gap_or_blocker_note; non_claim_boundary","","lane=lane; target_language_or_access_target=target_language_or_access_target; source_title=source_title; source_author_or_owner=source_author_or_owner; topic_tags=topic_tags; evidence_tier=evidence_tier; source_type=source_type; source_url=source_url; local_path=local_path; license_or_access_signal=license_or_access_signal; sha256_or_other_hash=sha256_or_other_hash; source_language=source_language; is_target_language_witness=is_target_language_witness; is_source_level_tex_or_archive=is_source_level_tex_or_archive; is_pdf_docx_or_text_fallback=is_pdf_docx_or_text_fallback; gap_or_blocker_note=gap_or_blocker_note; non_claim_boundary=non_claim_boundary","2","required_fields_present_by_alias","none_for_required_field_shape_by_alias","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","9F5A261B7E4AC69D4CA1DBEC919DEA6A1CEF1C38F684119E57D81C911AAE6EBC","21903","9","16","target_language_or_access_target; source_title; topic_tags; source_type; source_url; license_or_access_signal; source_language; is_source_level_tex_or_archive; gap_or_blocker_note; non_claim_boundary","lane; source_author_or_owner; evidence_tier; local_path; sha256_or_other_hash; is_target_language_witness; is_pdf_docx_or_text_fallback","target_language_or_access_target=language; source_title=native_title; topic_tags=topic_relevance; source_type=witness_type; source_url=primary_url; license_or_access_signal=license_signal; source_language=language; is_source_level_tex_or_archive=source_package_status; gap_or_blocker_note=explicit_gaps; non_claim_boundary=review_status","2","partial_required_field_coverage","add_or_normalize_missing_required_fields_before relying on table as complete source-canon witness surface","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-github-package-steward-b3","","","0","","0","","","","0","coordination_or_support_lane_not_required_target_witness_table","not a target-language witness lane; maintain coordination/source-canon steering sidecars","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-github-pr-branch-steward","","","0","","0","","","","0","coordination_or_support_lane_not_required_target_witness_table","not a target-language witness lane; maintain coordination/source-canon steering sidecars","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-interlanguage-method-authority","","","0","","0","","","","0","coordination_or_support_lane_not_required_target_witness_table","not a target-language witness lane; maintain coordination/source-canon steering sidecars","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-non-slavic-core-lane","","","0","","0","","","","0","coordination_or_support_lane_not_required_target_witness_table","not a target-language witness lane; maintain coordination/source-canon steering sidecars","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","18A8EDB2FB9FD54CDB885A7BA864C971E209979C8D0728F0C27667283369D694","12147","17","19","source_title; topic_tags; source_url; license_or_access_signal","lane; target_language_or_access_target; source_author_or_owner; evidence_tier; source_type; local_path; sha256_or_other_hash; source_language; is_target_language_witness; is_source_level_tex_or_archive; is_pdf_docx_or_text_fallback; gap_or_blocker_note; non_claim_boundary","source_title=witness_id; topic_tags=topic_tags; source_url=source_url; license_or_access_signal=license_signal","2","weak_required_field_coverage","add_or_normalize_missing_required_fields_before relying on table as complete source-canon witness surface","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-persianate-tajik-source-evidence-draft-lane","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","C75EF869F9AF82C920975A4F0F3FB80C362178E8055C40E7EA007A6DDC7B14BB","13517","12","17","lane; target_language_or_access_target; source_title; source_author_or_owner; topic_tags; evidence_tier; source_type; source_url; local_path; license_or_access_signal; sha256_or_other_hash; source_language; is_target_language_witness; is_source_level_tex_or_archive; is_pdf_docx_or_text_fallback; gap_or_blocker_note; non_claim_boundary","","lane=lane; target_language_or_access_target=target_language_or_access_target; source_title=source_title; source_author_or_owner=source_author_or_owner; topic_tags=topic_tags; evidence_tier=evidence_tier; source_type=source_type; source_url=source_url; local_path=local_path; license_or_access_signal=license_or_access_signal; sha256_or_other_hash=sha256_or_other_hash; source_language=source_language; is_target_language_witness=is_target_language_witness; is_source_level_tex_or_archive=is_source_level_tex_or_archive; is_pdf_docx_or_text_fallback=is_pdf_docx_or_text_fallback; gap_or_blocker_note=gap_or_blocker_note; non_claim_boundary=non_claim_boundary","1","required_fields_present_by_alias","none_for_required_field_shape_by_alias","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r2-pan-turkic-hard-blockers","noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.json","BCCDA6DECD44184DCE5145CB2842D7425F1663BC4CA025FA8044C219CA2A96E8","113863","61","23","lane; target_language_or_access_target; source_title; source_author_or_owner; topic_tags; evidence_tier; source_type; source_url; local_path; license_or_access_signal; sha256_or_other_hash; source_language; is_target_language_witness; is_source_level_tex_or_archive; is_pdf_docx_or_text_fallback; gap_or_blocker_note; non_claim_boundary","","lane=lane; target_language_or_access_target=target_language_or_access_target; source_title=source_title; source_author_or_owner=source_author_or_owner; topic_tags=topic_tags; evidence_tier=evidence_tier; source_type=source_type; source_url=source_url; local_path=local_path; license_or_access_signal=license_or_access_signal; sha256_or_other_hash=sha256_or_other_hash; source_language=source_language; is_target_language_witness=is_target_language_witness; is_source_level_tex_or_archive=is_source_level_tex_or_archive; is_pdf_docx_or_text_fallback=is_pdf_docx_or_text_fallback; gap_or_blocker_note=gap_or_blocker_note; non_claim_boundary=non_claim_boundary","4","required_fields_present_by_alias","none_for_required_field_shape_by_alias","field audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
