"relative_path","bytes","placeholder_hit","credential_hit","control_byte_hit","archive_hit","large_file_hit","blocking"
"ACTIVE_SESSION_STATE.csv","697","False","False","False","False","False","False"
"B3_HANDOFF_BOUNDARY_ROWS_3EB1CD59_HEARTBEAT.csv","640","False","False","False","False","False","False"
"EXACT_BLOCKER_RECOVERY_ROWS_3EB1CD59_HEARTBEAT.csv","1217","False","False","False","False","False","False"
"FABLE_FORMAL_OBJECT_STATUS_3EB1CD59.csv","1897","False","False","False","False","False","False"
"HEARTBEAT_20260707.md","570","False","False","False","False","False","False"
"MANIFEST.csv","1731","False","False","False","False","False","False"
"PACKET_VERIFY.json","794","False","False","False","False","False","False"
"PRIOR_AND_FRONTIER_REVERIFY_3EB1CD59.csv","507","False","False","False","False","False","False"
"README.md","1230","False","False","False","False","False","False"
"REBUILD_TRIGGER_BOUNDARY_ROWS_3EB1CD59_HEARTBEAT.csv","629","False","False","False","False","False","False"
"SESSION_LOGBOOK_20260707.md","509","False","False","False","False","False","False"
"SHA256SUMS.txt","1435","False","False","False","False","False","False"
"SOURCE_BODY_INVENTORY_BY_LANGUAGE_3EB1CD59.csv","2374","False","False","False","False","False","False"
"SOURCE_CANON_GAP_CARRYFORWARD_3EB1CD59.csv","3083","False","False","False","False","False","False"
"SOURCE_USE_GAP_FABLE_ADVERSE_ROWS_3EB1CD59_HEARTBEAT.csv","1363","False","False","False","False","False","False"
