"lane","role","frontier","packet_path","exists","file_count","bytes","manifest_rows","manifest_sha256","sha256sums_rows","sha256sums_sha256","notes","boundary_label"
"B3","current local B3 package","86d260cd1b5296ce593bebe706b1eefc79091406","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","True","11","55952","9","175D032608FE0A767676100883496AA79504A163A5005A926343AACDC50D6DA7","8","6A52F451BDCC30F18AB79074882C6D5E2E25F2F50148281FEDEAE60363069410","B3 accepted D9 route and repaired C0 route; package_status ok","source-use/provenance/gap or package-routing context only; no promotion"
"B3","branch-visible D9 package","9cfcf1ac9906fe9a1fad8dfa60ecc4d3e84a152b","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_D9EA29B0_R9_INTERLANGUAGE_HEARTBEAT_RECOVERY_BATCH_20260707","True","11","60894","9","30B4634B063B84F737EFB4F3C92D91B53EB380064240A08E907E5CEAEDF0AE42","8","5BE9A0F0C3F1460C651C2869169E7A85AAE799BF72FBB218791BE11FC974710F","R9 D9 and Interlanguage heartbeat recovery package","source-use/provenance/gap or package-routing context only; no promotion"
"B3","branch-visible OLP package","86d260cd1b5296ce593bebe706b1eefc79091406","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_9CFCF1AC_OLP_D9_INTERLINEAR_TERMINOLOGY_HEARTBEAT_20260707","True","11","24667","9","DC7C5891C6AD03F5E64987BC683AF35F20D18DA80F44EFE4B6683C29259B1338","8","10B51B4535DEBD41C9B990C4AC61020C2E06B4753C0F35BB0A35416601C0DA03","OLP D9 interlinear terminology heartbeat package","source-use/provenance/gap or package-routing context only; no promotion"
"Non-Slavic Core","prior D9 route","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","True","19","176242","16","E9F65BDF6C47B09DBB3B6355A598B133BDCC38D690BD932E31FC5F9B017A126B","17","6269B8AE9C94682E500A82F36245F3D6AFD31963F8A9BFE8E3A7D008A0C45D25","source-body assessment route only; no promoted source-body evidence","source-use/provenance/gap or package-routing context only; no promotion"
"Non-Slavic Core","repaired C0 route","c0cb1db12e5a4288159b0cd030eab8c05c53ce91","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","True","18","100207","15","D581A1A3D674089817E108557B710685AE1AEAF82AB13B6E865478ADFFCBDA58","16","848E384751DD7D6769B32B0F62898D7A128DB65226D8947F4F4AA9FF817F32A7","placeholder repair accepted by B3 package","source-use/provenance/gap or package-routing context only; no promotion"
"R9","D9 child evidence","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_D9EA29B0_FRONTIER_CORRECTION_RECOVERY_20260707","True","14","123331","12","5B08683D2C005A2694BA831206ECD7433207F9BC90EED9974DDB63077FBBB41E","11","66A68AA030A437E33648DECBED08CFC5E1917C5A88C7641FFDE379555C0013E8","R9 source-use/gap/Fable/adverse carryforward","source-use/provenance/gap or package-routing context only; no promotion"
"OLP","D9 support evidence","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_D9EA29B0_INTERLINEAR_TERMINOLOGY_HEARTBEAT_20260707","True","14","49707","11","AA46627A163CD63029C42833B7AE71F9D223D8039A66FD36CAE262317E4A22EB","11","D450B1C20F06F9C8D0D08BA67F0E7A0B7D82FDF44C1F589D13237B7419A0EE35","interlinear/terminology support only","source-use/provenance/gap or package-routing context only; no promotion"
"R7","86D child boundary","86d260cd1b5296ce593bebe706b1eefc79091406","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_86D260CD_FRONTIER_DRIFT_AFTER_9CFC_SOURCE_USE_BOUNDARY_20260707","True","9","18233","7","7AF146A1FF5358DA0B95ADEA91231887EDCB7BC1D33868572438616BBA0D7B49","7","57DD68BCEBB38291B6F6DF32D434E260F8A3167B649A9DF21BFD38F6C2C1A7FA","0 direct R7 source-body hits","source-use/provenance/gap or package-routing context only; no promotion"
"Romance","D9 carryforward","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_D9EA29B0_FRONTIER_SOURCE_USE_GAP_20260707","True","20","257681","17","B96AD5416790A304DD3EA62528D969758B51EE4434197C3D07042821BFE0D49F","16","02A68BB89CC2612C59146A3C8A6435D096AA292EE2172E6EF7E0B0FB2FA91D86","no direct French/Spanish path signal","source-use/provenance/gap or package-routing context only; no promotion"
"CJK draft","D9 carryforward","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_D9EA29B0_FRONTIER_ADVANCE_20260707","True","21","1676867","19","3930EF4BA163BDC12960CB76A90B09CE189506C0030FD9F89F829D2AB9766369","18","11A934BC3B2FA8954E15B2C7E9CC4B4A6D009F91B6D5B488AF592FFFE9CA4606","source-use/gap/draft non-canonical only","source-use/provenance/gap or package-routing context only; no promotion"
"Persianate/Tajik","D9 carryforward","d9ea29b008edeac55aba342edb6948440bdb145d","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_D9EA29B0_FRONTIER_ADVANCE_RECOVERY_20260707","True","33","220056","30","985F2EC582303006BE1DC03007224BEA843F7227B61BA8827B0320BED664B2B7","30","4AA07EB1E5BE80EFDE5DF4BA3DD32F67D98417011C1869AB2DCB196B1316089A","no new Persianate source-body evidence; Tajik source-discovery-only","source-use/provenance/gap or package-routing context only; no promotion"
