id,location,category,prior_or_rejected,current_english,authority,evidence,status
N04-C-001,title framing,source apparatus,"collection number treated as source title","number4 retained only as disclosed project navigation","original1911 p118 plus collected-work comparison","original omits4; later collected witness adds it",applied
N04-C-002,title punctuation,source typography,"title lacked final period","period restored after title-note call","original1911 p118","printed title ends after the star-note marker",applied
N04-C-003,byline,source apparatus,"inherited English omitted byline","By Miss Emmy Noether in Erlangen","original1911 p118","original prints Von Frl. Emmy Noether in Erlangen",applied
N04-C-004,all sixteen notes,source apparatus,"ordinary continuous footnote numbering","page-qualified original symbolic labels 118:* through122:*","original1911 pp118-122","preserves page resets and star/dagger identities after target reflow",applied
N04-C-005,Study citation p118,bibliographic adverse delta,"Transactions volume1 silently reproduced","volume10 1909 pages1-49; source prints volume1 disclosed","original1911 p118 plus bibliographic validation","source error retained as evidence but corrected transparently for readers",applied-disclosed
N04-C-006,n-ary rows p119,terminology,"higher-order or higher-level rows","higher-grade rows","German Stufe/Stufenzahl plus Grassmann register","coheres with grade0 and avoids order as degree in variables",applied
N04-C-007,congress passage p119,semantic attachment,"rows s contragredient to them","rows s contragredient to x","German dazu plus mathematical context","makes the antecedent explicit without changing content",applied
N04-C-008,first theorem p120,terminology,"base form","ground form","Paper2-4 project register and historical English usage","preserves continuation consistency",applied
N04-C-009,applications p121,defined term,"form row","form series","R823 lines4108 and4478-4488 plus immediate Reihenentwicklung context","rejects collision with variable row; later definition is an ordered family/manifold",applied-with-adverse
N04-C-010,Postscript heading,register,"Afterword","Postscript","bounded source function","remark is appended before section1",applied
N04-C-011,Grassmann note p121,bibliographic title,"Hermann Grassmann's gesammelte...","Hermann Grassmanns gesammelte mathematische und physikalische Werke","original1911 p121","preserves the German title without possessive anglicization",applied
N04-C-012,associated row p121,terminology,"assigned row","associated row","correspondence context and Paper3 register","distinguishes the row from Grassmann's complement",applied
N04-C-013,Stufenzahl0 p121,terminology,"level number0","grade0","Grassmann/exterior-algebra context","uses mathematical grade rather than literal calque",applied
N04-C-014,final sentence p122,source emphasis,"emphasis flattened","Grassmann-Muller and completeness emphasized","original1911 p122","restores the two semantically material italic loci",applied-primary
N04-C-015,layout,reader usability,"three-page output with three orphan lines on page3","two balanced A4 pages at2.0cm margins","complete render comparison","content unchanged; rejected orphan-only third page",applied
N04-C-016,article boundary,scope,"risk of importing section1 or Schur p155","stop after Postscript at R823 line3589; cursor3591","R823 and original1911 pp118-122","p122 section1 and physical p38 Schur are outside bounded unit",disposed-no-import
