check_id,source_locus,required_feature,final_english_evidence,authority,status,caveat
N04-S-001,original1911 p118,"unnumbered printed title, title note, final punctuation","project number disclosed; source note118:*; period restored","original scan",pass,"project number remains editorial navigation"
N04-S-002,original1911 p118,"Von Frl. Emmy Noether in Erlangen","By Miss Emmy Noether in Erlangen","original scan",pass,"historical target rendering"
N04-S-003,original1911 p118,"two symbolic notes * and **","labels118:* and118:** with complete note texts","original scan plus R823",pass,"page-qualified bracket form disambiguates reflow"
N04-S-004,original1911 p119,"seven symbolic notes *,**,***,dagger,daggerdagger,daggerdaggerdagger,*dagger","all seven page-qualified119 labels and note texts","original scan plus R823",pass,"symbol sequence retained semantically"
N04-S-005,original1911 p120,"three symbolic notes *,**,***","all three page-qualified120 labels and note texts","original scan plus R823",pass,"none omitted"
N04-S-006,original1911 p121,"three symbolic notes *,**,***","all three page-qualified121 labels and note texts","original scan plus R823",pass,"none omitted"
N04-S-007,original1911 p122,"one opening-unit note *","label122:* with Muller citation","original scan plus R823",pass,"p122 ** belongs to section1 and is excluded"
N04-S-008,R8233575-3589,"all prose paragraphs and Postscript conclusion","nine alignment rows cover full bounded source","R823 exact extraction",pass,"section1 begins line3591"
N04-S-009,original1911 pp118-122,"symbol families p_rho,S^rho,S_(n-rho),P,Q,x,s,y","all source symbols retained and visually legible","original scan plus R823",pass,"target reflow only"
N04-S-010,R8233577-3589,"section refs1-9 and formula refs9,11,16,17,19-21,31,32,36","all references present in target text and notes","R823 exact extraction",pass,"source punctuation around formula numbers normalized"
N04-S-011,original1911 p122,"italic Grassmann-Mullerschen and Vollstandigkeit","target emphasizes Grassmann-Muller and completeness","original scan",pass,"citation-name italics otherwise modernized and disclosed"
N04-S-012,original/collected witness split,"original governs framing; collected reproduction locator only","dependency record distinguishes D7F7CE... from C7738F...","two scans and source map",pass,"first frozen package using collected witness is held"
N04-S-013,output PDF,"complete bounded unit with metadata and no orphan-only page","two A4 pages; both renders contain complete content","final build and complete render review",pass,"output QA does not certify mathematics"
N04-S-014,scope boundary,"stop before section1 and exclude later Schur article","target ends after Postscript; cursor line3591","R823 line3591 and original physical p38",pass,"full Paper4 continues through line4500"
