decision_id,german_term,chosen_english,alternative_rejected,evidence_class,motivation,uncertainty,status
N04-T-001,invariante Bildung,invariant construction,invariant formation,editorial_inference,"Aligns with source-audited Paper3 and denotes a produced invariant expression","Not independent historical-English certification",applied
N04-T-002,ganze invariante Bildungen,integral invariant constructions,whole invariant formations,editorial_inference,"Integral preserves the polynomial/integral invariant-theory sense while retaining the Paper3 Bildung normalization","Historical specialist review remains desirable",applied
N04-T-003,Formenreihe,form series,form row or form family,editorial_inference,"Paper4 later defines the object as an ordered totality and an n-1 dimensional lattice-point manifold at R823 lines4108 and4478-4488; series preserves the defined historical term without colliding with variable row","One independent audit preferred project-continuity form row; full Paper4 rebase must use one choice consistently",applied-with-adverse
N04-T-004,Nachbemerkung,Postscript,Afterword or Additional remark,editorial_inference,"The remark is appended to the Introduction before section1; Postscript reflects its function","Additional remark is also defensible",applied
N04-T-005,zugeordnete Reihe,associated row,assigned or complementary row,editorial_inference,"Associated encodes the mathematical correspondence and remains distinct from Grassmann's complement","Must remain consistent through sections1-9",applied
N04-T-006,Stufenzahl 0,grade 0,level number 0,editorial_inference,"Grade is established mathematical English for Grassmann/exterior-algebra degree","Historical vocabulary varies",applied
N04-T-007,Grundform,ground form,base form,project_translation_control,"Ground form is the established project and historical invariant-theory term throughout Papers2-4","Modern base form is idiomatic but would create continuation drift",applied
N04-T-008,unsymbolische Differentiationsprozesse,nonsymbolic differentiation processes,non-symbolic differentiation procedures,editorial_inference,"Preserves Paper3 normalization and technical process terminology","Hyphenation is project style rather than source fact",applied
N04-T-009,Frl. Emmy Noether,Miss Emmy Noether,omit honorific,source_fact_plus_editorial_inference,"Original journal prints Frl.; historical English rendering retains the supplied honorific","No claim that Noether selected the English wording",applied
N04-T-010,collection number 4,retain with explicit editorial disclosure,omit from checkpoint title,source_fact_plus_editorial_inference,"Maintains numbered-project continuity while disclosing that the original 1911 journal title lacks it","The collected-work witness prints 4 but cannot override original framing",applied-disclosed
N04-T-011,Variabelnreihen or Symbolreihen hoherer Stufe,higher-grade variable or symbol rows,higher-level or higher-order rows,editorial_inference,"Grade coheres with Stufenzahl0 as grade0 while order has a separate invariant-theory meaning","Published Grassmann comparison uses order and zeroth order as another coherent pair; it is not authority over Noether",applied
N04-T-012,page-local source-note markers,page-qualified symbolic labels,continuous target numbering,source_fact_plus_editorial_inference,"Labels 118:* through122:* preserve sixteen repeated original markers unambiguously after reflow","Bracketed page qualification is editorial disambiguation rather than facsimile typography",applied
N04-T-013,Transactions volume1 source error,volume10 pages1-49 with source-error disclosure,silent volume1 reproduction or silent correction,source_fact_plus_bibliographic_validation,"Original visibly prints1; independent bibliographic evidence identifies the article in volume10 (1909) pages1-49","Bibliographic correction does not alter Noether's mathematical body",applied-disclosed
N04-T-014,source personal-name and title italics,modern citation-title normalization plus restored semantic emphasis,diplomatic reversal of every citation emphasis,editorial_inference,"Target citation readability is normalized while source-semantic emphasis on Grassmann-Muller and completeness is restored","This is a working translation rather than diplomatic facsimile",applied-disclosed
