physical_page	printed_page	collected_address	prompt	reader_body_disposition
1	237	289	P01	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
2	238	290	P01	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
3	239	291	P01	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
4	240	292	P01	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
5	241	293	P01	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
6	242	294	P01	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
7	243	295	P02	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
8	244	296	P02	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
9	245	297	P02	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
10	246	298	P02	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
11	247	299	P02	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
12	248	300	P03	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
13	249	301	P03	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
14	250	302	P03	P03 AUDITED FINAL ACCEPTED after complete rendered-authority audit; publication furniture excluded and inventoried; all authorial content retained through exact source-page boundary
