id	kind	prompt	requirement	status	evidence
FM-title	frontmatter	P01	exact French title and Pierre Deligne (Bures-sur-Yvette) byline	ACCEPTED_COMPLETE_P03	authority physical 1; exact French title and Pierre Deligne (Bures-sur-Yvette) byline retained
FM-introduction	frontmatter	P01	complete Introduction including lists a-e and every final application paragraph	ACCEPTED_COMPLETE_P03	authority physical 1-2; complete Introduction and lists a-e retained
1.1	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.2	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.3	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.4	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.5	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.6	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.7	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.8	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.9	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.10	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.11	unit	P01	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.12	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
1.13	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.1	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.2	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.3	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.4	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.5	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted; cold audit confirms exact unlabelled q^{-m}(#P(k(s)) - #X_s(k(s))) display without added q subscript or P superscript
2.6	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.7	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
2.8	unit	P02	complete numbered unit, statements, proofs, displays and cross-references	ACCEPTED_COMPLETE_P03	authority physical range for this gate; complete cumulative pagewise replay accepted
