label	physical_page	printed_page	collected_address	prompt	type	requirement	status	evidence
(1.1.1)	2	238	290	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 2; literal tag and complete mathematics retained in both reader lanes
(1.1.2)	2	238	290	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 2; literal tag and complete mathematics retained in both reader lanes
(1.1.3)	2	238	290	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 2; literal tag and complete mathematics retained in both reader lanes
(1.2.1)	3	239	291	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 3; literal tag and complete mathematics retained in both reader lanes
(1.3.1)	3	239	291	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 3; literal tag and complete mathematics retained in both reader lanes
(1.3.2)	3	239	291	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 3; literal tag and complete mathematics retained in both reader lanes
(1.4.1)	3	239	291	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 3; literal tag and complete mathematics retained in both reader lanes
(1.6.1)	4	240	292	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 4; literal tag and complete mathematics retained in both reader lanes
(1.6.2)	4	240	292	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 4; literal tag and complete mathematics retained in both reader lanes
(1.6.3)	4	240	292	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 4; literal tag and complete mathematics retained in both reader lanes
(1.7.1)	4	240	292	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 4; literal tag and complete mathematics retained in both reader lanes
(1.7.2)	4	240	292	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 4; literal tag and complete mathematics retained in both reader lanes
(1.7.3)	4	240	292	P01	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 4; literal tag and complete mathematics retained in both reader lanes
(2.5.1)	9	245	297	P02	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 9; literal tag and complete mathematics retained in both reader lanes
(2.5.2)	9	245	297	P02	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 9; literal tag and complete mathematics retained in both reader lanes
(2.10.1)	11	247	299	P02	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 11; literal tag and complete mathematics retained in both reader lanes
(2.10.2)	11	247	299	P02	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 11; literal tag and complete mathematics retained in both reader lanes
(2.10.3)	11	247	299	P02	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 11; literal tag and complete mathematics retained in both reader lanes
(3.5.1)	13	249	301	P03	labelled display	literal source tag and complete mathematics	ACCEPTED_COMPLETE_P03	authority physical 13; literal tag and complete mathematics retained in both reader lanes
TRIANGLE	5	241	293	P01	commutative triangle	Y to P_T^{n+v} by hook j; Y to T by g; P_T^{n+v} to T by p; exact topology or lossless fallback	ACCEPTED_COMPLETE_P03	authority physical 5; Y, P_T^{n+v}, T and arrows j/g/p including hook on j retained
EMBEDDING	11	247	299	P02	displayed embedding	complete objects, arrow and group action	ACCEPTED_COMPLETE_P03	authority physical 11; problem (I,K), mu:G_K x_K S_K action and induced isomorphism retained
POINTCOUNT-2.5	9	245	297	P02	unlabelled display	literal source point-count expression and notation	AUDITED_ACCEPTED_COMPLETE	authority physical 9; exact source-visible expression q^{-m}(#P(k(s)) - #X_s(k(s))) retained in both lanes, with no subscript on q and no superscript on P
UNLABELLED	1-14	237-250	289-302	P01-P03	mathematics	every unlabelled formula, arrow, field, prime, tensor, Tate twist, trace and determinant	ACCEPTED_COMPLETE_P03	every unlabelled formula, arrow, field, prime, tensor, Tate twist, trace and determinant on physical 1-14 retained; cold audit specifically verified physical-9 q^{-m}(#P(k(s)) - #X_s(k(s))) without regularization
CITATIONS	1-14	237-250	289-302	P01-P03	citations	every bracketed citation mapped to bibliography 1-11/EGA/SGA 7 bis	ACCEPTED_COMPLETE_P03	all bracketed citations retained and reconciled with bibliography 1-11, EGA and SGA 7 bis
