"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P35-ZH-T001","current segment A title/introduction; current segment C abstract; current returns A/C","Maximalbereich","paper-specific maximal domain closed under removing nonzero rational-integer denominators","极大域","The named object in the current producer translation contains integer-coefficient functions and cannot be enlarged merely by removing a nonzero rational-integer denominator.","maximal field extension; maximal ideal; arbitrary domain of definition; set-theoretically largest domain","最大域; 饱和域; 极大整环","mixed_or_contested","Risk: the PRC-oriented form 极大域 can attract a maximal-field reading and may overstate fieldhood; zh-Hans-SG and regional Traditional Chinese evidence are absent; no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","極大域","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","Explicit current-return choice; unchecked producer/model editorial proposal."
"P35-ZH-T002","current segment A introduction and §2; current returns A/B/C","Integritätsbereich","commutative ring without zero divisors","整环","The current producer translation uses this term for a ring whose relevant defining property is the absence of zero divisors.","domain of integration; arbitrary region; field; integrally closed domain unless separately stated","整域; 无零因子环","modern_sino_xenic_coinage_or_calque","Risk: the PRC shelf alternates between 整环 and 整域, and the selected form does not authorize zh-Hans-SG or regional Traditional Chinese usage; no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","整環","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","Shared current-return anchor; terminology validation absent."
"P35-ZH-T003","current segment A §2; current return A","Quotientenkörper","fraction field of the integral domain","分式域","The producer term denotes the field obtained by taking fractions of the stated integral domain.","quotient ring by an ideal; residue field; arithmetic quotient; generic coset field","商域; 商体; 分数域","modern_sino_xenic_coinage_or_calque","Risk: 分式域 is a PRC-oriented algebra term while 商域 remains a competing attractor; non-PRC Chinese evidence is absent and no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","分式域","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","Explicit current-return anchor; independent checking absent."
"P35-ZH-T004","current segment A introduction/§2; current segment B §3; current segment C note 5; current returns A/B/C","Transzendenzgrad","transcendence degree of a field or prime ideal","超越次数","The producer term counts an algebraically independent subsystem over which the relevant system or residue field is algebraic.","polynomial degree; algebraic-extension degree; matrix rank; ordinal stage","超越度; 超越阶数","modern_sino_xenic_coinage_or_calque","Risk: 超越次数 competes with 超越度 on the PRC shelf; zh-Hans-SG and regional Traditional Chinese evidence are absent and no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","超越次數","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","Shared current-return anchor; unchecked producer proposal."
"P35-ZH-T005","current segment A title/introduction; current return A","ganzzahlige Funktionen","functions formed with integer coefficients in this paper","整数系数函数","The producer paraphrase covers polynomials, power series, or their quotients as described in the current introduction, with integer coefficients.","entire holomorphic functions; integer-valued functions; functions with integer outputs; algebraic integers","整数函数; 整函数; 整值函数","mixed_or_contested","Adverse: the expanded PRC-oriented phrase avoids the complex-analysis attractor 整函数, but its historical and regional Chinese acceptability is untested; no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","整數係數函數","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","Producer disambiguation only; historical-terminology checking absent."
"P35-ZH-T006","current segment B §3; current return B","Vielfaches (Unterideal)","historical ideal-inclusion wording pairing a multiple ideal with a subideal","倍理想（子理想）","The producer retains the historical parenthetical relation when one prime ideal is described as a multiple or subideal of another.","numerical multiple only; scalar product; superideal relation; arbitrary set inclusion","子理想; 倍数理想; explanatory inclusion wording","mixed_or_contested","Adverse: 倍理想 is a literal PRC-oriented rendering with a strong numerical-multiple attractor and possible inclusion-order confusion; no regional evidence or scalar is supplied.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","倍理想（子理想）","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","Current return B says the wording was retained without repair; checker review pending."
"P35-ZH-T007","current segment A §2; current segment B §3; current segment C note 5; current returns B/C","irreduzibles System","historical label for a system of algebraically independent functions","不可约系统","In the current producer wording, the label is tied to algebraically independent functions on which the larger system algebraically depends.","irreducible polynomial; indecomposable representation; minimal generating set; factorization irreducibility","代数无关系统; 不可约函数系","mixed_or_contested","Adverse: 不可约系统 is a literal historical calque that can obscure the algebraic-independence sense; non-PRC Chinese evidence is absent and no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","不可約系統","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","Historical producer wording; source and terminology adjudication absent."
"P35-ZH-T008","current segment B theorem in §2.3; current return B","Bereiche","neutral collective reference to a heterogeneous list of algebraic objects","对象","The current producer uses a neutral collective noun because the listed items include an ideal alongside ring-like objects.","asserting every listed item is a field, domain, or ring; geographic area; function range","诸对象; 各项; 各环（over-specific）","modern_sino_xenic_coinage_or_calque","Risk: 对象 is a PRC-oriented editorial workaround rather than a validated mathematical equivalent; regional Chinese evidence is absent and no scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","對象","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","Producer prose choice only; no one-to-one equivalence claim."
"P35-ZH-T009","current segment A §1 and §2","not asserted; current Hans producer form only","matrix of the partial derivatives of the listed functions","函数矩阵","The current Chinese producer text uses the form for the displayed matrix whose entries are partial derivatives and whose rank is discussed.","matrix-valued function; determinant alone; Hessian matrix; arbitrary table of function values","雅可比矩阵; 函数导数矩阵; 导数矩阵","modern_sino_xenic_coinage_or_calque","Risk: 函数矩阵 can be read as a matrix-valued function on the PRC shelf; no zh-Hans-SG or regional Traditional Chinese evidence and no scalar are supplied.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","函數矩陣","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","German phrase deliberately not re-inspected or asserted; current-Hans editorial proposal only."
"P35-ZH-T010","current segment B §3.1 and §3.2; current segment C note 6","not asserted; current Hans producer form only","prime ideal remaining prime after the stated coefficient extension","绝对素理想","The current Chinese producer text uses this form for a prime ideal whose primeness persists after extension to algebraic-number coefficients.","arbitrary prime ideal; absolutely irreducible polynomial; ideal defined by an absolute value; maximal ideal","几何素理想; 绝对质理想","modern_sino_xenic_coinage_or_calque","Risk: 绝对素理想 is a PRC-oriented historical algebra calque with no independent regional Chinese shelf; no readiness scalar is computed.","producer/model editorial proposal from current P35 zh-Hans-CN segments and current translator returns only; no checking or external evidence","絕對素理想","controlled generic/nonregional script form only; not Taiwan-, Hong Kong-, or Macao-localized prose; unchecked","independent check absent; held","German phrase not re-inspected; producer/model concept window from current Hans only."
